pool_name,dimension,period,algorithm,market,num_stocks,return_mean,return_median,sharpe_mean,sharpe_median,max_dd_mean,max_dd_median,win_rate_mean,trades_mean,summary_path
adx_score_2019_2021_clustering,adx_score,2019_2021,clustering,bear_market,20,-4.218950000000001,-4.126,-0.50395,-0.2885,-23.603949999999998,-22.180999999999997,23.544,6.6,experiment/etf/clustering_vs_greedy/backtests/bear_market/adx_score_2019_2021_clustering/summary/backtest_summary_20251209_233433.csv
adx_score_2019_2021_greedy,adx_score,2019_2021,greedy,bear_market,20,-6.236700000000001,-6.5465,-0.6219,-0.6705,-22.970449999999996,-22.941,19.234,6.3,experiment/etf/clustering_vs_greedy/backtests/bear_market/adx_score_2019_2021_greedy/summary/backtest_summary_20251209_233445.csv
liquidity_score_2019_2021_clustering,liquidity_score,2019_2021,clustering,bear_market,18,-0.23205555555555574,0.2005,-0.07933333333333337,0.059500000000000004,-20.29888888888889,-19.037,31.987222222222222,6.055555555555555,experiment/etf/clustering_vs_greedy/backtests/bear_market/liquidity_score_2019_2021_clustering/summary/backtest_summary_20251209_233456.csv
liquidity_score_2019_2021_greedy,liquidity_score,2019_2021,greedy,bear_market,20,-2.42465,-2.6215,-0.44065000000000004,-0.243,-22.03455,-22.6915,23.143,5.5,experiment/etf/clustering_vs_greedy/backtests/bear_market/liquidity_score_2019_2021_greedy/summary/backtest_summary_20251209_233508.csv
momentum_12m_2019_2021_clustering,momentum_12m,2019_2021,clustering,bear_market,20,-0.8208500000000001,-1.0545,-0.1745,-0.0595,-18.868200000000005,-18.891,35.5105,5.8,experiment/etf/clustering_vs_greedy/backtests/bear_market/momentum_12m_2019_2021_clustering/summary/backtest_summary_20251209_233520.csv
momentum_12m_2019_2021_greedy,momentum_12m,2019_2021,greedy,bear_market,20,3.95715,1.847,0.13135,0.07450000000000001,-20.836799999999997,-15.2575,41.195499999999996,5.3,experiment/etf/clustering_vs_greedy/backtests/bear_market/momentum_12m_2019_2021_greedy/summary/backtest_summary_20251209_233533.csv
price_efficiency_2019_2021_clustering,price_efficiency,2019_2021,clustering,bear_market,20,-1.4465500000000007,-1.2735,-0.18400000000000002,-0.1115,-19.209049999999998,-17.924,33.19349999999999,5.6,experiment/etf/clustering_vs_greedy/backtests/bear_market/price_efficiency_2019_2021_clustering/summary/backtest_summary_20251209_233545.csv
price_efficiency_2019_2021_greedy,price_efficiency,2019_2021,greedy,bear_market,20,2.0576499999999998,1.9915,-0.000999999999999998,0.092,-22.613950000000003,-20.534,37.1215,5.2,experiment/etf/clustering_vs_greedy/backtests/bear_market/price_efficiency_2019_2021_greedy/summary/backtest_summary_20251209_233557.csv
trend_consistency_2019_2021_clustering,trend_consistency,2019_2021,clustering,bear_market,19,-2.9117894736842103,-2.798,-0.37721052631578944,-0.246,-20.238105263157898,-20.273,30.459473684210526,6.2631578947368425,experiment/etf/clustering_vs_greedy/backtests/bear_market/trend_consistency_2019_2021_clustering/summary/backtest_summary_20251209_233609.csv
trend_consistency_2019_2021_greedy,trend_consistency,2019_2021,greedy,bear_market,20,-4.962650000000001,-3.525,-0.5066499999999999,-0.251,-21.83225,-20.372,22.927999999999997,5.85,experiment/etf/clustering_vs_greedy/backtests/bear_market/trend_consistency_2019_2021_greedy/summary/backtest_summary_20251209_233621.csv
trend_quality_2019_2021_clustering,trend_quality,2019_2021,clustering,bear_market,19,-4.023526315789474,-2.798,-0.37605263157894736,-0.246,-19.467263157894735,-18.393,29.895263157894735,5.684210526315789,experiment/etf/clustering_vs_greedy/backtests/bear_market/trend_quality_2019_2021_clustering/summary/backtest_summary_20251209_233633.csv
trend_quality_2019_2021_greedy,trend_quality,2019_2021,greedy,bear_market,20,-0.9771000000000003,-2.383,-0.26550000000000007,-0.1945,-21.889200000000002,-21.0,26.705000000000002,6.0,experiment/etf/clustering_vs_greedy/backtests/bear_market/trend_quality_2019_2021_greedy/summary/backtest_summary_20251209_233645.csv
adx_score_2022_2023_clustering,adx_score,2022_2023,clustering,bull_market,20,7.743499999999999,5.79,0.17345000000000002,0.245,-19.09475,-16.5895,38.366,7.9,experiment/etf/clustering_vs_greedy/backtests/bull_market/adx_score_2022_2023_clustering/summary/backtest_summary_20251209_233657.csv
adx_score_2022_2023_greedy,adx_score,2022_2023,greedy,bull_market,20,12.465850000000001,9.136500000000002,0.42355,0.5355000000000001,-19.6723,-19.1765,46.579499999999996,7.75,experiment/etf/clustering_vs_greedy/backtests/bull_market/adx_score_2022_2023_greedy/summary/backtest_summary_20251209_233709.csv
liquidity_score_2022_2023_clustering,liquidity_score,2022_2023,clustering,bull_market,19,0.6812105263157896,-2.309,-0.027210526315789487,-0.097,-19.746684210526315,-18.016,41.363684210526316,6.684210526315789,experiment/etf/clustering_vs_greedy/backtests/bull_market/liquidity_score_2022_2023_clustering/summary/backtest_summary_20251209_233721.csv
liquidity_score_2022_2023_greedy,liquidity_score,2022_2023,greedy,bull_market,20,7.46255,-0.353,-0.10400000000000001,-0.0345,-25.2448,-22.5265,34.3615,7.15,experiment/etf/clustering_vs_greedy/backtests/bull_market/liquidity_score_2022_2023_greedy/summary/backtest_summary_20251209_233733.csv
momentum_12m_2022_2023_clustering,momentum_12m,2022_2023,clustering,bull_market,20,3.1386499999999997,2.356,-0.03325000000000001,0.1275,-19.66275,-17.672,41.446,6.5,experiment/etf/clustering_vs_greedy/backtests/bull_market/momentum_12m_2022_2023_clustering/summary/backtest_summary_20251209_233745.csv
momentum_12m_2022_2023_greedy,momentum_12m,2022_2023,greedy,bull_market,20,0.3813000000000001,0.6095,-0.10690000000000002,0.0265,-20.932450000000003,-18.997500000000002,30.856,7.0,experiment/etf/clustering_vs_greedy/backtests/bull_market/momentum_12m_2022_2023_greedy/summary/backtest_summary_20251209_233758.csv
price_efficiency_2022_2023_clustering,price_efficiency,2022_2023,clustering,bull_market,20,6.0241,1.7985,-0.04164999999999998,0.0875,-21.582200000000004,-19.3395,40.132999999999996,6.75,experiment/etf/clustering_vs_greedy/backtests/bull_market/price_efficiency_2022_2023_clustering/summary/backtest_summary_20251209_233810.csv
price_efficiency_2022_2023_greedy,price_efficiency,2022_2023,greedy,bull_market,20,6.383400000000001,-2.2984999999999998,-0.0021499999999999965,-0.1215,-20.173750000000005,-19.3315,37.9065,6.8,experiment/etf/clustering_vs_greedy/backtests/bull_market/price_efficiency_2022_2023_greedy/summary/backtest_summary_20251209_233822.csv
trend_consistency_2022_2023_clustering,trend_consistency,2022_2023,clustering,bull_market,20,6.682950000000001,0.9100000000000001,0.0864,0.06049999999999999,-19.957950000000004,-18.188000000000002,39.525999999999996,6.3,experiment/etf/clustering_vs_greedy/backtests/bull_market/trend_consistency_2022_2023_clustering/summary/backtest_summary_20251209_233834.csv
trend_consistency_2022_2023_greedy,trend_consistency,2022_2023,greedy,bull_market,20,6.9796,1.613,0.10369999999999999,0.051,-20.24275,-20.052,46.14149999999999,6.85,experiment/etf/clustering_vs_greedy/backtests/bull_market/trend_consistency_2022_2023_greedy/summary/backtest_summary_20251209_233846.csv
trend_quality_2022_2023_clustering,trend_quality,2022_2023,clustering,bull_market,18,5.955444444444445,0.475,0.05511111111111109,0.027500000000000004,-18.234,-16.4375,37.312777777777775,6.222222222222222,experiment/etf/clustering_vs_greedy/backtests/bull_market/trend_quality_2022_2023_clustering/summary/backtest_summary_20251209_233857.csv
trend_quality_2022_2023_greedy,trend_quality,2022_2023,greedy,bull_market,20,4.1838,1.424,0.11510000000000001,0.08549999999999999,-16.122099999999996,-14.75,48.3595,7.15,experiment/etf/clustering_vs_greedy/backtests/bull_market/trend_quality_2022_2023_greedy/summary/backtest_summary_20251209_233910.csv
