dimension,period,market,greedy_sharpe,clustering_sharpe,sharpe_diff,sharpe_winner,greedy_return,clustering_return,return_diff,return_winner
adx_score,2019_2021,bear_market,-0.6219,-0.50395,0.11795,clustering,-6.236700000000001,-4.218950000000001,2.0177499999999995,clustering
adx_score,2022_2023,bull_market,0.42355,0.17345,-0.2501,greedy,12.46585,7.743499999999999,-4.7223500000000005,greedy
liquidity_score,2019_2021,bear_market,-0.44065,-0.0793333333333333,0.3613166666666667,clustering,-2.42465,-0.2320555555555557,2.1925944444444445,clustering
liquidity_score,2022_2023,bull_market,-0.104,-0.0272105263157894,0.0767894736842106,clustering,7.46255,0.6812105263157896,-6.781339473684211,greedy
momentum_12m,2019_2021,bear_market,0.13135,-0.1745,-0.30584999999999996,greedy,3.95715,-0.8208500000000001,-4.7780000000000005,greedy
momentum_12m,2022_2023,bull_market,-0.1069,-0.03325,0.07365,clustering,0.3813000000000001,3.13865,2.75735,clustering
price_efficiency,2019_2021,bear_market,-0.0009999999999999,-0.184,-0.1830000000000001,greedy,2.05765,-1.446550000000001,-3.504200000000001,greedy
price_efficiency,2022_2023,bull_market,-0.0021499999999999,-0.0416499999999999,-0.0395,greedy,6.383400000000001,6.0241,-0.35930000000000106,greedy
trend_consistency,2019_2021,bear_market,-0.5066499999999999,-0.3772105263157894,0.12943947368421055,clustering,-4.962650000000001,-2.9117894736842103,2.0508605263157906,clustering
trend_consistency,2022_2023,bull_market,0.1036999999999999,0.0864,-0.0172999999999999,greedy,6.9796,6.682950000000001,-0.29664999999999875,greedy
trend_quality,2019_2021,bear_market,-0.2655,-0.3760526315789473,-0.11055263157894729,greedy,-0.9771000000000004,-4.023526315789474,-3.0464263157894735,greedy
trend_quality,2022_2023,bull_market,0.1151,0.055111111111111,-0.059988888888888994,greedy,4.1838,5.955444444444445,1.771644444444445,clustering
