,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_KAMA,Exit_KAMA,Entry_EfficiencyRatio,Exit_EfficiencyRatio,Entry_KamaSlope,Exit_KamaSlope,Entry_ATR,Exit_ATR
0,4585,71,73,2.1797822750222786,2.046268591187949,,,-621.8484619911892,9.688221610786947,-0.062220301000497344,2022-04-22,2022-04-26,4 days,,2.0844104631892835,2.0840675484006996,0.09523471746260632,0.025570848833571157,0.001791132067353966,-0.0001714573942918444,0.08534778748160925,0.08635251154595125
1,4997,129,155,1.8755666867270395,1.999949901463541,,,611.8599458427033,9.682978195594165,0.06528451230709363,2022-07-19,2022-08-24,36 days,,1.8465424694021448,2.0638044917638316,0.29770146848817003,0.07469728629582477,0.002340658089654705,-0.0007050711341450485,0.03673050257380156,0.04693381574121127
2,5025,169,170,1.9869664373354945,1.9611681779922403,,,-139.55594142086326,9.919688221010933,-0.013977250007383358,2022-09-14,2022-09-15,1 days,,1.99759575858759,1.9960628470254622,0.2712503440924992,0.25779701863499493,-1.088003012424584e-05,-0.00137880893839674,0.05619329729754008,0.05260524459468683
3,4928,194,228,1.997576543207604,2.299748876479468,,,1478.5166485296359,10.588609834108944,0.15019382940903886,2022-10-26,2022-12-13,48 days,,1.9181986528535366,2.2768807466362877,0.23204743551544108,0.07328222654435639,0.0026192670348770264,0.000220014556936358,0.04359423126877483,0.045358960335807365
4,4948,237,240,2.2883721064967437,2.251886732939764,,,-191.76222872870244,11.23260036876592,-0.016935839615712104,2022-12-26,2022-12-29,3 days,,2.2822574005637413,2.2812007771210783,0.15473291596954883,0.22388636011801571,0.0002230620438693857,-0.0006723686073684121,0.041883619174377516,0.03858500933190633
5,4940,282,283,2.253142174003982,2.23436259719168,,,-103.85524623762419,11.084136784853285,-0.009330671379933278,2023-03-07,2023-03-08,1 days,,2.254096806769141,2.2534597235429183,0.03986869372303797,0.1265186022980696,9.348165947760852e-05,-0.00033714967285843517,0.02592468023956675,0.026130716866894544
6,5076,301,315,2.172379247378229,2.302114403671321,,,647.179388457371,11.356264886363757,0.05869044717741615,2023-04-03,2023-04-24,21 days,,2.141494767387096,2.279220095719819,0.18301197361747065,0.5511698118118924,0.0009017874696925313,0.005600680726004133,0.026528849646315425,0.03851094671464766
7,4912,316,321,2.3763591909926114,2.279537533936121,,,-487.02286181790566,11.434882356424968,-0.04172332440094617,2023-04-25,2023-05-05,10 days,,2.2930130487489753,2.299283026279785,0.5546259145677559,0.1726125239411797,0.012843427528045718,-0.000731050301398047,0.03782162493157023,0.03704116473893373
8,4028,367,391,2.776849075957816,2.912010804216528,,,532.9740776274211,11.45736379867113,0.04765015839868247,2023-07-12,2023-08-15,34 days,,2.6284086313652053,2.994321756684105,0.39648772232255175,0.10526321941385539,0.011615490838482975,-0.0014802608061147045,0.11549032119444039,0.14574809615217008
9,4100,469,473,2.8581119652020943,2.363453507797472,,,-2038.8038845786011,10.704209219649112,-0.17398522038165176,2023-12-11,2023-12-15,4 days,,2.7233149777978096,2.7113532783284664,0.06802527099293339,0.12465647776276735,0.0015766446164301822,-0.007160722229913337,0.16021292781602028,0.16662099077233536
