代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159708.SZ,红利ETF,etf,kama_cross,2022-01-04,2023-12-29,-1.047,-2.001,-0.053,-18.887,16.67,4.89,12
159725.SZ,线上消费ETF,etf,kama_cross,2022-01-04,2023-12-29,-17.883,-31.506,-1.786,-32.27,0.0,0.0,7
159740.SZ,恒生科技ETF,etf,kama_cross,2022-01-04,2023-12-29,13.928,28.459,0.376,-23.357,33.33,5.89,6
159745.SZ,建材ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.624,-4.98,-0.143,-18.647,28.57,1.65,7
159752.SZ,新能源龙头ETF,etf,kama_cross,2022-01-04,2023-12-29,-8.343,-15.407,-0.877,-24.566,16.67,0.61,6
159766.SZ,旅游ETF,etf,kama_cross,2022-01-04,2023-12-29,6.011,11.865,0.455,-9.659,50.0,50.98,2
159865.SZ,养殖ETF,etf,kama_cross,2022-01-04,2023-12-29,-21.943,-37.861,-1.972,-37.969,0.0,0.0,7
159866.SZ,日经ETF,etf,kama_cross,2022-01-04,2023-12-29,-8.859,-16.32,-0.992,-21.005,0.0,0.0,5
159881.SZ,有色60ETF,etf,kama_cross,2022-01-04,2023-12-29,-9.77,-17.918,-0.743,-29.439,16.67,0.27,6
159888.SZ,智能车ETF,etf,kama_cross,2022-01-04,2023-12-29,-14.826,-26.524,-1.094,-28.556,11.11,0.1,9
159891.SZ,医疗ETF基金,etf,kama_cross,2022-01-04,2023-12-29,-5.628,-10.528,-1.192,-11.02,0.0,0.0,4
159908.SZ,创业板ETF博时,etf,kama_cross,2022-01-04,2023-12-29,-11.803,-21.433,-1.502,-24.645,0.0,0.0,7
159943.SZ,深证成指ETF,etf,kama_cross,2022-01-04,2023-12-29,5.733,11.301,0.391,-18.355,25.0,4.91,8
159997.SZ,电子ETF,etf,kama_cross,2022-01-04,2023-12-29,-6.963,-12.945,-0.434,-17.474,16.67,1.26,6
160125.SZ,南方香港LOF,etf,kama_cross,2022-01-04,2023-12-29,3.173,5.987,0.222,-11.52,66.67,1.91,6
160723.SZ,嘉实原油LOF,etf,kama_cross,2022-01-04,2023-12-29,7.015,13.909,0.151,-53.666,40.0,2.74,5
161116.SZ,黄金主题LOF,etf,kama_cross,2022-01-04,2023-12-29,-0.213,-0.409,-0.014,-24.866,42.86,1.35,7
161126.SZ,标普医疗保健LOF,etf,kama_cross,2022-01-04,2023-12-29,-1.638,-3.123,-0.073,-29.4,40.0,1.52,10
161724.SZ,煤炭等权LOF,etf,kama_cross,2022-01-04,2023-12-29,-9.659,-17.725,-0.859,-19.614,33.33,0.54,6
588180.SH,科创50ETF基金,etf,kama_cross,2022-01-04,2023-12-29,0.96,1.851,0.06,-17.164,33.33,2.47,6
