代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159708.SZ,红利ETF,etf,kama_cross,2022-01-04,2023-12-29,-1.047,-2.001,-0.053,-18.887,16.67,4.89,12
159740.SZ,恒生科技ETF,etf,kama_cross,2022-01-04,2023-12-29,13.928,28.459,0.376,-23.357,33.33,5.89,6
159745.SZ,建材ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.624,-4.98,-0.143,-18.647,28.57,1.65,7
159747.SZ,香港科技ETF,etf,kama_cross,2022-01-04,2023-12-29,-18.015,-31.717,-0.925,-40.718,0.0,0.0,7
159752.SZ,新能源龙头ETF,etf,kama_cross,2022-01-04,2023-12-29,-8.343,-15.407,-0.877,-24.566,16.67,0.61,6
159766.SZ,旅游ETF,etf,kama_cross,2022-01-04,2023-12-29,6.011,11.865,0.455,-9.659,50.0,50.98,2
159783.SZ,科创创业50ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.412,-4.58,-0.161,-20.169,30.0,1.92,10
159845.SZ,中证1000ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.658,-5.042,-0.246,-15.998,40.0,0.84,5
159861.SZ,碳中和50ETF,etf,kama_cross,2022-01-04,2023-12-29,-13.328,-24.022,-1.474,-26.192,16.67,0.45,6
159863.SZ,光伏ETF基金,etf,kama_cross,2022-01-04,2023-12-29,0.442,0.85,0.063,-11.426,33.33,2.46,3
159865.SZ,养殖ETF,etf,kama_cross,2022-01-04,2023-12-29,-21.943,-37.861,-1.972,-37.969,0.0,0.0,7
159867.SZ,畜牧ETF,etf,kama_cross,2022-01-04,2023-12-29,-11.918,-21.631,-1.011,-27.413,0.0,0.0,5
159881.SZ,有色60ETF,etf,kama_cross,2022-01-04,2023-12-29,-9.77,-17.918,-0.743,-29.439,16.67,0.27,6
159885.SZ,碳中和ETF基金,etf,kama_cross,2022-01-04,2023-12-29,-7.465,-13.844,-0.598,-27.805,33.33,0.97,9
159888.SZ,智能车ETF,etf,kama_cross,2022-01-04,2023-12-29,-14.826,-26.524,-1.094,-28.556,11.11,0.1,9
159891.SZ,医疗ETF基金,etf,kama_cross,2022-01-04,2023-12-29,-5.628,-10.528,-1.192,-11.02,0.0,0.0,4
562880.SH,电池ETF嘉实,etf,kama_cross,2022-01-04,2023-12-29,-11.557,-21.012,-1.022,-29.341,0.0,0.0,6
588060.SH,科创50ETF龙头,etf,kama_cross,2022-01-04,2023-12-29,-4.455,-8.38,-0.472,-18.558,25.0,1.0,4
588180.SH,科创50ETF基金,etf,kama_cross,2022-01-04,2023-12-29,0.96,1.851,0.06,-17.164,33.33,2.47,6
588400.SH,科创创业ETF嘉实,etf,kama_cross,2022-01-04,2023-12-29,-10.086,-18.47,-1.409,-22.525,0.0,0.0,6
