代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159745.SZ,建材ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.624,-4.98,-0.143,-18.647,28.57,1.65,7
159780.SZ,双创ETF,etf,kama_cross,2022-01-04,2023-12-29,9.949,19.981,0.515,-15.406,28.57,6.29,7
159806.SZ,新能源车ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.585,-4.906,-0.24,-14.877,33.33,0.68,3
159825.SZ,农业ETF,etf,kama_cross,2022-01-04,2023-12-29,-15.473,-27.592,-1.592,-30.659,0.0,0.0,7
159852.SZ,软件ETF,etf,kama_cross,2022-01-04,2023-12-29,6.799,13.467,0.234,-22.488,30.77,4.29,13
159869.SZ,游戏ETF,etf,kama_cross,2022-01-04,2023-12-29,-20.504,-35.642,-1.179,-41.021,0.0,0.0,5
159881.SZ,有色60ETF,etf,kama_cross,2022-01-04,2023-12-29,-9.77,-17.918,-0.743,-29.439,16.67,0.27,6
159919.SZ,沪深300ETF,etf,kama_cross,2022-01-04,2023-12-29,4.391,8.603,0.554,-8.699,33.33,9.7,3
159920.SZ,恒生ETF,etf,kama_cross,2022-01-04,2023-12-29,11.197,22.61,0.503,-15.881,20.0,10.49,5
159928.SZ,消费ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.36,-4.484,-0.209,-19.427,16.67,3.77,6
159930.SZ,能源ETF,etf,kama_cross,2022-01-04,2023-12-29,-1.378,-2.629,-0.083,-15.009,33.33,1.91,6
159941.SZ,纳指ETF,etf,kama_cross,2022-01-04,2023-12-29,19.612,41.05,1.503,-5.915,100.0,0.0,7
159943.SZ,深证成指ETF,etf,kama_cross,2022-01-04,2023-12-29,5.733,11.301,0.391,-18.355,25.0,4.91,8
159949.SZ,创业板50ETF,etf,kama_cross,2022-01-04,2023-12-29,5.083,9.991,0.299,-23.702,33.33,3.65,6
159992.SZ,创新药ETF,etf,kama_cross,2022-01-04,2023-12-29,-14.887,-26.626,-1.272,-30.0,16.67,0.41,6
159995.SZ,芯片ETF,etf,kama_cross,2022-01-04,2023-12-29,-8.61,-15.88,-0.602,-22.231,42.86,0.44,7
162411.SZ,华宝油气LOF,etf,kama_cross,2022-01-04,2023-12-29,9.471,18.982,0.434,-25.084,66.67,2.64,3
164824.SZ,印度基金LOF,etf,kama_cross,2022-01-04,2023-12-29,1.779,3.445,0.202,-8.54,50.0,2.09,4
