代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159806.SZ,新能源车ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.585,-4.906,-0.24,-14.877,33.33,0.68,3
159807.SZ,科技ETF,etf,kama_cross,2022-01-04,2023-12-29,-7.21,-13.388,-0.649,-16.203,20.0,0.26,5
159825.SZ,农业ETF,etf,kama_cross,2022-01-04,2023-12-29,-15.473,-27.592,-1.592,-30.659,0.0,0.0,7
159837.SZ,生物科技ETF,etf,kama_cross,2022-01-04,2023-12-29,-11.82,-21.463,-1.2,-23.417,25.0,0.13,4
159845.SZ,中证1000ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.658,-5.042,-0.246,-15.998,40.0,0.84,5
159857.SZ,光伏ETF,etf,kama_cross,2022-01-04,2023-12-29,32.203,70.946,0.975,-19.636,20.0,31.15,5
159861.SZ,碳中和50ETF,etf,kama_cross,2022-01-04,2023-12-29,-13.328,-24.022,-1.474,-26.192,16.67,0.45,6
159865.SZ,养殖ETF,etf,kama_cross,2022-01-04,2023-12-29,-21.943,-37.861,-1.972,-37.969,0.0,0.0,7
159881.SZ,有色60ETF,etf,kama_cross,2022-01-04,2023-12-29,-9.77,-17.918,-0.743,-29.439,16.67,0.27,6
159886.SZ,机械ETF,etf,kama_cross,2022-01-04,2023-12-29,9.924,19.928,0.452,-23.278,20.0,9.37,5
159901.SZ,深证100ETF,etf,kama_cross,2022-01-04,2023-12-29,-6.782,-12.618,-1.711,-12.618,0.0,0.0,6
159919.SZ,沪深300ETF,etf,kama_cross,2022-01-04,2023-12-29,4.391,8.603,0.554,-8.699,33.33,9.7,3
159920.SZ,恒生ETF,etf,kama_cross,2022-01-04,2023-12-29,11.197,22.61,0.503,-15.881,20.0,10.49,5
159922.SZ,中证500ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.052,-3.904,-0.178,-23.152,25.0,2.63,8
159928.SZ,消费ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.36,-4.484,-0.209,-19.427,16.67,3.77,6
159949.SZ,创业板50ETF,etf,kama_cross,2022-01-04,2023-12-29,5.083,9.991,0.299,-23.702,33.33,3.65,6
159967.SZ,创业板成长ETF,etf,kama_cross,2022-01-04,2023-12-29,4.083,7.989,0.215,-29.869,33.33,3.19,6
159992.SZ,创新药ETF,etf,kama_cross,2022-01-04,2023-12-29,-14.887,-26.626,-1.272,-30.0,16.67,0.41,6
159995.SZ,芯片ETF,etf,kama_cross,2022-01-04,2023-12-29,-8.61,-15.88,-0.602,-22.231,42.86,0.44,7
588000.SH,科创50ETF,etf,kama_cross,2022-01-04,2023-12-29,4.104,8.031,0.277,-17.444,50.0,1.98,4
