代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159801.SZ,芯片ETF龙头,etf,kama_cross,2022-01-04,2023-12-29,-3.556,-6.718,-0.377,-12.339,33.33,0.48,3
159805.SZ,传媒ETF,etf,kama_cross,2022-01-04,2023-12-29,-0.184,-0.353,-0.009,-20.471,33.33,2.36,6
159806.SZ,新能源车ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.585,-4.906,-0.24,-14.877,33.33,0.68,3
159825.SZ,农业ETF,etf,kama_cross,2022-01-04,2023-12-29,-15.473,-27.592,-1.592,-30.659,0.0,0.0,7
159928.SZ,消费ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.36,-4.484,-0.209,-19.427,16.67,3.77,6
159930.SZ,能源ETF,etf,kama_cross,2022-01-04,2023-12-29,-1.378,-2.629,-0.083,-15.009,33.33,1.91,6
159936.SZ,可选消费ETF,etf,kama_cross,2022-01-04,2023-12-29,-3.974,-7.493,-0.354,-17.913,30.0,1.54,10
159938.SZ,医药卫生ETF,etf,kama_cross,2022-01-04,2023-12-29,-12.668,-22.906,-1.334,-23.704,0.0,0.0,6
159943.SZ,深证成指ETF,etf,kama_cross,2022-01-04,2023-12-29,5.733,11.301,0.391,-18.355,25.0,4.91,8
159949.SZ,创业板50ETF,etf,kama_cross,2022-01-04,2023-12-29,5.083,9.991,0.299,-23.702,33.33,3.65,6
159967.SZ,创业板成长ETF,etf,kama_cross,2022-01-04,2023-12-29,4.083,7.989,0.215,-29.869,33.33,3.19,6
159974.SZ,央企创新ETF,etf,kama_cross,2022-01-04,2023-12-29,-1.706,-3.244,-0.118,-15.95,28.57,2.29,7
159998.SZ,计算机ETF,etf,kama_cross,2022-01-04,2023-12-29,8.091,16.116,0.274,-21.17,50.0,2.06,8
160140.SZ,美国REIT精选LOF,etf,kama_cross,2022-01-04,2023-12-29,3.355,6.544,0.459,-6.299,100.0,0.0,2
160644.SZ,港美互联网LOF,etf,kama_cross,2022-01-04,2023-12-29,-0.731,-1.382,-0.036,-25.276,33.33,2.01,9
161124.SZ,港股小盘LOF,etf,kama_cross,2022-01-04,2023-12-29,-10.257,-17.324,-1.174,-24.157,20.0,0.54,5
161128.SZ,标普信息科技LOF,etf,kama_cross,2022-01-04,2023-12-29,-2.108,-4.009,-0.248,-10.098,33.33,1.31,3
162719.SZ,石油LOF,etf,kama_cross,2022-01-04,2023-12-29,10.998,22.19,0.358,-30.708,40.0,6.23,5
164701.SZ,黄金LOF,etf,kama_cross,2022-01-04,2023-12-29,2.852,5.55,0.213,-10.199,33.33,3.12,9
501025.SH,香港银行LOF,etf,kama_cross,2022-01-04,2023-12-29,0.368,0.709,0.075,-7.182,100.0,0.0,1
