代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159801.SZ,芯片ETF龙头,etf,kama_cross,2022-01-04,2023-12-29,-3.556,-6.718,-0.377,-12.339,33.33,0.48,3
159806.SZ,新能源车ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.585,-4.906,-0.24,-14.877,33.33,0.68,3
159930.SZ,能源ETF,etf,kama_cross,2022-01-04,2023-12-29,-1.378,-2.629,-0.083,-15.009,33.33,1.91,6
159941.SZ,纳指ETF,etf,kama_cross,2022-01-04,2023-12-29,19.612,41.05,1.503,-5.915,100.0,0.0,7
159945.SZ,能源ETF广发,etf,kama_cross,2022-01-04,2023-12-29,-6.775,-12.605,-0.579,-22.906,20.0,0.18,5
159949.SZ,创业板50ETF,etf,kama_cross,2022-01-04,2023-12-29,5.083,9.991,0.299,-23.702,33.33,3.65,6
159959.SZ,央企ETF,etf,kama_cross,2022-01-04,2023-12-29,0.303,0.583,0.023,-15.506,40.0,1.69,5
159967.SZ,创业板成长ETF,etf,kama_cross,2022-01-04,2023-12-29,4.083,7.989,0.215,-29.869,33.33,3.19,6
159974.SZ,央企创新ETF,etf,kama_cross,2022-01-04,2023-12-29,-1.706,-3.244,-0.118,-15.95,28.57,2.29,7
159982.SZ,中证500ETF鹏华,etf,kama_cross,2022-01-04,2023-12-29,1.014,1.956,0.079,-13.184,20.0,4.74,10
160140.SZ,美国REIT精选LOF,etf,kama_cross,2022-01-04,2023-12-29,3.355,6.544,0.459,-6.299,100.0,0.0,2
160216.SZ,国泰商品LOF,etf,kama_cross,2022-01-04,2023-12-29,2.68,5.211,0.07,-45.411,42.86,1.95,7
160416.SZ,石油基金LOF,etf,kama_cross,2022-01-04,2023-12-29,-17.373,-30.686,-1.25,-33.171,12.5,0.12,8
160723.SZ,嘉实原油LOF,etf,kama_cross,2022-01-04,2023-12-29,7.015,13.909,0.151,-53.666,40.0,2.74,5
161125.SZ,标普500LOF,etf,kama_cross,2022-01-04,2023-12-29,0.256,0.491,0.036,-14.258,20.0,4.51,5
161128.SZ,标普信息科技LOF,etf,kama_cross,2022-01-04,2023-12-29,-2.108,-4.009,-0.248,-10.098,33.33,1.31,3
161130.SZ,纳斯达克100LOF,etf,kama_cross,2022-01-04,2023-12-29,8.608,17.186,0.692,-10.699,60.0,3.78,5
161815.SZ,抗通胀LOF,etf,kama_cross,2022-01-04,2023-12-29,20.004,41.94,0.487,-29.325,50.0,10.48,4
162719.SZ,石油LOF,etf,kama_cross,2022-01-04,2023-12-29,10.998,22.19,0.358,-30.708,40.0,6.23,5
501057.SH,新能源车LOF,etf,kama_cross,2022-01-04,2023-12-29,31.613,69.484,1.15,-13.844,50.0,11.94,4
