代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159801.SZ,芯片ETF龙头,etf,kama_cross,2022-01-04,2023-12-29,-3.556,-6.718,-0.377,-12.339,33.33,0.48,3
159839.SZ,生物药ETF,etf,kama_cross,2022-01-04,2023-12-29,-4.949,-9.289,-0.277,-23.437,16.67,3.86,6
159850.SZ,恒生国企ETF,etf,kama_cross,2022-01-04,2023-12-29,-7.614,-14.11,-1.015,-14.11,0.0,0.0,2
159852.SZ,软件ETF,etf,kama_cross,2022-01-04,2023-12-29,6.799,13.467,0.234,-22.488,30.77,4.29,13
159855.SZ,影视ETF,etf,kama_cross,2022-01-04,2023-12-29,-6.27,-11.695,-0.254,-34.504,33.33,1.49,6
159865.SZ,养殖ETF,etf,kama_cross,2022-01-04,2023-12-29,-21.943,-37.861,-1.972,-37.969,0.0,0.0,7
159870.SZ,化工ETF,etf,kama_cross,2022-01-04,2023-12-29,0.18,0.345,0.028,-9.967,33.33,2.22,3
159903.SZ,深成ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.334,-4.434,-0.281,-17.389,28.57,1.85,7
159928.SZ,消费ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.36,-4.484,-0.209,-19.427,16.67,3.77,6
159936.SZ,可选消费ETF,etf,kama_cross,2022-01-04,2023-12-29,-3.974,-7.493,-0.354,-17.913,30.0,1.54,10
159943.SZ,深证成指ETF,etf,kama_cross,2022-01-04,2023-12-29,5.733,11.301,0.391,-18.355,25.0,4.91,8
159945.SZ,能源ETF广发,etf,kama_cross,2022-01-04,2023-12-29,-6.775,-12.605,-0.579,-22.906,20.0,0.18,5
159993.SZ,证券ETF龙头,etf,kama_cross,2022-01-04,2023-12-29,3.663,7.154,0.248,-15.971,50.0,2.51,4
160125.SZ,南方香港LOF,etf,kama_cross,2022-01-04,2023-12-29,3.173,5.987,0.222,-11.52,66.67,1.91,6
160140.SZ,美国REIT精选LOF,etf,kama_cross,2022-01-04,2023-12-29,3.355,6.544,0.459,-6.299,100.0,0.0,2
161028.SZ,新能源车LOF,etf,kama_cross,2022-01-04,2023-12-29,-5.677,-10.618,-0.677,-17.935,0.0,0.0,5
161116.SZ,黄金主题LOF,etf,kama_cross,2022-01-04,2023-12-29,-0.213,-0.409,-0.014,-24.866,42.86,1.35,7
161125.SZ,标普500LOF,etf,kama_cross,2022-01-04,2023-12-29,0.256,0.491,0.036,-14.258,20.0,4.51,5
162411.SZ,华宝油气LOF,etf,kama_cross,2022-01-04,2023-12-29,9.471,18.982,0.434,-25.084,66.67,2.64,3
588000.SH,科创50ETF,etf,kama_cross,2022-01-04,2023-12-29,4.104,8.031,0.277,-17.444,50.0,1.98,4
