,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_KAMA,Exit_KAMA,Entry_EfficiencyRatio,Exit_EfficiencyRatio,Entry_KamaSlope,Exit_KamaSlope,Entry_ATR,Exit_ATR
0,10520,30,31,0.950089878225211,0.960977221618327,,,104.48263955040368,10.05221294517701,0.010453547680928052,2022-02-22,2022-02-23,1 days,,0.946217471934268,0.9492688747395279,0.5390241207742158,0.40733495161396527,0.0001131439136633124,0.00047322157358594313,0.029367068672152802,0.031263990025603816
1,10831,32,33,0.9323772829175266,0.9207522876184596,,,-135.94594727343252,10.035623189237633,-0.013461889638773246,2022-02-24,2022-02-25,1 days,,0.945331355249705,0.9432699510624607,0.4552283511604987,0.4171613531023025,-0.00044305834228127355,-0.0029994618385336125,0.03744463463804429,0.035176796574813735
2,19497,82,85,0.5110082678741426,0.507380062290565,,,-80.66688289962254,9.927758636610651,-0.008096541697597194,2022-05-12,2022-05-17,5 days,,0.5035013165919459,0.5040653683351766,0.1358891889797103,0.1714843962207938,0.0002782678515738842,0.00014365995211340632,0.026825080083557017,0.02128707355449201
3,18908,86,91,0.5226695693925142,0.5016317443264943,,,-407.4669409682042,9.683744619899507,-0.041230591916660515,2022-05-18,2022-05-25,7 days,,0.5043730039811737,0.5050073235296049,0.1310510148581072,0.03398147012307397,0.0003070913120537533,-0.00022205320021484454,0.020199510386301155,0.02144406015903718
4,17320,95,124,0.5470644134964864,0.6079104477320412,,,1043.85123066157,10.00208229823905,0.11016718565139792,2022-05-31,2022-07-12,42 days,,0.5118266974552061,0.6416513623382005,0.42891492859635083,0.020467920335366437,0.0035183972572450095,-0.00017524856417046783,0.02238666787264606,0.020079785726497767
5,16416,137,138,0.6407474621592724,0.6383017871992549,,,-50.646636382381466,10.498436238734792,-0.004815000865239248,2022-07-29,2022-08-01,3 days,,0.6373221674600287,0.6375097117816378,0.1326274573104413,0.12089381789959244,9.76628630032413e-05,6.151337512990314e-05,0.017594701230667673,0.01785738183163309
6,16871,139,140,0.6204864337824209,0.6086937011080084,,,-209.32394197788147,10.368749027868216,-0.01999612250379744,2022-08-02,2022-08-03,1 days,,0.6363288673478057,0.6360192974667248,0.19091556934330206,0.11019768143088753,-0.0004966500561115103,-0.0007452071574564437,0.022398555419978608,0.023857139776574804
7,13510,243,271,0.7593373326777143,0.8809710635434456,,,1632.1914207795555,11.080283216473935,0.15910396008264954,2023-01-04,2023-02-20,47 days,,0.6926867656437277,0.9174414801536472,0.06902757020948333,0.22149893036827434,0.0006743875868977511,-0.0010370872254113668,0.025315592484502634,0.042871234275510275
8,13234,274,275,0.8984542369792388,0.8918133181971212,,,-99.73211957514614,11.846200412601974,-0.008387797897245515,2023-02-23,2023-02-24,1 days,,0.9171915394182154,0.9170445881953065,0.03298447334983431,0.030019148104520357,-7.376556999686794e-05,-0.0001986648502585453,0.03869957201014668,0.035968941340083424
9,9406,308,309,1.2534567833257355,1.2366640165060965,,,-169.6638028271339,11.711038121609105,-0.014390465997316687,2023-04-13,2023-04-14,1 days,,1.2674675346808815,1.266409287726869,0.20812225247309674,0.2334707760994603,-0.00011672763168994275,-0.0013359175507128285,0.08100230834200808,0.07637590919951204
10,11107,347,356,1.0462961458120297,1.0765578678987897,,,324.32767745250067,11.789269765143036,0.02790825063896451,2023-06-12,2023-06-27,15 days,,1.0077113898720331,1.1070824583162726,0.10451865111196063,0.1954309926855429,0.000703878044575094,-0.0011142461967974526,0.03708662962591603,0.06706311950706256
11,18339,446,457,0.6513325900568123,0.6464490518604954,,,-101.4592157478169,11.900008765560752,-0.00849401534904464,2023-11-08,2023-11-23,15 days,,0.6350079125331557,0.6463288900117053,0.1696525354372205,0.2797567642621679,0.0004633567404822199,0.00010967511371765919,0.02143895486678555,0.01863652830925186
12,18795,458,459,0.630151477935644,0.6039939416732432,,,-503.22877563259766,11.597881580774517,-0.04248916317695233,2023-11-24,2023-11-27,3 days,,0.6457888972620739,0.6453715184184211,0.10579928159487001,0.06546456439314069,-0.00014929091948356898,-0.00047868579664219385,0.02140915799525045,0.02034643482609099
