代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159801.SZ,芯片ETF龙头,etf,kama_cross,2022-01-04,2023-12-29,-3.556,-6.718,-0.377,-12.339,33.33,0.48,3
159839.SZ,生物药ETF,etf,kama_cross,2022-01-04,2023-12-29,-4.949,-9.289,-0.277,-23.437,16.67,3.86,6
159852.SZ,软件ETF,etf,kama_cross,2022-01-04,2023-12-29,6.799,13.467,0.234,-22.488,30.77,4.29,13
159855.SZ,影视ETF,etf,kama_cross,2022-01-04,2023-12-29,-6.27,-11.695,-0.254,-34.504,33.33,1.49,6
159870.SZ,化工ETF,etf,kama_cross,2022-01-04,2023-12-29,0.18,0.345,0.028,-9.967,33.33,2.22,3
159903.SZ,深成ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.334,-4.434,-0.281,-17.389,28.57,1.85,7
159945.SZ,能源ETF广发,etf,kama_cross,2022-01-04,2023-12-29,-6.775,-12.605,-0.579,-22.906,20.0,0.18,5
159949.SZ,创业板50ETF,etf,kama_cross,2022-01-04,2023-12-29,5.083,9.991,0.299,-23.702,33.33,3.65,6
159968.SZ,中证500ETF博时,etf,kama_cross,2022-01-04,2023-12-29,1.303,2.517,0.114,-18.58,28.57,3.28,7
159993.SZ,证券ETF龙头,etf,kama_cross,2022-01-04,2023-12-29,3.663,7.154,0.248,-15.971,50.0,2.51,4
160140.SZ,美国REIT精选LOF,etf,kama_cross,2022-01-04,2023-12-29,3.355,6.544,0.459,-6.299,100.0,0.0,2
160216.SZ,国泰商品LOF,etf,kama_cross,2022-01-04,2023-12-29,2.68,5.211,0.07,-45.411,42.86,1.95,7
160723.SZ,嘉实原油LOF,etf,kama_cross,2022-01-04,2023-12-29,7.015,13.909,0.151,-53.666,40.0,2.74,5
161028.SZ,新能源车LOF,etf,kama_cross,2022-01-04,2023-12-29,-5.677,-10.618,-0.677,-17.935,0.0,0.0,5
161125.SZ,标普500LOF,etf,kama_cross,2022-01-04,2023-12-29,0.256,0.491,0.036,-14.258,20.0,4.51,5
161815.SZ,抗通胀LOF,etf,kama_cross,2022-01-04,2023-12-29,20.004,41.94,0.487,-29.325,50.0,10.48,4
162411.SZ,华宝油气LOF,etf,kama_cross,2022-01-04,2023-12-29,9.471,18.982,0.434,-25.084,66.67,2.64,3
162719.SZ,石油LOF,etf,kama_cross,2022-01-04,2023-12-29,10.998,22.19,0.358,-30.708,40.0,6.23,5
163113.SZ,申万证券LOF,etf,kama_cross,2022-01-04,2023-12-29,-4.197,-7.905,-0.77,-10.866,25.0,0.37,4
588000.SH,科创50ETF,etf,kama_cross,2022-01-04,2023-12-29,4.104,8.031,0.277,-17.444,50.0,1.98,4
