代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159766.SZ,旅游ETF,etf,kama_cross,2022-01-04,2023-12-29,6.011,11.865,0.455,-9.659,50.0,50.98,2
159805.SZ,传媒ETF,etf,kama_cross,2022-01-04,2023-12-29,-0.184,-0.353,-0.009,-20.471,33.33,2.36,6
159819.SZ,人工智能ETF,etf,kama_cross,2022-01-04,2023-12-29,21.516,45.394,0.712,-20.273,50.0,7.78,6
159845.SZ,中证1000ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.658,-5.042,-0.246,-15.998,40.0,0.84,5
159847.SZ,医疗ETF易方达,etf,kama_cross,2022-01-04,2023-12-29,-16.376,-29.07,-1.462,-31.952,0.0,0.0,6
159865.SZ,养殖ETF,etf,kama_cross,2022-01-04,2023-12-29,-21.943,-37.861,-1.972,-37.969,0.0,0.0,7
159887.SZ,银行ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.798,-5.305,-0.192,-11.614,40.0,1.1,10
159888.SZ,智能车ETF,etf,kama_cross,2022-01-04,2023-12-29,-14.826,-26.524,-1.094,-28.556,11.11,0.1,9
159906.SZ,深成长龙头ETF,etf,kama_cross,2022-01-04,2023-12-29,-8.908,-16.406,-0.616,-30.679,14.29,3.57,7
159936.SZ,可选消费ETF,etf,kama_cross,2022-01-04,2023-12-29,-3.974,-7.493,-0.354,-17.913,30.0,1.54,10
160140.SZ,美国REIT精选LOF,etf,kama_cross,2022-01-04,2023-12-29,3.355,6.544,0.459,-6.299,100.0,0.0,2
160717.SZ,H股LOF,etf,kama_cross,2022-01-04,2023-12-29,7.182,14.249,0.283,-21.529,20.0,7.24,10
161028.SZ,新能源车LOF,etf,kama_cross,2022-01-04,2023-12-29,-5.677,-10.618,-0.677,-17.935,0.0,0.0,5
161124.SZ,港股小盘LOF,etf,kama_cross,2022-01-04,2023-12-29,-10.257,-17.324,-1.174,-24.157,20.0,0.54,5
161125.SZ,标普500LOF,etf,kama_cross,2022-01-04,2023-12-29,0.256,0.491,0.036,-14.258,20.0,4.51,5
161724.SZ,煤炭等权LOF,etf,kama_cross,2022-01-04,2023-12-29,-9.659,-17.725,-0.859,-19.614,33.33,0.54,6
162411.SZ,华宝油气LOF,etf,kama_cross,2022-01-04,2023-12-29,9.471,18.982,0.434,-25.084,66.67,2.64,3
164701.SZ,黄金LOF,etf,kama_cross,2022-01-04,2023-12-29,2.852,5.55,0.213,-10.199,33.33,3.12,9
588330.SH,双创龙头ETF,etf,kama_cross,2022-01-04,2023-12-29,-8.707,-16.051,-1.104,-20.365,16.67,0.33,6
