,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_KAMA,Exit_KAMA,Entry_EfficiencyRatio,Exit_EfficiencyRatio,Entry_KamaSlope,Exit_KamaSlope,Entry_ATR,Exit_ATR
0,4333,32,40,2.3066301806495684,2.1394088736771124,,,-734.2022667228504,9.632343611198754,-0.0734596850076341,2022-02-24,2022-03-08,12 days,,2.2836014451206643,2.2790558927859954,0.2089075897689088,0.24431184308162315,0.0012309647119934652,-0.005161471774487225,0.05556961787930018,0.06410817115391482
1,5458,86,91,1.6966870219059589,1.696604181544601,,,-9.712434386508388,9.260291694216576,-0.0010488003621812944,2022-05-18,2022-05-25,7 days,,1.6851727567549963,1.6877908866645381,0.15657622266154117,0.06762943960229251,0.00033890236151841907,0.00014527548484810637,0.04554664580641543,0.052025043294327666
2,5301,92,124,1.7450877447886353,2.0347332662451083,,,1525.3924936510186,10.018415589744937,0.16489463742455493,2022-05-26,2022-07-12,47 days,,1.6930847011572205,2.065283040650985,0.3368492713984298,0.003889823936254024,0.0028318770240982616,-0.00020535546543006453,0.05145134169097254,0.04794752337819549
3,5109,130,133,2.1088541902434037,2.044468069387578,,,-339.5583531646405,10.609661712227343,-0.03151606322197653,2022-07-20,2022-07-25,5 days,,2.067246271665378,2.06695886597001,0.2270842286667784,0.09438221851872663,0.0014987344389941388,-0.00031600827320528896,0.04633624618141919,0.04702372602312518
4,5224,219,232,1.9975339719830452,1.9198488418035236,,,-416.0593239674314,10.232203909610517,-0.039871072383989965,2022-11-30,2022-12-19,19 days,,1.9474710396560244,1.9548503700217144,0.2226421081897403,0.31879842595455093,0.002937222161702261,-0.0025775934656699917,0.03898628133845903,0.03287008963560979
5,5215,245,264,1.921380024630916,2.12012213462794,,,1025.9018867542134,10.538216880267466,0.10238545024698249,2023-01-06,2023-02-09,34 days,,1.8878562948863917,2.119465411089134,0.2069323380474119,0.5325080705441478,0.0013571429604682568,0.000998590122347191,0.031600606831355973,0.03592722714957232
6,5154,265,270,2.142920119975698,2.096180607000079,,,-251.81961244975668,10.924162573416577,-0.02280022614172896,2023-02-10,2023-02-17,7 days,,2.121513226417967,2.1344421004470058,0.4805157098946534,0.24205221392027898,0.0036871632992365733,-0.0022966740059088644,0.03492686166400748,0.0358960679182276
7,5087,296,298,2.1216404709383387,2.1004555998279737,,,-118.5063406944211,10.738901355994116,-0.010980144593228472,2023-03-27,2023-03-29,2 days,,2.1195192848999898,2.1185260271347435,0.012134612015718886,0.18942792330390443,1.397984877075468e-05,-0.0004966288826230661,0.028847583662561467,0.026254301225604192
8,4932,301,315,2.1642367493567383,2.083557041220138,,,-408.38738001727586,10.475059487562577,-0.038259957029423884,2023-04-03,2023-04-24,21 days,,2.119186857715279,2.171051813580871,0.044381452062422645,0.13299354791966153,0.00041673143661569156,-0.0015089700721535593,0.029893778813276005,0.032858499098133084
9,5789,458,459,1.7734684814319488,1.7618519776263608,,,-77.48092559929313,10.232985068744277,-0.007546885763828405,2023-11-24,2023-11-27,3 days,,1.7702368266514525,1.7701681977812895,0.09747652288785183,0.02425635006320031,0.0007102825179057248,-7.90451708851947e-05,0.030612512129561727,0.028765332902032936
