代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159843.SZ,食品饮料ETF,etf,kama_cross,2022-01-04,2023-12-29,3.571,6.972,0.243,-11.951,20.0,7.39,5
159845.SZ,中证1000ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.658,-5.042,-0.246,-15.998,40.0,0.84,5
159847.SZ,医疗ETF易方达,etf,kama_cross,2022-01-04,2023-12-29,-16.376,-29.07,-1.462,-31.952,0.0,0.0,6
159855.SZ,影视ETF,etf,kama_cross,2022-01-04,2023-12-29,-6.27,-11.695,-0.254,-34.504,33.33,1.49,6
159863.SZ,光伏ETF基金,etf,kama_cross,2022-01-04,2023-12-29,0.442,0.85,0.063,-11.426,33.33,2.46,3
159865.SZ,养殖ETF,etf,kama_cross,2022-01-04,2023-12-29,-21.943,-37.861,-1.972,-37.969,0.0,0.0,7
159887.SZ,银行ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.798,-5.305,-0.192,-11.614,40.0,1.1,10
159888.SZ,智能车ETF,etf,kama_cross,2022-01-04,2023-12-29,-14.826,-26.524,-1.094,-28.556,11.11,0.1,9
159907.SZ,2000ETF,etf,kama_cross,2022-01-04,2023-12-29,-6.669,-12.223,-0.949,-16.093,0.0,0.0,6
159928.SZ,消费ETF,etf,kama_cross,2022-01-04,2023-12-29,-2.36,-4.484,-0.209,-19.427,16.67,3.77,6
159943.SZ,深证成指ETF,etf,kama_cross,2022-01-04,2023-12-29,5.733,11.301,0.391,-18.355,25.0,4.91,8
159960.SZ,恒生中国企业ETF,etf,kama_cross,2022-01-04,2023-12-29,-9.114,-16.769,-0.924,-22.552,0.0,0.0,5
159966.SZ,创业板价值ETF,etf,kama_cross,2022-01-04,2023-12-29,-3.159,-5.979,-0.204,-18.473,28.57,2.04,7
159994.SZ,5GETF,etf,kama_cross,2022-01-04,2023-12-29,-4.252,-8.007,-0.344,-18.393,20.0,2.34,5
160125.SZ,南方香港LOF,etf,kama_cross,2022-01-04,2023-12-29,3.173,5.987,0.222,-11.52,66.67,1.91,6
160140.SZ,美国REIT精选LOF,etf,kama_cross,2022-01-04,2023-12-29,3.355,6.544,0.459,-6.299,100.0,0.0,2
161128.SZ,标普信息科技LOF,etf,kama_cross,2022-01-04,2023-12-29,-2.108,-4.009,-0.248,-10.098,33.33,1.31,3
161724.SZ,煤炭等权LOF,etf,kama_cross,2022-01-04,2023-12-29,-9.659,-17.725,-0.859,-19.614,33.33,0.54,6
162411.SZ,华宝油气LOF,etf,kama_cross,2022-01-04,2023-12-29,9.471,18.982,0.434,-25.084,66.67,2.64,3
