代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159506.SZ,港股通医疗ETF富国,etf,kama_cross,2024-01-02,2025-11-28,8.454,16.043,0.246,-28.921,30.77,3.41,13
159507.SZ,通信ETF广发,etf,kama_cross,2024-01-02,2025-11-28,59.441,134.328,0.88,-33.707,27.27,12.89,11
159516.SZ,半导体设备ETF,etf,kama_cross,2024-01-02,2025-11-28,8.146,15.439,0.286,-21.623,20.0,8.12,5
159616.SZ,农牧ETF,etf,kama_cross,2024-01-02,2025-11-28,3.804,7.085,0.196,-21.639,44.44,2.16,9
159629.SZ,1000ETF,etf,kama_cross,2024-01-02,2025-11-28,13.08,25.277,0.543,-18.259,25.0,9.56,8
159671.SZ,稀有金属ETF基金,etf,kama_cross,2024-01-02,2025-11-28,7.776,14.715,0.25,-26.384,44.44,2.02,9
159673.SZ,沪深300ETF鹏华,etf,kama_cross,2024-01-02,2025-11-28,2.95,5.475,0.241,-12.405,33.33,3.03,6
159676.SZ,创业板增强ETF富国,etf,kama_cross,2024-01-02,2025-11-28,8.509,16.151,0.345,-23.231,37.5,2.92,16
159691.SZ,港股红利ETF,etf,kama_cross,2024-01-02,2025-11-28,-0.263,-0.481,-0.021,-14.92,40.0,1.53,10
159692.SZ,证券ETF东财,etf,kama_cross,2024-01-02,2025-11-28,-12.174,-21.179,-0.527,-30.377,18.18,1.7,11
160723.SZ,嘉实原油LOF,etf,kama_cross,2024-01-02,2025-11-28,-6.436,-11.481,-1.505,-12.767,20.0,0.44,5
161724.SZ,煤炭等权LOF,etf,kama_cross,2024-01-02,2025-11-28,9.868,18.787,0.244,-33.92,37.5,3.13,8
164701.SZ,黄金LOF,etf,kama_cross,2024-01-02,2025-11-28,15.123,29.459,0.845,-14.564,50.0,4.89,6
164824.SZ,印度基金LOF,etf,kama_cross,2024-01-02,2025-11-28,-2.437,-4.423,-0.186,-14.241,22.22,2.87,9
501312.SH,海外科技LOF,etf,kama_cross,2024-01-02,2025-11-28,17.162,33.693,0.716,-20.588,50.0,2.74,6
513970.SH,恒生消费ETF,etf,kama_cross,2024-01-02,2025-11-28,-3.074,-5.564,-0.352,-14.798,20.0,1.83,5
560070.SH,央企红利ETF基金,etf,kama_cross,2024-01-02,2025-11-28,-0.93,-1.698,-0.145,-6.671,66.67,0.12,3
561950.SH,500指数增强ETF,etf,kama_cross,2024-01-02,2025-11-28,21.517,42.945,1.052,-10.971,80.0,3.3,10
562960.SH,绿色电力ETF易方达,etf,kama_cross,2024-01-02,2025-11-28,0.886,1.63,0.099,-8.842,50.0,1.82,4
563050.SH,央企科技50ETF,etf,kama_cross,2024-01-02,2025-11-28,3.468,6.451,0.262,-13.067,50.0,1.63,4
