代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159501.SZ,纳指ETF嘉实,etf,kama_cross,2024-01-02,2025-11-28,9.819,18.734,0.575,-13.909,66.67,2.06,6
159506.SZ,港股通医疗ETF富国,etf,kama_cross,2024-01-02,2025-11-28,8.454,16.043,0.246,-28.921,30.77,3.41,13
159507.SZ,通信ETF广发,etf,kama_cross,2024-01-02,2025-11-28,59.441,134.328,0.88,-33.707,27.27,12.89,11
159512.SZ,汽车ETF,etf,kama_cross,2024-01-02,2025-11-28,-10.179,-17.865,-0.509,-28.894,18.18,2.5,11
159513.SZ,纳斯达克100指数ETF,etf,kama_cross,2024-01-02,2025-11-28,1.996,3.69,0.122,-18.28,62.5,0.75,8
159516.SZ,半导体设备ETF,etf,kama_cross,2024-01-02,2025-11-28,8.146,15.439,0.286,-21.623,20.0,8.12,5
159659.SZ,纳斯达克100ETF,etf,kama_cross,2024-01-02,2025-11-28,21.262,42.395,1.123,-10.871,77.78,3.99,9
159673.SZ,沪深300ETF鹏华,etf,kama_cross,2024-01-02,2025-11-28,2.95,5.475,0.241,-12.405,33.33,3.03,6
159692.SZ,证券ETF东财,etf,kama_cross,2024-01-02,2025-11-28,-12.174,-21.179,-0.527,-30.377,18.18,1.7,11
501225.SH,全球芯片LOF,etf,kama_cross,2024-01-02,2025-11-28,-2.281,-4.143,-0.215,-13.475,50.0,0.09,2
501312.SH,海外科技LOF,etf,kama_cross,2024-01-02,2025-11-28,17.162,33.693,0.716,-20.588,50.0,2.74,6
513110.SH,纳斯达克100ETF,etf,kama_cross,2024-01-02,2025-11-28,13.668,26.475,0.661,-14.198,58.33,1.84,12
513650.SH,标普500ETF南方,etf,kama_cross,2024-01-02,2025-11-28,18.542,36.594,1.154,-9.395,75.0,3.4,8
561950.SH,500指数增强ETF,etf,kama_cross,2024-01-02,2025-11-28,21.517,42.945,1.052,-10.971,80.0,3.3,10
562380.SH,央企科技引领ETF,etf,kama_cross,2024-01-02,2025-11-28,6.749,12.72,0.542,-12.939,66.67,1.38,3
562860.SH,生物疫苗ETF,etf,kama_cross,2024-01-02,2025-11-28,36.239,76.286,0.791,-24.977,57.14,4.45,7
562930.SH,软件ETF易方达,etf,kama_cross,2024-01-02,2025-11-28,26.496,53.866,0.653,-24.829,37.5,8.01,8
563010.SH,电信ETF,etf,kama_cross,2024-01-02,2025-11-28,20.05,39.796,0.529,-29.947,27.27,7.06,11
563050.SH,央企科技50ETF,etf,kama_cross,2024-01-02,2025-11-28,3.468,6.451,0.262,-13.067,50.0,1.63,4
588460.SH,科创50增强ETF,etf,kama_cross,2024-01-02,2025-11-28,-2.008,-3.651,-0.111,-20.073,25.0,2.49,4
