代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159625.SZ,绿色电力ETF,etf,kama_cross,2024-01-02,2025-11-28,2.868,5.321,0.243,-12.966,66.67,0.85,6
159629.SZ,1000ETF,etf,kama_cross,2024-01-02,2025-11-28,13.08,25.277,0.543,-18.259,25.0,9.56,8
159662.SZ,交运ETF,etf,kama_cross,2024-01-02,2025-11-28,2.391,4.418,0.29,-10.563,50.0,2.19,4
159845.SZ,中证1000ETF,etf,kama_cross,2024-01-02,2025-11-28,-6.457,-11.518,-0.574,-17.224,16.67,0.17,6
159869.SZ,游戏ETF,etf,kama_cross,2024-01-02,2025-11-28,9.345,17.797,0.39,-16.875,75.0,2.45,4
159915.SZ,创业板ETF,etf,kama_cross,2024-01-02,2025-11-28,-9.448,-16.635,-0.448,-25.898,36.36,0.76,11
162411.SZ,华宝油气LOF,etf,kama_cross,2024-01-02,2025-11-28,-2.309,-4.192,-0.132,-19.193,37.5,1.26,8
164824.SZ,印度基金LOF,etf,kama_cross,2024-01-02,2025-11-28,-2.437,-4.423,-0.186,-14.241,22.22,2.87,9
510050.SH,上证50ETF,etf,kama_cross,2024-01-02,2025-11-28,2.351,4.352,0.216,-6.519,50.0,1.95,4
510500.SH,中证500ETF,etf,kama_cross,2024-01-02,2025-11-28,8.828,16.777,0.555,-16.536,50.0,3.37,6
512010.SH,医药ETF,etf,kama_cross,2024-01-02,2025-11-28,-3.121,-5.647,-0.236,-20.642,50.0,0.66,8
512880.SH,证券ETF,etf,kama_cross,2024-01-02,2025-11-28,-2.796,-5.066,-0.097,-33.034,33.33,1.67,9
513100.SH,纳指ETF,etf,kama_cross,2024-01-02,2025-11-28,-2.716,-4.923,-0.189,-24.574,63.64,0.47,11
513180.SH,恒生科技指数ETF,etf,kama_cross,2024-01-02,2025-11-28,-15.484,-26.54,-1.032,-30.896,14.29,0.24,7
515080.SH,中证红利ETF,etf,kama_cross,2024-01-02,2025-11-28,-5.678,-10.162,-0.516,-20.379,33.33,0.44,6
515220.SH,煤炭ETF,etf,kama_cross,2024-01-02,2025-11-28,-3.008,-5.446,-0.153,-18.016,33.33,1.63,3
516220.SH,化工龙头ETF,etf,kama_cross,2024-01-02,2025-11-28,2.083,3.852,0.142,-12.096,40.0,2.46,5
516670.SH,畜牧养殖ETF,etf,kama_cross,2024-01-02,2025-11-28,8.794,16.711,0.408,-14.373,60.0,3.11,5
588000.SH,科创50ETF,etf,kama_cross,2024-01-02,2025-11-28,16.657,32.638,0.259,-42.903,28.57,6.21,7
