,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_KAMA,Exit_KAMA,Entry_EfficiencyRatio,Exit_EfficiencyRatio,Entry_KamaSlope,Exit_KamaSlope,Entry_ATR,Exit_ATR
0,21451,29,42,0.4659335603549658,0.4768117037456661,,,223.23563954380106,10.111414330111327,0.022335310533806007,2024-02-20,2024-03-08,17 days,,0.4443547597023251,0.456131826626736,0.2943167154927803,0.10927885844012872,0.0013862712216403672,0.0002894240614238856,0.029537817262806132,0.025009148802335523
1,23391,74,92,0.4368325467626314,0.4529482369677233,,,366.5556784311864,10.406431156118362,0.03587370018411651,2024-04-25,2024-05-24,29 days,,0.421024332415411,0.4717658012586531,0.125236511405231,0.06939280741578008,0.00041397758298559556,-0.00011261990940865847,0.01810439771896672,0.022921584718069675
2,23325,130,135,0.4537724695158702,0.4250667207772816,,,-679.8110513843732,10.249462056793881,-0.06422859536813719,2024-07-18,2024-07-25,7 days,,0.4422536443073438,0.44248141034938004,0.10246566839190266,0.020247147209877726,0.00016794712802625789,-0.00014123923787849138,0.015495203770833474,0.016021487492178587
3,14795,186,187,0.6694786452678527,0.6473105272301282,,,-337.7182542716887,9.740947903553813,-0.03409595329936307,2024-10-15,2024-10-16,1 days,,0.680681886044498,0.6788206722067164,0.31478630772736493,0.30675180046222805,-0.00035670496554374154,-0.0019056205328675802,0.053497197974407155,0.04829481350113747
4,13545,190,197,0.7063411835669968,0.6548591639741003,,,-706.542684739506,9.21872935372208,-0.07384904204969019,2024-10-21,2024-10-30,9 days,,0.681482175320035,0.6860441626999987,0.3177486244905838,0.14036892182377542,0.0019103838460066136,-0.0006275418860595868,0.043506515619829954,0.03310494380544715
5,10441,288,294,0.8486467826514509,0.8283379708481639,,,-220.79900294376463,8.754698905644739,-0.0249188527103888,2025-03-17,2025-03-25,8 days,,0.8017818581004732,0.8219780552924759,0.24923643203162527,0.023355898533784395,0.0028721120340883624,0.00010412583199626013,0.03586637011931623,0.03996063485549349
6,5676,355,357,1.5221768134294429,1.412110589324349,,,-633.0633956695277,8.327507649015262,-0.07327228139495019,2025-06-25,2025-06-27,2 days,,1.4504925770132764,1.4472143317354969,0.3611021266332383,0.18314702501426006,0.00544924121807977,-0.0016391226388898044,0.07461077667943099,0.07320049662586188
7,5408,360,361,1.4806043893311336,1.520473916233094,,,207.49948574755638,8.11491573824567,0.025914409024892646,2025-07-02,2025-07-03,1 days,,1.450379780343068,1.4552224809028012,0.13067635207006137,0.22594765710383227,0.0017413076779358623,0.0024051452975566434,0.07275192153531422,0.07948512246488287
8,5182,362,388,1.5853156167916436,2.2558318538658897,,,3464.6627274222697,9.95241309647367,0.42174293639522653,2025-07-04,2025-08-11,38 days,,1.4605278365192953,2.26411019697572,0.21075775216148857,0.3644101532673928,0.005074028088113636,-0.0032126311303493083,0.07494166732364163,0.10363191925996412
9,4785,391,401,2.440239723239885,2.3003061364081705,,,-680.9239689589615,11.341755969207973,-0.058315524661897884,2025-08-14,2025-08-28,14 days,,2.2805148256485177,2.3708952239079184,0.2699908286479685,0.034177622263979225,0.009630100136260348,-0.000490803252602016,0.10183623871744273,0.11340477348039482
