代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159605.SZ,中概互联ETF,etf,kama_cross,2024-01-02,2025-11-28,27.652,56.452,0.674,-21.283,40.0,14.76,5
159845.SZ,中证1000ETF,etf,kama_cross,2024-01-02,2025-11-28,-6.457,-11.518,-0.574,-17.224,16.67,0.17,6
159915.SZ,创业板ETF,etf,kama_cross,2024-01-02,2025-11-28,-9.448,-16.635,-0.448,-25.898,36.36,0.76,11
510050.SH,上证50ETF,etf,kama_cross,2024-01-02,2025-11-28,2.351,4.352,0.216,-6.519,50.0,1.95,4
510300.SH,沪深300ETF,etf,kama_cross,2024-01-02,2025-11-28,6.436,12.114,0.405,-17.005,50.0,2.47,8
510500.SH,中证500ETF,etf,kama_cross,2024-01-02,2025-11-28,8.828,16.777,0.555,-16.536,50.0,3.37,6
512010.SH,医药ETF,etf,kama_cross,2024-01-02,2025-11-28,-3.121,-5.647,-0.236,-20.642,50.0,0.66,8
512100.SH,中证1000ETF,etf,kama_cross,2024-01-02,2025-11-28,7.045,13.294,0.307,-22.026,44.44,2.88,9
512170.SH,医疗ETF,etf,kama_cross,2024-01-02,2025-11-28,0.462,0.849,0.028,-23.027,25.0,3.52,8
512480.SH,半导体ETF,etf,kama_cross,2024-01-02,2025-11-28,-19.756,-33.203,-1.16,-37.682,28.57,0.17,7
512700.SH,银行ETF南方,etf,kama_cross,2024-01-02,2025-11-28,-1.168,-2.131,-0.135,-7.369,40.0,1.11,5
512880.SH,证券ETF,etf,kama_cross,2024-01-02,2025-11-28,-2.796,-5.066,-0.097,-33.034,33.33,1.67,9
513060.SH,恒生医疗ETF,etf,kama_cross,2024-01-02,2025-11-28,-10.115,-17.759,-0.871,-18.763,0.0,0.0,4
513090.SH,香港证券ETF,etf,kama_cross,2024-01-02,2025-11-28,106.189,276.837,1.124,-27.641,66.67,11.06,6
513120.SH,港股创新药ETF,etf,kama_cross,2024-01-02,2025-11-28,5.352,10.031,0.172,-37.968,40.0,2.31,10
513180.SH,恒生科技指数ETF,etf,kama_cross,2024-01-02,2025-11-28,-15.484,-26.54,-1.032,-30.896,14.29,0.24,7
513330.SH,恒生互联网ETF,etf,kama_cross,2024-01-02,2025-11-28,-16.438,-28.053,-1.257,-30.266,0.0,0.0,7
515080.SH,中证红利ETF,etf,kama_cross,2024-01-02,2025-11-28,-5.678,-10.162,-0.516,-20.379,33.33,0.44,6
588000.SH,科创50ETF,etf,kama_cross,2024-01-02,2025-11-28,16.657,32.638,0.259,-42.903,28.57,6.21,7
588200.SH,科创芯片ETF,etf,kama_cross,2024-01-02,2025-11-28,58.74,133.305,0.506,-47.835,40.0,5.63,10
