代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159633.SZ,中证1000ETF易方达,etf,kama_cross,2024-01-02,2025-11-28,3.228,5.997,0.16,-22.667,33.33,3.39,6
159719.SZ,国企共赢ETF,etf,kama_cross,2024-01-02,2025-11-28,1.484,2.737,0.108,-13.989,28.57,3.35,7
159726.SZ,恒生红利ETF,etf,kama_cross,2024-01-02,2025-11-28,-3.477,-6.281,-0.199,-23.454,44.44,1.09,9
159747.SZ,香港科技ETF,etf,kama_cross,2024-01-02,2025-11-28,-6.444,-11.496,-0.559,-15.954,40.0,0.08,5
159811.SZ,5G50ETF,etf,kama_cross,2024-01-02,2025-11-28,-3.512,-6.344,-0.145,-25.121,42.86,0.86,7
159845.SZ,中证1000ETF,etf,kama_cross,2024-01-02,2025-11-28,-6.457,-11.518,-0.574,-17.224,16.67,0.17,6
159930.SZ,能源ETF,etf,kama_cross,2024-01-02,2025-11-28,-7.451,-13.235,-0.335,-32.044,33.33,0.85,6
159966.SZ,创业板价值ETF,etf,kama_cross,2024-01-02,2025-11-28,3.304,6.141,0.15,-23.198,30.0,3.29,10
160723.SZ,嘉实原油LOF,etf,kama_cross,2024-01-02,2025-11-28,-6.436,-11.481,-1.505,-12.767,20.0,0.44,5
161128.SZ,标普信息科技LOF,etf,kama_cross,2024-01-02,2025-11-28,-5.524,-9.894,-0.274,-30.865,50.0,0.76,8
164701.SZ,黄金LOF,etf,kama_cross,2024-01-02,2025-11-28,15.123,29.459,0.845,-14.564,50.0,4.89,6
164824.SZ,印度基金LOF,etf,kama_cross,2024-01-02,2025-11-28,-2.437,-4.423,-0.186,-14.241,22.22,2.87,9
501219.SH,智胜先锋LOF,etf,kama_cross,2024-01-02,2025-11-28,8.669,16.465,0.408,-26.747,62.5,1.09,8
510410.SH,资源ETF,etf,kama_cross,2024-01-02,2025-11-28,20.342,40.42,0.774,-17.84,50.0,8.43,4
512290.SH,生物医药ETF,etf,kama_cross,2024-01-02,2025-11-28,10.572,20.23,0.437,-13.658,60.0,1.93,5
512890.SH,红利低波ETF,etf,kama_cross,2024-01-02,2025-11-28,-5.098,-9.148,-1.523,-9.148,0.0,0.0,5
516770.SH,游戏ETF华泰柏瑞,etf,kama_cross,2024-01-02,2025-11-28,3.382,6.288,0.147,-17.504,80.0,0.46,5
561120.SH,家电ETF,etf,kama_cross,2024-01-02,2025-11-28,24.685,49.851,0.656,-22.902,40.0,21.2,5
561560.SH,电力ETF,etf,kama_cross,2024-01-02,2025-11-28,5.596,10.497,0.322,-16.909,75.0,1.57,4
562900.SH,农业ETF易方达,etf,kama_cross,2024-01-02,2025-11-28,13.224,25.57,0.628,-22.459,50.0,2.97,10
