,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_KAMA,Exit_KAMA,Entry_EfficiencyRatio,Exit_EfficiencyRatio,Entry_KamaSlope,Exit_KamaSlope,Entry_ATR,Exit_ATR
0,7586,51,64,1.3175188414004892,1.2675782821469104,,,-388.65435588726467,9.805273389615287,-0.038886053242998035,2024-03-21,2024-04-11,21 days,,1.2770531099997104,1.2860173108959156,0.22511666677775907,0.0405696837592611,0.0013178657636426412,-9.408065944486547e-05,0.034454036835894084,0.03513400323780862
1,7558,128,131,1.2709652392784596,1.187881077244088,,,-637.2420768859196,9.291980230138707,-0.06633823065098038,2024-07-16,2024-07-19,3 days,,1.2342603637404816,1.2314203421261338,0.4223723739066671,0.21833966880782638,0.003878036191428791,-0.0017352574136134298,0.04591550346675659,0.04310621480478507
2,7684,175,178,1.1673082491694629,1.1608350430763612,,,-58.68484214820151,8.944726528808456,-0.0065426400821363365,2024-09-23,2024-09-26,3 days,,1.1332602495272255,1.1335541361399795,0.020260765823561275,0.02212442426450691,0.00015175528395664864,6.223218570955424e-05,0.02473296687905434,0.02560959790392565
3,7598,179,182,1.172711054449678,1.1458211897912385,,,-213.11729567069423,8.80810399587124,-0.02391819423389221,2024-09-27,2024-10-09,12 days,,1.1338130652605451,1.1340654074315168,0.02790295381303246,0.05214839053656207,0.00022905414446701874,3.062835957864015e-05,0.025656862501580877,0.025897587683718006
4,7583,183,190,1.1468867222641526,1.1383467361835775,,,-73.42317710670514,8.664462657704568,-0.008442510164110848,2024-10-10,2024-10-21,11 days,,1.1341803223852094,1.1422765986908225,0.08538953067675743,0.0436901199731733,0.00010707448562522852,-9.860713059180644e-05,0.023726013671063084,0.020460138410739376
5,7381,239,250,1.1683855233561462,1.1192441338051902,,,-371.1550935253604,8.442497249753913,-0.04303819533392904,2024-12-27,2025-01-14,18 days,,1.1357192546262145,1.1371839998466426,0.14266534990015087,0.08659393992469248,0.0005135357462127862,-0.00035999811046967994,0.025328913680191176,0.03322584463147302
6,6371,253,260,1.2954099005386293,1.2053411342874465,,,-581.7942522077238,7.966142421438464,-0.07049439851480631,2025-01-17,2025-02-05,19 days,,1.1683164925144633,1.231253517325198,0.4638177105365597,0.07447360578805305,0.015600849240759255,-0.00018802343921109355,0.059242068909909816,0.07269760051861784
7,6095,262,268,1.2586022641287948,1.2152810195898467,,,-271.5821447720215,7.539159307132561,-0.03540291277932088,2025-02-07,2025-02-17,10 days,,1.2326240874905237,1.2330975655103384,0.09987121825800692,0.07499255521978057,0.0006852850826627824,-0.0001711606894942245,0.06540684285565869,0.03736829932765442
8,5833,270,276,1.2687060843978135,1.2296375409523823,,,-235.17323310053405,7.286419183333846,-0.03177860952502875,2025-02-19,2025-02-27,8 days,,1.2352584096290757,1.235028511562722,0.15501942182035836,0.2855274516470626,0.0010804220593687575,-0.0005065237151894072,0.04260828814948538,0.030242834992744605
9,4936,407,445,1.4515213535648226,2.0766336366635976,,,3076.8467428596696,8.70748651588374,0.4294447367741209,2025-09-05,2025-11-06,62 days,,1.3887893581674078,1.98619656749543,0.11727984187662106,0.2570970966854356,0.0013420784195809314,0.0038344320972226362,0.032747419680851056,0.09226615107701933
