代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159612.SZ,标普500ETF,etf,kama_cross,2024-01-02,2025-11-28,-2.675,-4.829,-0.735,-4.829,0.0,0.0,2
159655.SZ,标普ETF,etf,kama_cross,2024-01-02,2025-11-28,1.246,2.296,0.058,-26.154,46.15,1.37,13
159719.SZ,国企共赢ETF,etf,kama_cross,2024-01-02,2025-11-28,1.484,2.737,0.108,-13.989,28.57,3.35,7
159747.SZ,香港科技ETF,etf,kama_cross,2024-01-02,2025-11-28,-6.444,-11.496,-0.559,-15.954,40.0,0.08,5
159805.SZ,传媒ETF,etf,kama_cross,2024-01-02,2025-11-28,-2.946,-5.335,-0.156,-22.675,14.29,4.57,7
159866.SZ,日经ETF,etf,kama_cross,2024-01-02,2025-11-28,1.335,2.46,0.055,-33.244,10.0,11.9,10
161125.SZ,标普500LOF,etf,kama_cross,2024-01-02,2025-11-28,-0.027,-0.05,-0.002,-16.632,40.0,1.56,10
161127.SZ,标普生物科技LOF,etf,kama_cross,2024-01-02,2025-11-28,7.422,14.026,0.521,-17.47,40.0,3.4,5
161128.SZ,标普信息科技LOF,etf,kama_cross,2024-01-02,2025-11-28,-5.524,-9.894,-0.274,-30.865,50.0,0.76,8
162415.SZ,美国消费LOF,etf,kama_cross,2024-01-02,2025-11-28,11.251,21.588,0.633,-12.702,50.0,3.26,6
164824.SZ,印度基金LOF,etf,kama_cross,2024-01-02,2025-11-28,-2.437,-4.423,-0.186,-14.241,22.22,2.87,9
513000.SH,日经225ETF易方达,etf,kama_cross,2024-01-02,2025-11-28,12.126,23.346,0.602,-14.709,25.0,8.76,4
513030.SH,德国ETF,etf,kama_cross,2024-01-02,2025-11-28,-11.356,-19.789,-1.241,-21.725,0.0,0.0,5
513080.SH,法国CAC40ETF,etf,kama_cross,2024-01-02,2025-11-28,6.637,12.474,0.258,-20.491,42.86,2.41,7
513360.SH,教育ETF,etf,kama_cross,2024-01-02,2025-11-28,-12.498,-21.67,-0.759,-35.241,16.67,0.62,6
513520.SH,日经ETF,etf,kama_cross,2024-01-02,2025-11-28,13.22,25.562,0.592,-10.778,25.0,13.54,4
513800.SH,日本东证指数ETF,etf,kama_cross,2024-01-02,2025-11-28,-15.008,-25.778,-1.622,-25.778,0.0,0.0,8
513880.SH,日经225ETF,etf,kama_cross,2024-01-02,2025-11-28,12.904,24.921,0.533,-24.877,50.0,2.85,8
515880.SH,通信ETF,etf,kama_cross,2024-01-02,2025-11-28,-4.466,-8.036,-0.111,-38.791,36.36,1.82,11
516770.SH,游戏ETF华泰柏瑞,etf,kama_cross,2024-01-02,2025-11-28,3.382,6.288,0.147,-17.504,80.0,0.46,5
