代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159647.SZ,中药ETF,etf,kama_cross,2024-01-02,2025-11-28,-3.169,-5.733,-0.263,-13.154,20.0,2.51,5
159828.SZ,医疗ETF,etf,kama_cross,2024-01-02,2025-11-28,-2.595,-4.706,-0.137,-22.196,25.0,2.69,8
159857.SZ,光伏ETF,etf,kama_cross,2024-01-02,2025-11-28,19.441,38.5,0.673,-15.177,40.0,6.27,5
160723.SZ,嘉实原油LOF,etf,kama_cross,2024-01-02,2025-11-28,-6.436,-11.481,-1.505,-12.767,20.0,0.44,5
161116.SZ,黄金主题LOF,etf,kama_cross,2024-01-02,2025-11-28,79.56,192.449,0.609,-41.869,55.56,6.44,9
161127.SZ,标普生物科技LOF,etf,kama_cross,2024-01-02,2025-11-28,7.422,14.026,0.521,-17.47,40.0,3.4,5
161724.SZ,煤炭等权LOF,etf,kama_cross,2024-01-02,2025-11-28,9.868,18.787,0.244,-33.92,37.5,3.13,8
161725.SZ,白酒基金LOF,etf,kama_cross,2024-01-02,2025-11-28,7.779,14.721,0.459,-11.305,40.0,5.44,5
501025.SH,香港银行LOF,etf,kama_cross,2024-01-02,2025-11-28,-9.618,-16.922,-0.875,-19.44,33.33,0.09,6
510880.SH,红利ETF,etf,kama_cross,2024-01-02,2025-11-28,4.738,8.857,0.537,-9.505,40.0,6.51,5
512670.SH,国防ETF,etf,kama_cross,2024-01-02,2025-11-28,-6.597,-11.761,-0.434,-25.929,33.33,0.64,6
513100.SH,纳指ETF,etf,kama_cross,2024-01-02,2025-11-28,-2.716,-4.923,-0.189,-24.574,63.64,0.47,11
513330.SH,恒生互联网ETF,etf,kama_cross,2024-01-02,2025-11-28,-16.438,-28.053,-1.257,-30.266,0.0,0.0,7
515190.SH,中银证券500ETF,etf,kama_cross,2024-01-02,2025-11-28,-1.903,-3.418,-0.12,-14.766,42.86,1.04,7
515560.SH,证券ETF建信,etf,kama_cross,2024-01-02,2025-11-28,-6.712,-11.96,-0.262,-32.011,27.27,1.68,11
516550.SH,农业ETF,etf,kama_cross,2024-01-02,2025-11-28,4.671,8.731,0.272,-19.239,50.0,1.52,8
516770.SH,游戏ETF华泰柏瑞,etf,kama_cross,2024-01-02,2025-11-28,3.382,6.288,0.147,-17.504,80.0,0.46,5
561700.SH,电力ETF基金,etf,kama_cross,2024-01-02,2025-11-28,0.215,0.394,0.028,-6.729,66.67,0.99,3
561800.SH,稀有金属ETF基金,etf,kama_cross,2024-01-02,2025-11-28,13.431,25.992,0.358,-26.939,50.0,2.09,8
588180.SH,科创50ETF基金,etf,kama_cross,2024-01-02,2025-11-28,26.159,53.114,0.361,-36.884,37.5,7.5,8
