代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159752.SZ,新能源龙头ETF,etf,kama_cross,2024-01-02,2025-11-28,-7.111,-12.649,-0.439,-19.686,25.0,0.39,4
159828.SZ,医疗ETF,etf,kama_cross,2024-01-02,2025-11-28,-2.595,-4.706,-0.137,-22.196,25.0,2.69,8
159857.SZ,光伏ETF,etf,kama_cross,2024-01-02,2025-11-28,19.441,38.5,0.673,-15.177,40.0,6.27,5
159891.SZ,医疗ETF基金,etf,kama_cross,2024-01-02,2025-11-28,-4.166,-7.505,-0.351,-18.977,16.67,0.58,6
160723.SZ,嘉实原油LOF,etf,kama_cross,2024-01-02,2025-11-28,-6.436,-11.481,-1.505,-12.767,20.0,0.44,5
161028.SZ,新能源车LOF,etf,kama_cross,2024-01-02,2025-11-28,-2.002,-3.639,-0.106,-21.068,33.33,1.83,6
161116.SZ,黄金主题LOF,etf,kama_cross,2024-01-02,2025-11-28,79.56,192.449,0.609,-41.869,55.56,6.44,9
161125.SZ,标普500LOF,etf,kama_cross,2024-01-02,2025-11-28,-0.027,-0.05,-0.002,-16.632,40.0,1.56,10
161128.SZ,标普信息科技LOF,etf,kama_cross,2024-01-02,2025-11-28,-5.524,-9.894,-0.274,-30.865,50.0,0.76,8
161725.SZ,白酒基金LOF,etf,kama_cross,2024-01-02,2025-11-28,7.779,14.721,0.459,-11.305,40.0,5.44,5
164701.SZ,黄金LOF,etf,kama_cross,2024-01-02,2025-11-28,15.123,29.459,0.845,-14.564,50.0,4.89,6
510370.SH,300指数ETF,etf,kama_cross,2024-01-02,2025-11-28,1.132,2.085,0.127,-7.283,40.0,2.03,5
510880.SH,红利ETF,etf,kama_cross,2024-01-02,2025-11-28,4.738,8.857,0.537,-9.505,40.0,6.51,5
512670.SH,国防ETF,etf,kama_cross,2024-01-02,2025-11-28,-6.597,-11.761,-0.434,-25.929,33.33,0.64,6
512800.SH,银行ETF,etf,kama_cross,2024-01-02,2025-11-28,-3.207,-5.8,-0.451,-7.414,25.0,0.7,4
513100.SH,纳指ETF,etf,kama_cross,2024-01-02,2025-11-28,-2.716,-4.923,-0.189,-24.574,63.64,0.47,11
515560.SH,证券ETF建信,etf,kama_cross,2024-01-02,2025-11-28,-6.712,-11.96,-0.262,-32.011,27.27,1.68,11
516160.SH,新能源ETF,etf,kama_cross,2024-01-02,2025-11-28,-7.553,-13.409,-0.294,-25.914,33.33,0.95,6
516270.SH,新能源50ETF,etf,kama_cross,2024-01-02,2025-11-28,41.11,88.014,0.793,-18.8,50.0,7.5,8
561800.SH,稀有金属ETF基金,etf,kama_cross,2024-01-02,2025-11-28,13.431,25.992,0.358,-26.939,50.0,2.09,8
