代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159516.SZ,半导体设备ETF,etf,kama_cross,2024-01-02,2025-11-28,8.146,15.439,0.286,-21.623,20.0,8.12,5
159620.SZ,500成长ETF,etf,kama_cross,2024-01-02,2025-11-28,9.218,17.505,0.447,-20.355,55.56,1.64,9
159629.SZ,1000ETF,etf,kama_cross,2024-01-02,2025-11-28,13.08,25.277,0.543,-18.259,25.0,9.56,8
159660.SZ,纳指100ETF,etf,kama_cross,2024-01-02,2025-11-28,34.323,71.767,1.432,-9.84,87.5,5.59,8
159687.SZ,亚太精选ETF,etf,kama_cross,2024-01-02,2025-11-28,-3.376,-6.064,-0.365,-9.911,33.33,0.2,3
159691.SZ,港股红利ETF,etf,kama_cross,2024-01-02,2025-11-28,-0.263,-0.481,-0.021,-14.92,40.0,1.53,10
159930.SZ,能源ETF,etf,kama_cross,2024-01-02,2025-11-28,-7.451,-13.235,-0.335,-32.044,33.33,0.85,6
160216.SZ,国泰商品LOF,etf,kama_cross,2024-01-02,2025-11-28,-1.219,-2.223,-0.081,-17.015,28.57,2.34,7
161116.SZ,黄金主题LOF,etf,kama_cross,2024-01-02,2025-11-28,79.56,192.449,0.609,-41.869,55.56,6.44,9
161124.SZ,港股小盘LOF,etf,kama_cross,2024-01-02,2025-11-28,-10.392,-17.936,-0.721,-24.923,50.0,0.03,2
161725.SZ,白酒基金LOF,etf,kama_cross,2024-01-02,2025-11-28,7.779,14.721,0.459,-11.305,40.0,5.44,5
163113.SZ,申万证券LOF,etf,kama_cross,2024-01-02,2025-11-28,13.593,26.321,0.534,-24.327,40.0,7.37,5
515890.SH,红利ETF博时,etf,kama_cross,2024-01-02,2025-11-28,-1.587,-2.891,-0.076,-27.094,25.0,2.66,8
516100.SH,金融科技ETF华夏,etf,kama_cross,2024-01-02,2025-11-28,-8.583,-15.171,-0.285,-35.849,25.0,1.73,8
516220.SH,化工龙头ETF,etf,kama_cross,2024-01-02,2025-11-28,2.083,3.852,0.142,-12.096,40.0,2.46,5
516760.SH,养殖ETF,etf,kama_cross,2024-01-02,2025-11-28,-9.071,-15.999,-1.5,-18.117,16.67,0.17,6
517380.SH,创新药ETF天弘,etf,kama_cross,2024-01-02,2025-11-28,-9.989,-17.547,-0.471,-22.318,0.0,0.0,8
560170.SH,央企科技ETF,etf,kama_cross,2024-01-02,2025-11-28,-0.625,-1.142,-0.046,-15.86,40.0,1.6,5
561170.SH,绿色电力ETF,etf,kama_cross,2024-01-02,2025-11-28,4.587,8.57,0.399,-9.851,75.0,1.33,4
562310.SH,沪深300成长ETF,etf,kama_cross,2024-01-02,2025-11-28,13.846,26.837,0.778,-11.583,60.0,5.01,5
