代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159660.SZ,纳指100ETF,etf,kama_cross,2024-01-02,2025-11-28,34.323,71.767,1.432,-9.84,87.5,5.59,8
159666.SZ,交通运输ETF,etf,kama_cross,2024-01-02,2025-11-28,-0.839,-1.532,-0.07,-17.918,66.67,0.46,3
159692.SZ,证券ETF东财,etf,kama_cross,2024-01-02,2025-11-28,-12.174,-21.179,-0.527,-30.377,18.18,1.7,11
159707.SZ,地产ETF,etf,kama_cross,2024-01-02,2025-11-28,-7.19,-12.785,-0.428,-31.045,40.0,0.75,5
159787.SZ,建材ETF易方达,etf,kama_cross,2024-01-02,2025-11-28,-1.349,-2.459,-0.239,-5.733,50.0,0.36,2
159931.SZ,金融ETF,etf,kama_cross,2024-01-02,2025-11-28,-12.6,-21.878,-1.425,-24.591,11.11,0.65,9
161116.SZ,黄金主题LOF,etf,kama_cross,2024-01-02,2025-11-28,79.56,192.449,0.609,-41.869,55.56,6.44,9
161127.SZ,标普生物科技LOF,etf,kama_cross,2024-01-02,2025-11-28,7.422,14.026,0.521,-17.47,40.0,3.4,5
161725.SZ,白酒基金LOF,etf,kama_cross,2024-01-02,2025-11-28,7.779,14.721,0.459,-11.305,40.0,5.44,5
163113.SZ,申万证券LOF,etf,kama_cross,2024-01-02,2025-11-28,13.593,26.321,0.534,-24.327,40.0,7.37,5
512640.SH,金融地产ETF嘉实,etf,kama_cross,2024-01-02,2025-11-28,12.989,25.092,0.45,-27.182,37.5,5.39,8
513390.SH,纳指100ETF,etf,kama_cross,2024-01-02,2025-11-28,-0.025,-0.047,-0.001,-27.428,66.67,0.57,12
513650.SH,标普500ETF南方,etf,kama_cross,2024-01-02,2025-11-28,18.542,36.594,1.154,-9.395,75.0,3.4,8
515080.SH,中证红利ETF,etf,kama_cross,2024-01-02,2025-11-28,-5.678,-10.162,-0.516,-20.379,33.33,0.44,6
515630.SH,保险证券ETF,etf,kama_cross,2024-01-02,2025-11-28,-9.466,-16.666,-0.67,-19.725,12.5,0.51,8
515890.SH,红利ETF博时,etf,kama_cross,2024-01-02,2025-11-28,-1.587,-2.891,-0.076,-27.094,25.0,2.66,8
516530.SH,物流快递ETF,etf,kama_cross,2024-01-02,2025-11-28,3.341,6.21,0.403,-6.284,66.67,1.97,3
516980.SH,证券ETF先锋,etf,kama_cross,2024-01-02,2025-11-28,3.251,6.04,0.103,-32.696,33.33,2.67,12
560070.SH,央企红利ETF基金,etf,kama_cross,2024-01-02,2025-11-28,-0.93,-1.698,-0.145,-6.671,66.67,0.12,3
561320.SH,交运ETF,etf,kama_cross,2024-01-02,2025-11-28,10.63,20.347,0.506,-13.526,57.14,3.08,7
