,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_KAMA,Exit_KAMA,Entry_EfficiencyRatio,Exit_EfficiencyRatio,Entry_KamaSlope,Exit_KamaSlope,Entry_ATR,Exit_ATR
0,2137,64,72,4.676292712573074,4.383203268264098,,,-636.0122139438072,9.68007145552452,-0.06364426065528173,2024-04-11,2024-04-23,12 days,,4.558159916089032,4.605528041722018,0.0593642464170528,0.08248692417678954,0.0018296497360511903,-0.002239088036613879,0.13433505981664856,0.1744236609460701
1,2005,81,84,4.66588732883135,4.512967919639376,,,-315.80521781650043,9.201802386591902,-0.033757531143740784,2024-05-09,2024-05-14,5 days,,4.588958226500682,4.586241534341507,0.05711585299642325,0.17085986011778637,0.0010331689333871925,-0.0018945558374798093,0.12567022566890712,0.1257764170209053
2,1947,103,104,4.644514677367304,4.781443147468454,,,257.4235613444618,9.17616994247761,0.028467019779917422,2024-06-11,2024-06-12,1 days,,4.678341457644288,4.6866168216793955,0.02899406023083957,0.2122476945890547,-4.517880377363781e-06,0.003944018272914462,0.1233495305734857,0.14641483943496772
3,1921,105,108,4.840774869157989,4.591311668095703,,,-488.2783283596826,9.05951911903217,-0.052507966431234745,2024-06-13,2024-06-18,5 days,,4.689093623419997,4.689321064626344,0.13648787624696893,0.08485237079084341,0.005376082887854257,-0.0009778138488651205,0.1437493341958534,0.13401735155549213
4,2415,177,183,3.6477910724541767,4.351418704378557,,,1689.601685291853,9.659045805525526,0.19179498308417794,2024-09-25,2024-10-10,15 days,,3.3418985621396633,3.885468816464799,0.2141237479153503,0.2892850630319065,0.010156055580901935,0.02489827336336603,0.13954926215762042,0.4001147048442597
5,2594,192,198,4.048016324317226,3.939134510765864,,,-292.79875898533595,10.359334633102769,-0.027884123957415675,2024-10-23,2024-10-31,8 days,,4.001831711757678,4.012437203808847,0.1964363481515901,0.00422246240235595,0.0015171778076232083,-0.0005049842231959664,0.24020948416686083,0.16850254011921884
6,2438,211,215,4.186259996302003,3.911643499161415,,,-679.386364389724,9.871344360969907,-0.06656668461454456,2024-11-19,2024-11-25,6 days,,4.044470546845216,4.039607690939552,0.042405590647986414,0.2271966672614315,0.001171075968384135,-0.003397126586353494,0.1357662195182479,0.13377379575990833
7,2933,300,302,3.248841274417281,2.99664557081492,,,-748.8490051242584,9.159006458533023,-0.07858754105208535,2025-04-02,2025-04-07,5 days,,3.2296532152751336,3.2122533246453027,0.24253280019813947,0.22353279926144223,0.000771752611553822,-0.00869994531491495,0.06894618887286137,0.12084578515796993
8,2859,344,347,3.0708672037507783,3.0071113248059067,,,-190.96652820995956,8.68847030657178,-0.02175114186883955,2025-06-10,2025-06-13,3 days,,3.025065999592296,3.025455243199219,0.12748167448791278,0.05817896365681236,0.0002460240753864677,-0.0001389811902150484,0.05101831080340592,0.050918296720719666
9,2322,386,401,3.6991386259013006,3.514723063770819,,,-436.5882286886879,8.37529342170933,-0.050828723113750744,2025-08-07,2025-08-29,22 days,,3.5960424795367483,3.620753367892056,0.18611769944285625,0.0784717258627213,0.003804621636222786,-0.0013825797215858415,0.13010653585605234,0.07755896913510583
10,2219,414,416,3.674380932854684,3.615483207464059,,,-138.78215690548026,8.088104263683645,-0.017021277489646054,2025-09-17,2025-09-19,2 days,,3.5575366331207725,3.558193811996235,0.07077540114792537,0.023897243244005335,0.0010190723038618898,0.00032858943773206306,0.06574930385809104,0.08755392901247906
11,2183,417,423,3.670607301379584,3.5091636142515275,,,-360.2682889549586,7.8367199544113575,-0.04496083591503916,2025-09-22,2025-09-30,8 days,,3.558614390761917,3.5614653012420376,2.837660174400364e-07,0.010218892499243102,0.0005981655716951195,-0.00027566523390731845,0.08295472363932169,0.09686246926997262
12,2046,425,434,3.740881425837428,4.30891771270275,,,1153.9672984077229,8.234944518726603,0.1507696510775648,2025-10-10,2025-10-23,13 days,,3.585696909970532,4.30552866895151,0.354894274762231,0.1948955382426053,0.01211580436424716,0.0014420708775707187,0.11550542242115931,0.38661662052794316
13,1988,442,454,4.429348416485684,4.216741381755966,,,-431.25699830213154,8.5942132594522,-0.048975618811435605,2025-11-04,2025-11-20,16 days,,4.311906206608836,4.3848617907249805,0.2365545531113814,0.13415216155610227,0.00503386931444183,-0.0029322065699399027,0.2075987320065472,0.16129212896133305
