代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159686.SZ,A100ETF易方达,etf,kama_cross,2024-01-02,2025-11-28,5.917,11.088,0.489,-8.39,50.0,2.64,4
159707.SZ,地产ETF,etf,kama_cross,2024-01-02,2025-11-28,-7.19,-12.785,-0.428,-31.045,40.0,0.75,5
159731.SZ,石化ETF,etf,kama_cross,2024-01-02,2025-11-28,-7.002,-12.436,-1.164,-14.108,0.0,0.0,5
159828.SZ,医疗ETF,etf,kama_cross,2024-01-02,2025-11-28,-2.595,-4.706,-0.137,-22.196,25.0,2.69,8
160216.SZ,国泰商品LOF,etf,kama_cross,2024-01-02,2025-11-28,-1.219,-2.223,-0.081,-17.015,28.57,2.34,7
161032.SZ,煤炭龙头LOF,etf,kama_cross,2024-01-02,2025-11-28,-9.197,-16.18,-0.299,-35.321,21.43,2.69,14
164701.SZ,黄金LOF,etf,kama_cross,2024-01-02,2025-11-28,15.123,29.459,0.845,-14.564,50.0,4.89,6
512800.SH,银行ETF,etf,kama_cross,2024-01-02,2025-11-28,-3.207,-5.8,-0.451,-7.414,25.0,0.7,4
513140.SH,港股金融ETF,etf,kama_cross,2024-01-02,2025-11-28,6.329,11.908,0.548,-7.584,100.0,0.0,4
513520.SH,日经ETF,etf,kama_cross,2024-01-02,2025-11-28,13.22,25.562,0.592,-10.778,25.0,13.54,4
513650.SH,标普500ETF南方,etf,kama_cross,2024-01-02,2025-11-28,18.542,36.594,1.154,-9.395,75.0,3.4,8
513970.SH,恒生消费ETF,etf,kama_cross,2024-01-02,2025-11-28,-3.074,-5.564,-0.352,-14.798,20.0,1.83,5
515680.SH,央企创新ETF嘉实,etf,kama_cross,2024-01-02,2025-11-28,11.49,22.068,0.488,-17.275,28.57,9.33,7
516620.SH,影视ETF,etf,kama_cross,2024-01-02,2025-11-28,52.023,115.525,0.872,-26.313,55.56,4.56,9
516710.SH,新材料50ETF,etf,kama_cross,2024-01-02,2025-11-28,1.575,2.906,0.101,-21.155,33.33,2.86,3
516760.SH,养殖ETF,etf,kama_cross,2024-01-02,2025-11-28,-9.071,-15.999,-1.5,-18.117,16.67,0.17,6
560170.SH,央企科技ETF,etf,kama_cross,2024-01-02,2025-11-28,-0.625,-1.142,-0.046,-15.86,40.0,1.6,5
588180.SH,科创50ETF基金,etf,kama_cross,2024-01-02,2025-11-28,26.159,53.114,0.361,-36.884,37.5,7.5,8
