代码,标的名称,类型,策略,回测开始日期,回测结束日期,收益率(%),总收益率(%),夏普比率,最大回撤(%),胜率(%),盈亏比,交易次数
159501.SZ,纳指ETF嘉实,etf,kama_cross,2024-01-02,2025-11-28,9.819,18.734,0.575,-13.909,66.67,2.06,6
159513.SZ,纳斯达克100指数ETF,etf,kama_cross,2024-01-02,2025-11-28,1.996,3.69,0.122,-18.28,62.5,0.75,8
159659.SZ,纳斯达克100ETF,etf,kama_cross,2024-01-02,2025-11-28,21.262,42.395,1.123,-10.871,77.78,3.99,9
159660.SZ,纳指100ETF,etf,kama_cross,2024-01-02,2025-11-28,34.323,71.767,1.432,-9.84,87.5,5.59,8
159686.SZ,A100ETF易方达,etf,kama_cross,2024-01-02,2025-11-28,5.917,11.088,0.489,-8.39,50.0,2.64,4
159697.SZ,油气ETF,etf,kama_cross,2024-01-02,2025-11-28,-9.189,-16.198,-0.637,-22.153,40.0,0.42,5
159707.SZ,地产ETF,etf,kama_cross,2024-01-02,2025-11-28,-7.19,-12.785,-0.428,-31.045,40.0,0.75,5
159787.SZ,建材ETF易方达,etf,kama_cross,2024-01-02,2025-11-28,-1.349,-2.459,-0.239,-5.733,50.0,0.36,2
159931.SZ,金融ETF,etf,kama_cross,2024-01-02,2025-11-28,-12.6,-21.878,-1.425,-24.591,11.11,0.65,9
159940.SZ,金融地产ETF,etf,kama_cross,2024-01-02,2025-11-28,4.932,9.227,0.396,-12.288,30.0,4.37,10
160216.SZ,国泰商品LOF,etf,kama_cross,2024-01-02,2025-11-28,-1.219,-2.223,-0.081,-17.015,28.57,2.34,7
167301.SZ,保险主题LOF,etf,kama_cross,2024-01-02,2025-11-28,-12.677,-22.004,-1.104,-22.004,22.22,0.11,9
501312.SH,海外科技LOF,etf,kama_cross,2024-01-02,2025-11-28,17.162,33.693,0.716,-20.588,50.0,2.74,6
510230.SH,金融ETF,etf,kama_cross,2024-01-02,2025-11-28,4.268,7.963,0.307,-12.054,40.0,2.44,10
512070.SH,证券保险ETF,etf,kama_cross,2024-01-02,2025-11-28,0.852,1.568,0.049,-15.591,40.0,1.74,10
512640.SH,金融地产ETF嘉实,etf,kama_cross,2024-01-02,2025-11-28,12.989,25.092,0.45,-27.182,37.5,5.39,8
512800.SH,银行ETF,etf,kama_cross,2024-01-02,2025-11-28,-3.207,-5.8,-0.451,-7.414,25.0,0.7,4
513390.SH,纳指100ETF,etf,kama_cross,2024-01-02,2025-11-28,-0.025,-0.047,-0.001,-27.428,66.67,0.57,12
513650.SH,标普500ETF南方,etf,kama_cross,2024-01-02,2025-11-28,18.542,36.594,1.154,-9.395,75.0,3.4,8
560070.SH,央企红利ETF基金,etf,kama_cross,2024-01-02,2025-11-28,-0.93,-1.698,-0.145,-6.671,66.67,0.12,3
