ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,adx_mean_normalized,adx_score_component,final_score,stage2_rank,final_rank
159752.SZ,新能源龙头ETF,新能源,44.53341,,,,0.67090,0.06342,,0.31802,,0.56964,-0.08580,0.08798,0.18507,0.05211,0.82857,0.15366,1.00000,1.00000,1.00000,1,1
159997.SZ,电子ETF,其他,25.61910,,,,0.56257,0.18177,-0.04575,0.40527,0.35892,0.65446,0.01921,0.18177,0.49873,0.73199,0.99471,0.43711,0.47879,0.47879,0.47879,87,2
159888.SZ,智能车ETF,其他,35.89693,,,,0.45339,0.54802,,0.47081,,0.59139,0.02123,0.49755,0.66431,0.85780,0.68078,1.19460,0.86061,0.86061,0.86061,24,3
588180.SH,科创50ETF基金,其他,40.47942,,,,0.43059,0.03915,,0.24680,,0.58287,-0.08382,0.02045,0.13959,0.03238,0.94095,0.05628,0.96970,0.96970,0.96970,6,4
159908.SZ,创业板ETF博时,其他,29.38838,,,,0.74111,-0.46544,-0.25739,0.43907,0.29397,0.49008,-0.08311,-0.47608,0.46369,0.65804,0.81796,-0.44458,0.63030,0.63030,0.63030,62,5
159943.SZ,深证成指ETF,其他,30.16240,,,,0.98776,-0.90905,-0.89157,0.21710,0.31572,0.47817,0.00407,-0.90960,0.29795,0.36102,1.19290,-0.48300,0.66061,0.66061,0.66061,57,6
159891.SZ,医疗ETF基金,医药,39.84411,,,,0.49730,-0.12465,,0.15873,,0.54290,0.02379,-0.12677,0.15308,0.14744,1.13608,-0.37717,0.93939,0.93939,0.93939,11,7
160125.SZ,南方香港LOF,其他,25.51037,,,,0.43229,-0.25649,-0.18779,0.44624,0.45280,0.39016,-0.16493,-0.22964,0.55516,0.76644,1.63132,-0.57455,0.47273,0.47273,0.47273,88,8
159740.SZ,恒生科技ETF,科技,37.92245,,,,0.60142,-0.19897,,0.40655,,0.62046,-0.09310,-0.18441,0.57359,0.74062,1.23443,-0.36074,0.90303,0.90303,0.90303,17,9
159745.SZ,建材ETF,其他,40.13312,,,,0.55658,0.09228,,0.46810,,0.65650,0.15691,0.08091,0.32679,0.18549,1.15277,0.15654,0.95758,0.95758,0.95758,8,10
159766.SZ,旅游ETF,其他,38.90912,,,,0.52214,0.14340,,0.42099,,0.58514,0.16315,0.06044,0.28284,0.14468,1.39687,0.12629,0.92727,0.92727,0.92727,13,11
159708.SZ,红利ETF,其他,37.29633,,,,0.42655,0.06104,,0.38530,,0.64100,0.05165,0.00652,0.26720,0.14909,1.01928,0.01879,0.87273,0.87273,0.87273,22,12
159865.SZ,养殖ETF,其他,42.32159,,,,0.45269,0.33182,,0.51111,0.48214,0.66244,0.15640,0.20490,0.42255,0.27441,0.90205,0.42473,0.99394,0.99394,0.99394,2,13
159725.SZ,线上消费ETF,消费,33.06915,,,,0.43447,0.26726,,0.47937,,0.49242,0.21855,0.21025,0.60256,0.72575,0.89032,0.50062,0.78182,0.78182,0.78182,37,14
161724.SZ,煤炭等权LOF,周期,31.04680,,,,0.93339,-0.30602,,0.27727,0.41078,0.47255,-0.00935,-0.27217,0.32129,0.27583,0.60237,-0.38962,0.69091,0.69091,0.69091,52,15
159881.SZ,有色60ETF,周期,41.71755,,,,0.76785,-0.05969,,0.28280,,0.67988,-0.12506,-0.01142,0.14291,0.00303,1.11888,-0.02071,0.98788,0.98788,0.98788,3,16
161126.SZ,标普医疗保健LOF,医药,25.33779,,,,0.29311,0.06003,0.45217,0.45699,0.47768,0.38567,0.16909,0.11126,0.35654,0.13496,1.65216,0.33480,0.46061,0.46061,0.46061,90,17
159866.SZ,日经ETF,其他,28.43098,,,,0.29469,-0.15584,,0.46974,,0.37568,0.02019,-0.05507,0.38716,0.30458,0.53522,-0.21301,0.61212,0.61212,0.61212,65,18
161116.SZ,黄金主题LOF,其他,24.13388,,,,0.27397,0.05804,-0.22387,0.21444,0.48680,0.46201,0.02703,0.06675,0.26949,0.10724,1.56589,0.27547,0.38182,0.38182,0.38182,103,19
160723.SZ,嘉实原油LOF,其他,23.27088,,,,0.53236,0.01174,1.41819,0.20333,0.49344,0.48930,0.17285,-0.05218,0.45381,0.66465,0.75419,-0.09746,0.32121,0.32121,0.32121,113,20
