ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,adx_mean_normalized,adx_score_component,final_score,stage2_rank,final_rank
159752.SZ,新能源龙头ETF,新能源,44.53341,,,,0.67090,0.06342,,0.31802,,0.56964,-0.08580,0.08798,0.18507,0.05211,0.82857,0.15366,1.00000,1.00000,1.00000,1,1
159865.SZ,养殖ETF,其他,42.32159,,,,0.45269,0.33182,,0.51111,0.48214,0.66244,0.15640,0.20490,0.42255,0.27441,0.90205,0.42473,0.99394,0.99394,0.99394,2,2
159881.SZ,有色60ETF,周期,41.71755,,,,0.76785,-0.05969,,0.28280,,0.67988,-0.12506,-0.01142,0.14291,0.00303,1.11888,-0.02071,0.98788,0.98788,0.98788,3,3
159867.SZ,畜牧ETF,其他,41.27977,,,,0.44165,0.31846,,0.48730,0.47173,0.61764,0.15674,0.20318,0.41990,0.30066,0.96837,0.44157,0.98182,0.98182,0.98182,4,4
562880.SH,电池ETF嘉实,新能源,40.78941,,,,0.74269,0.03687,,0.39529,,0.60155,-0.21990,0.02501,0.21693,0.03858,1.25100,0.04097,0.97576,0.97576,0.97576,5,5
588180.SH,科创50ETF基金,其他,40.47942,,,,0.43059,0.03915,,0.24680,,0.58287,-0.08382,0.02045,0.13959,0.03238,0.94095,0.05628,0.96970,0.96970,0.96970,6,6
588400.SH,科创创业ETF嘉实,其他,40.35231,,,,0.45599,-0.04095,,0.41034,,0.69725,-0.09580,-0.05404,0.20592,0.00150,0.96964,-0.17190,0.96364,0.96364,0.96364,7,7
159745.SZ,建材ETF,其他,40.13312,,,,0.55658,0.09228,,0.46810,,0.65650,0.15691,0.08091,0.32679,0.18549,1.15277,0.15654,0.95758,0.95758,0.95758,8,8
159845.SZ,中证1000ETF,其他,40.12782,,,,0.35601,0.16851,,0.51700,,0.65987,-0.00000,0.17757,0.63299,0.74899,1.04931,0.54268,0.94545,0.94545,0.94545,10,9
159891.SZ,医疗ETF基金,医药,39.84411,,,,0.49730,-0.12465,,0.15873,,0.54290,0.02379,-0.12677,0.15308,0.14744,1.13608,-0.37717,0.93939,0.93939,0.93939,11,10
159766.SZ,旅游ETF,其他,38.90912,,,,0.52214,0.14340,,0.42099,,0.58514,0.16315,0.06044,0.28284,0.14468,1.39687,0.12629,0.92727,0.92727,0.92727,13,11
159863.SZ,光伏ETF基金,新能源,38.57360,,,,0.80187,-0.29597,,0.37481,,0.64341,-0.03029,-0.27621,0.53969,0.70457,0.96645,-0.30994,0.91515,0.91515,0.91515,15,12
588060.SH,科创50ETF龙头,其他,38.08969,,,,0.39344,0.04114,,0.21188,,0.54104,-0.07726,0.02946,0.12228,0.03267,0.76023,0.08001,0.90909,0.90909,0.90909,16,13
159740.SZ,恒生科技ETF,科技,37.92245,,,,0.60142,-0.19897,,0.40655,,0.62046,-0.09310,-0.18441,0.57359,0.74062,1.23443,-0.36074,0.90303,0.90303,0.90303,17,14
159747.SZ,香港科技ETF,科技,37.80691,,,,0.62817,-0.28141,,0.43354,,0.59773,-0.15482,-0.25883,0.60864,0.78374,1.09103,-0.53206,0.89697,0.89697,0.89697,18,15
159783.SZ,科创创业50ETF,其他,37.49942,,,,0.49335,-0.05223,,0.44685,,0.72547,-0.10249,-0.06305,0.22701,0.00716,0.78820,-0.18676,0.88485,0.88485,0.88485,20,16
159885.SZ,碳中和ETF基金,其他,37.33072,,,,0.74773,-0.28368,,0.38909,,0.62667,-0.08363,-0.28180,0.53481,0.68053,0.96493,-0.32163,0.87879,0.87879,0.87879,21,17
159708.SZ,红利ETF,其他,37.29633,,,,0.42655,0.06104,,0.38530,,0.64100,0.05165,0.00652,0.26720,0.14909,1.01928,0.01879,0.87273,0.87273,0.87273,22,18
159861.SZ,碳中和50ETF,其他,36.19797,,,,0.66257,0.02327,,0.34992,,0.69347,-0.08223,0.05420,0.23265,0.11539,0.92137,0.09675,0.86667,0.86667,0.86667,23,19
159888.SZ,智能车ETF,其他,35.89693,,,,0.45339,0.54802,,0.47081,,0.59139,0.02123,0.49755,0.66431,0.85780,0.68078,1.19460,0.86061,0.86061,0.86061,24,20
