ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,liquidity_score_normalized,liquidity_score_component,final_score,stage2_rank,final_rank
159995.SZ,芯片ETF,科技,23.32862,,,,0.68803,0.09188,0.87161,0.18618,0.50319,0.69796,-0.09255,0.14114,0.33151,0.30516,0.72057,0.28852,0.95758,0.95758,0.95758,8,1
159852.SZ,软件ETF,科技,26.01137,,,,0.45233,0.09790,,0.32898,0.49493,0.63330,0.02273,0.05426,0.37620,0.30468,0.88553,0.15813,0.67273,0.67273,0.67273,55,2
159780.SZ,双创ETF,其他,39.35386,,,,0.47605,-0.04128,,0.42463,,0.72580,-0.09246,-0.05448,0.21255,0.00046,0.82162,-0.16480,0.99394,0.99394,0.99394,2,3
159949.SZ,创业板50ETF,其他,25.30801,,,,0.61558,0.06003,0.59396,0.31659,0.50277,0.73630,-0.11147,0.03654,0.32485,0.15520,0.84559,0.09488,1.00000,1.00000,1.00000,1,4
159943.SZ,深证成指ETF,其他,30.16240,,,,0.98776,-0.90905,-0.89157,0.21710,0.31572,0.47817,0.00407,-0.90960,0.29795,0.36102,1.19290,-0.48300,0.17576,0.17576,0.17576,137,5
159881.SZ,有色60ETF,周期,41.71755,,,,0.76785,-0.05969,,0.28280,,0.67988,-0.12506,-0.01142,0.14291,0.00303,1.11888,-0.02071,0.85455,0.85455,0.85455,25,6
159806.SZ,新能源车ETF,新能源,27.60548,,,,0.81062,0.01201,1.47196,0.37194,0.47915,0.69409,-0.21948,0.00000,0.30693,0.06969,0.93848,0.00000,0.92727,0.92727,0.92727,13,7
164824.SZ,印度基金LOF,其他,24.28244,,,,0.31590,-0.10778,0.41835,0.28361,0.46576,0.53716,0.00664,-0.08507,0.51753,0.80322,0.91989,-0.28485,0.30909,0.30909,0.30909,115,8
159941.SZ,纳指ETF,其他,20.94159,,,,0.35029,0.14720,0.60038,0.43559,0.44605,0.65228,0.06305,0.18432,0.43341,0.41860,1.12899,0.55248,0.75758,0.75758,0.75758,41,9
162411.SZ,华宝油气LOF,其他,21.70093,,,,0.75245,-0.06165,1.50785,0.37322,0.55491,0.60627,-0.00857,-0.13189,0.54461,0.70572,0.68765,-0.21111,0.53939,0.53939,0.53939,77,10
159930.SZ,能源ETF,其他,19.43929,,,,0.67073,-0.28329,0.82997,0.17937,0.47853,0.59928,-0.01529,-0.20344,0.24773,0.08530,0.74209,-0.28494,0.50303,0.50303,0.50303,83,11
159992.SZ,创新药ETF,其他,19.26249,,,,0.57939,-0.17761,-0.16194,0.39037,0.47499,0.69115,-0.07934,-0.15827,0.38000,0.27462,1.05478,-0.37420,0.90909,0.90909,0.90909,16,12
159920.SZ,恒生ETF,其他,20.92163,,,,0.35795,-0.12000,-0.23972,0.40579,0.42106,0.72057,-0.02747,-0.12543,0.55375,0.83441,1.17584,-0.38307,0.97576,0.97576,0.97576,5,13
159745.SZ,建材ETF,其他,40.13312,,,,0.55658,0.09228,,0.46810,,0.65650,0.15691,0.08091,0.32679,0.18549,1.15277,0.15654,0.79394,0.79394,0.79394,35,14
159928.SZ,消费ETF,消费,32.27413,,,,0.93904,0.17199,-0.76276,0.33308,0.29491,0.68391,0.01003,0.08838,0.40497,0.58692,1.03892,0.20497,0.88485,0.88485,0.88485,20,15
159919.SZ,沪深300ETF,其他,19.10864,,,,0.35919,0.02518,-0.00587,0.34880,0.43888,0.68326,0.01599,0.00243,0.29656,0.10199,1.32975,0.01016,0.87879,0.87879,0.87879,21,16
159825.SZ,农业ETF,其他,26.71872,,,,0.44998,0.16274,,0.45668,0.46441,0.66831,0.06374,0.08338,0.34667,0.11892,0.98363,0.23198,0.83030,0.83030,0.83030,29,17
159869.SZ,游戏ETF,其他,30.98797,,,,0.56635,0.55476,,0.49206,0.43247,0.64162,0.24304,0.49023,0.53609,0.68372,1.30432,0.81202,0.73333,0.73333,0.73333,45,18
