ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,liquidity_score_normalized,liquidity_score_component,final_score,stage2_rank,final_rank
159949.SZ,创业板50ETF,其他,25.30801,,,,0.61558,0.06003,0.59396,0.31659,0.50277,0.73630,-0.11147,0.03654,0.32485,0.15520,0.84559,0.09488,1.00000,1.00000,1.00000,1,1
159920.SZ,恒生ETF,其他,20.92163,,,,0.35795,-0.12000,-0.23972,0.40579,0.42106,0.72057,-0.02747,-0.12543,0.55375,0.83441,1.17584,-0.38307,0.97576,0.97576,0.97576,5,2
588000.SH,科创50ETF,其他,26.01876,,,,0.48078,0.06499,0.07107,0.18618,0.52391,0.70223,-0.06172,0.05001,0.26383,0.08141,0.84372,0.13999,0.96364,0.96364,0.96364,7,3
159995.SZ,芯片ETF,科技,23.32862,,,,0.68803,0.09188,0.87161,0.18618,0.50319,0.69796,-0.09255,0.14114,0.33151,0.30516,0.72057,0.28852,0.95758,0.95758,0.95758,8,4
159807.SZ,科技ETF,科技,28.20495,,,,0.70629,0.14153,-0.41816,0.28408,0.32032,0.69618,-0.01702,0.09777,0.39596,0.58348,0.96809,0.31172,0.93939,0.93939,0.93939,11,5
159806.SZ,新能源车ETF,新能源,27.60548,,,,0.81062,0.01201,1.47196,0.37194,0.47915,0.69409,-0.21948,0.00000,0.30693,0.06969,0.93848,0.00000,0.92727,0.92727,0.92727,13,6
159861.SZ,碳中和50ETF,其他,36.19797,,,,0.66257,0.02327,,0.34992,,0.69347,-0.08223,0.05420,0.23265,0.11539,0.92137,0.09675,0.92121,0.92121,0.92121,14,7
159967.SZ,创业板成长ETF,其他,23.43364,,,,0.68949,0.08018,0.75266,0.32340,0.46338,0.69142,-0.14776,0.05788,0.28406,0.06539,0.78768,0.11842,0.91515,0.91515,0.91515,15,8
159992.SZ,创新药ETF,其他,19.26249,,,,0.57939,-0.17761,-0.16194,0.39037,0.47499,0.69115,-0.07934,-0.15827,0.38000,0.27462,1.05478,-0.37420,0.90909,0.90909,0.90909,16,9
159857.SZ,光伏ETF,新能源,30.86137,,,,0.75045,0.05103,,0.31976,0.48461,0.68772,-0.01665,0.08831,0.31466,0.13959,0.84900,0.14418,0.89697,0.89697,0.89697,18,10
159928.SZ,消费ETF,消费,32.27413,,,,0.93904,0.17199,-0.76276,0.33308,0.29491,0.68391,0.01003,0.08838,0.40497,0.58692,1.03892,0.20497,0.88485,0.88485,0.88485,20,11
159919.SZ,沪深300ETF,其他,19.10864,,,,0.35919,0.02518,-0.00587,0.34880,0.43888,0.68326,0.01599,0.00243,0.29656,0.10199,1.32975,0.01016,0.87879,0.87879,0.87879,21,12
159837.SZ,生物科技ETF,科技,27.96650,,,,0.60642,-0.16196,,0.37291,0.48695,0.68209,-0.06778,-0.13881,0.36287,0.22873,0.97443,-0.32330,0.86667,0.86667,0.86667,23,13
159881.SZ,有色60ETF,周期,41.71755,,,,0.76785,-0.05969,,0.28280,,0.67988,-0.12506,-0.01142,0.14291,0.00303,1.11888,-0.02071,0.85455,0.85455,0.85455,25,14
159886.SZ,机械ETF,制造,32.85136,,,,0.57210,0.07865,,0.28976,,0.67970,-0.09258,0.06383,0.14848,0.00719,1.16425,0.13051,0.84848,0.84848,0.84848,26,15
159825.SZ,农业ETF,其他,26.71872,,,,0.44998,0.16274,,0.45668,0.46441,0.66831,0.06374,0.08338,0.34667,0.11892,0.98363,0.23198,0.83030,0.83030,0.83030,29,16
159865.SZ,养殖ETF,其他,42.32159,,,,0.45269,0.33182,,0.51111,0.48214,0.66244,0.15640,0.20490,0.42255,0.27441,0.90205,0.42473,0.82424,0.82424,0.82424,30,17
159845.SZ,中证1000ETF,其他,40.12782,,,,0.35601,0.16851,,0.51700,,0.65987,-0.00000,0.17757,0.63299,0.74899,1.04931,0.54268,0.81818,0.81818,0.81818,31,18
159922.SZ,中证500ETF,其他,21.47583,,,,0.29515,0.04273,0.41644,0.46493,0.47329,0.65933,0.01006,0.07320,0.56863,0.76766,1.20167,0.33459,0.80606,0.80606,0.80606,33,19
159901.SZ,深证100ETF,其他,21.48783,,,,0.71002,0.07461,-0.43996,0.25105,0.33499,0.65817,-0.01117,0.03306,0.30073,0.31614,1.12254,0.11245,0.80000,0.80000,0.80000,34,20
