ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,momentum_12m_normalized,momentum_12m_component,final_score,stage2_rank,final_rank
159930.SZ,能源ETF,其他,19.43929,,,,0.67073,-0.28329,0.82997,0.17937,0.47853,0.59928,-0.01529,-0.20344,0.24773,0.08530,0.74209,-0.28494,0.89130,0.89130,0.89130,11,1
159974.SZ,央企创新ETF,其他,23.93358,,,,0.37440,-0.01663,0.91779,0.41813,0.35727,0.45039,0.01132,0.04948,0.44967,0.57362,2.23528,0.14833,0.93478,0.93478,0.93478,7,2
160140.SZ,美国REIT精选LOF,其他,21.90681,,,,0.28529,0.27365,0.84870,0.52698,0.54238,0.45460,0.14571,0.23709,0.56929,0.63850,1.03588,0.94389,0.90217,0.90217,0.90217,10,3
161128.SZ,标普信息科技LOF,科技,24.03502,,,,0.31596,0.24807,0.76166,0.47906,0.45581,0.54746,0.09935,0.29765,0.59382,0.84658,0.88971,0.93349,0.86957,0.86957,0.86957,13,4
164701.SZ,黄金LOF,其他,22.78149,,,,0.22334,0.01914,-0.14616,0.37266,0.44229,0.39390,0.01637,0.02471,0.27811,0.01939,0.60427,0.13504,0.26087,0.26087,0.26087,69,5
162719.SZ,石油LOF,周期,20.67802,,,,0.70283,0.06761,1.71630,0.27629,0.50836,0.50298,0.01749,-0.03664,0.48247,0.66276,0.54130,-0.06415,1.00000,1.00000,1.00000,1,6
159806.SZ,新能源车ETF,新能源,27.60548,,,,0.81062,0.01201,1.47196,0.37194,0.47915,0.69409,-0.21948,0.00000,0.30693,0.06969,0.93848,0.00000,0.97826,0.97826,0.97826,3,7
159801.SZ,芯片ETF龙头,科技,23.23077,,,,0.67399,0.09101,0.88887,0.15904,0.50601,0.63153,-0.09515,0.14200,0.32555,0.31160,0.76131,0.28825,0.92391,0.92391,0.92391,8,8
159998.SZ,计算机ETF,其他,19.37225,,,,0.44006,0.07734,0.04537,0.30896,0.41542,0.51793,0.01479,0.04732,0.39406,0.45781,1.25690,0.15262,0.35870,0.35870,0.35870,60,9
159967.SZ,创业板成长ETF,其他,23.43364,,,,0.68949,0.08018,0.75266,0.32340,0.46338,0.69142,-0.14776,0.05788,0.28406,0.06539,0.78768,0.11842,0.85870,0.85870,0.85870,14,10
159949.SZ,创业板50ETF,其他,25.30801,,,,0.61558,0.06003,0.59396,0.31659,0.50277,0.73630,-0.11147,0.03654,0.32485,0.15520,0.84559,0.09488,0.80435,0.80435,0.80435,19,11
159943.SZ,深证成指ETF,其他,30.16240,,,,0.98776,-0.90905,-0.89157,0.21710,0.31572,0.47817,0.00407,-0.90960,0.29795,0.36102,1.19290,-0.48300,0.01087,0.01087,0.01087,92,12
159938.SZ,医药卫生ETF,医药,20.27086,,,,0.49598,-0.02954,-0.08218,0.34593,0.42099,0.55248,0.03726,-0.03434,0.25901,0.01009,0.62601,-0.10062,0.30435,0.30435,0.30435,65,13
161124.SZ,港股小盘LOF,其他,19.85381,,,,0.59645,-0.15248,0.14511,0.51162,0.35290,0.30397,-0.03236,-0.17654,0.43630,0.44436,2.44020,-0.25899,0.47826,0.47826,0.47826,49,14
160644.SZ,港美互联网LOF,科技,23.28506,,,,0.61235,-0.08991,-0.08430,0.47163,0.41608,0.36207,-0.07579,-0.07292,0.32515,0.08773,0.74910,-0.17005,0.29348,0.29348,0.29348,66,15
501025.SH,香港银行LOF,金融,21.71265,,,,0.28277,0.01293,0.11591,0.21188,0.47636,0.45424,0.01511,-0.01269,0.44697,0.65268,1.24050,-0.06367,0.45652,0.45652,0.45652,51,16
159805.SZ,传媒ETF,其他,20.24254,,,,0.46124,0.50277,0.13516,0.49206,0.47339,0.62122,0.33633,0.46524,0.59100,0.80755,1.29111,0.87914,0.46739,0.46739,0.46739,50,17
159825.SZ,农业ETF,其他,26.71872,,,,0.44998,0.16274,,0.45668,0.46441,0.66831,0.06374,0.08338,0.34667,0.11892,0.98363,0.23198,,0.00000,0.00000,109,18
159928.SZ,消费ETF,消费,32.27413,,,,0.93904,0.17199,-0.76276,0.33308,0.29491,0.68391,0.01003,0.08838,0.40497,0.58692,1.03892,0.20497,0.03261,0.03261,0.03261,90,19
159936.SZ,可选消费ETF,消费,14.96240,,,,0.36536,0.10815,0.08065,0.41275,0.44646,0.39439,0.02032,0.08290,0.41977,0.40010,1.43215,0.29931,0.41304,0.41304,0.41304,55,20
