ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,price_efficiency_normalized,price_efficiency_component,final_score,stage2_rank,final_rank
561700.SH,电力ETF基金,其他,21.10466,,,,0.27767,-0.01713,0.03334,0.30374,0.46360,0.57820,0.03178,0.12509,0.25851,0.00820,0.79945,0.57287,0.66945,0.66945,0.66945,199,1
515560.SH,证券ETF建信,金融,19.55554,,,,0.42978,-0.10318,0.02226,0.57194,0.54219,0.54870,-0.05899,0.04309,0.45044,0.23719,0.89777,0.13385,0.97663,0.97663,0.97663,15,2
161724.SZ,煤炭等权LOF,周期,22.98664,,,,0.33163,0.05845,0.09330,0.25520,0.48285,0.44708,-0.01732,0.20374,0.46383,0.65345,0.76234,0.64173,0.79633,0.79633,0.79633,123,3
501025.SH,香港银行LOF,金融,19.25421,,,,0.27375,-0.01976,0.07410,0.30026,0.47130,0.40849,0.06454,0.11804,0.38233,0.37545,0.60242,0.40548,0.72454,0.72454,0.72454,166,4
510880.SH,红利ETF,其他,19.36201,,,,0.22688,-0.10893,0.03426,0.49017,0.53521,0.68258,-0.01931,0.04321,0.48717,0.43614,1.10368,0.24932,0.96828,0.96828,0.96828,20,5
159647.SZ,中药ETF,其他,20.18949,,,,0.41763,-0.04709,-0.17986,0.19729,0.47985,0.66784,-0.05201,0.04982,0.24504,0.05798,0.99622,0.13637,0.77796,0.77796,0.77796,134,6
159828.SZ,医疗ETF,医药,22.82153,,,,0.39419,-0.11007,-0.39311,0.43799,0.55604,0.67517,-0.09977,0.00528,0.46516,0.40146,0.93332,0.01215,0.98998,0.98998,0.98998,7,7
561800.SH,稀有金属ETF基金,其他,25.20296,,,,0.44084,-0.06533,-0.48421,0.25602,0.56896,0.45764,0.08005,0.08040,0.43368,0.47606,1.31190,0.16625,0.99833,0.99833,0.99833,2,8
159857.SZ,光伏ETF,新能源,22.31737,,,,0.55062,-0.17616,-0.56145,0.28838,0.56465,0.62767,0.08904,-0.09363,0.52876,0.73325,1.17062,-0.15205,0.99666,0.99666,0.99666,3,9
513330.SH,恒生互联网ETF,科技,19.01963,,,,0.60235,-0.25801,-0.42014,0.48034,0.51545,0.71724,-0.11139,-0.09188,0.53773,0.61742,1.14323,-0.15884,0.91486,0.91486,0.91486,52,10
516550.SH,农业ETF,其他,23.07479,,,,0.27259,-0.09896,-0.32287,0.34168,0.47325,0.60937,-0.01645,0.06237,0.34155,0.20973,0.88604,0.22476,0.73623,0.73623,0.73623,159,11
161725.SZ,白酒基金LOF,消费,27.78590,,,,0.43148,-0.24002,-0.33634,0.55704,0.56997,0.60425,-0.07776,-0.07235,0.56844,0.57830,1.15551,-0.18743,1.00000,1.00000,1.00000,1,12
516770.SH,游戏ETF华泰柏瑞,其他,30.36186,,,,0.91444,-0.08375,0.83318,0.36278,0.50301,0.65571,-0.14627,0.01572,0.33212,0.13058,1.19853,0.01949,0.87312,0.87312,0.87312,77,13
588180.SH,科创50ETF基金,其他,22.22159,,,,0.39417,-0.05564,-0.23507,0.38039,0.52790,0.63611,-0.01814,0.05412,0.41611,0.34003,0.97828,0.15964,0.94491,0.94491,0.94491,34,14
515190.SH,中银证券500ETF,金融,19.45969,,,,0.30909,-0.07111,-0.19491,0.29217,0.48098,0.29099,0.02386,0.07589,0.33286,0.22544,1.87868,0.17491,0.78798,0.78798,0.78798,128,15
512670.SH,国防ETF,军工,22.89793,,,,0.39775,-0.11058,-0.38430,0.29677,0.53341,0.63075,-0.01432,0.01808,0.34728,0.21166,1.16763,0.04445,0.96661,0.96661,0.96661,21,16
161127.SZ,标普生物科技LOF,科技,23.44460,,,,0.37882,0.52395,0.36874,0.51224,0.50497,0.48433,0.43267,0.64675,0.59077,0.75509,2.13699,1.35433,0.88147,0.88147,0.88147,72,17
513100.SH,纳指ETF,其他,23.39718,,,,0.34775,0.22938,1.20975,0.46605,0.54909,0.69306,0.14388,0.39731,0.58269,0.73292,1.04762,1.27973,0.98497,0.98497,0.98497,10,18
161116.SZ,黄金主题LOF,其他,21.83067,,,,0.24034,-0.00917,0.25474,0.55668,0.56163,0.40019,0.08769,0.16894,0.43111,0.17501,1.68040,0.68449,0.99499,0.99499,0.99499,4,19
160723.SZ,嘉实原油LOF,其他,22.93991,,,,0.55065,-0.07151,0.19830,0.43559,0.54494,0.55185,-0.03717,-0.00896,0.36704,0.12059,0.46770,-0.00978,0.98164,0.98164,0.98164,12,20
