ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,trend_consistency_normalized,trend_consistency_component,final_score,stage2_rank,final_rank
561170.SH,绿色电力ETF,其他,26.71377,,,,0.26385,-0.00619,,0.41623,,0.57239,0.03786,0.13792,0.21151,0.00679,0.97435,0.68831,0.76971,0.76971,0.76971,151,1
163113.SZ,申万证券LOF,金融,19.69881,,,,0.40159,-0.10262,-0.01535,0.63272,0.52480,0.41416,-0.05050,0.04210,0.46945,0.25085,0.93498,0.13324,1.00000,1.00000,1.00000,1,2
159930.SZ,能源ETF,其他,19.80107,,,,0.37830,-0.04327,0.28376,0.43497,0.41888,0.58714,0.02903,0.10618,0.29072,0.01831,0.81031,0.33320,0.82689,0.82689,0.82689,114,3
159691.SZ,港股红利ETF,其他,31.53404,,,,0.35348,-0.03013,,0.44255,,0.61326,0.08087,0.14830,0.23216,0.02176,1.15341,0.45185,0.84699,0.84699,0.84699,100,4
515890.SH,红利ETF博时,其他,19.97129,,,,0.22804,-0.11596,-0.02645,0.52939,0.35534,0.51067,-0.02559,0.03332,0.45266,0.47324,0.85869,0.19409,0.97527,0.97527,0.97527,17,5
159629.SZ,1000ETF,其他,25.92029,,,,0.45661,-0.04809,0.09619,0.33579,0.33236,0.68168,-0.04982,0.07225,0.23225,0.02860,0.65854,0.21752,0.37558,0.37558,0.37558,405,6
517380.SH,创新药ETF天弘,其他,23.49329,,,,0.48668,-0.10578,-0.27901,0.45433,0.46688,0.58690,-0.14245,-0.00147,0.42730,0.36069,1.15016,-0.00281,0.87017,0.87017,0.87017,85,7
562310.SH,沪深300成长ETF,其他,26.19494,,,,0.31935,-0.19627,-0.39842,0.47993,0.44629,0.63566,-0.01823,-0.05437,0.56240,0.76097,1.03495,-0.15619,0.91190,0.91190,0.91190,58,8
161124.SZ,港股小盘LOF,其他,26.43677,,,,0.33408,-0.25271,-0.31985,0.49688,0.37992,0.30685,-0.05580,-0.03654,0.48055,0.56484,1.13761,-0.10909,0.94281,0.94281,0.94281,38,9
161725.SZ,白酒基金LOF,消费,27.78590,,,,0.43148,-0.24002,-0.33634,0.55704,0.56997,0.60425,-0.07776,-0.07235,0.56844,0.57830,1.15551,-0.18743,0.98918,0.98918,0.98918,8,10
516760.SH,养殖ETF,其他,24.17262,,,,0.30487,-0.00853,-0.30090,0.40563,0.46452,0.49519,0.03607,0.15914,0.38892,0.29660,0.83283,0.48239,0.72798,0.72798,0.72798,177,11
516220.SH,化工龙头ETF,周期,28.27700,,,,0.31800,-0.15580,-0.41459,0.42279,0.36616,0.67980,0.01210,-0.00037,0.49197,0.68697,1.01480,-0.00114,0.78516,0.78516,0.78516,140,12
516100.SH,金融科技ETF华夏,科技,22.67680,,,,0.56512,-0.03302,0.18473,0.49227,0.44458,0.51911,-0.05907,0.08380,0.31919,0.02073,1.39793,0.18308,0.93509,0.93509,0.93509,43,13
159516.SZ,半导体设备ETF,科技,36.31986,,,,0.49578,-0.02377,,0.42514,,0.67831,-0.06659,0.07098,0.33542,0.24570,0.91216,0.15268,0.79134,0.79134,0.79134,136,14
560170.SH,央企科技ETF,科技,41.84658,,,,0.34147,-0.10037,,0.44388,,0.57941,-0.03340,0.02549,0.40599,0.36810,2.15120,0.07406,0.85008,0.85008,0.85008,98,15
159620.SZ,500成长ETF,其他,19.30901,,,,0.38552,-0.09859,-0.24082,0.41895,0.39150,0.50342,-0.02154,0.01290,0.37666,0.31952,1.24845,0.04467,0.77434,0.77434,0.77434,147,16
159687.SZ,亚太精选ETF,其他,27.19258,,,,0.25068,0.07423,,0.44731,0.42183,0.52954,0.10973,0.24505,0.49593,0.61865,1.25271,0.87289,0.85317,0.85317,0.85317,96,17
159660.SZ,纳指100ETF,其他,34.29998,,,,0.32142,0.27653,,0.52002,,0.55363,0.14313,0.43462,0.65470,0.78939,0.75633,1.43627,0.96445,0.96445,0.96445,24,18
161116.SZ,黄金主题LOF,其他,21.83067,,,,0.24034,-0.00917,0.25474,0.55668,0.56163,0.40019,0.08769,0.16894,0.43111,0.17501,1.68040,0.68449,0.98764,0.98764,0.98764,9,19
160216.SZ,国泰商品LOF,其他,16.91917,,,,0.33606,-0.21104,0.03627,0.46687,0.50202,0.51361,-0.04754,-0.11963,0.62261,0.89896,0.80011,-0.31131,0.89181,0.89181,0.89181,71,20
