ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,trend_quality_normalized,trend_quality_component,final_score,stage2_rank,final_rank
161724.SZ,煤炭等权LOF,周期,31.04680,,,,0.93339,-0.30602,,0.27727,0.41078,0.47255,-0.00935,-0.27217,0.32129,0.27583,0.60237,-0.38962,0.39394,0.39394,0.39394,101,1
159845.SZ,中证1000ETF,其他,40.12782,,,,0.35601,0.16851,,0.51700,,0.65987,-0.00000,0.17757,0.63299,0.74899,1.04931,0.54268,0.99394,0.99394,0.99394,2,2
160140.SZ,美国REIT精选LOF,其他,21.90681,,,,0.28529,0.27365,0.84870,0.52698,0.54238,0.45460,0.14571,0.23709,0.56929,0.63850,1.03588,0.94389,0.87273,0.87273,0.87273,22,3
161128.SZ,标普信息科技LOF,科技,24.03502,,,,0.31596,0.24807,0.76166,0.47906,0.45581,0.54746,0.09935,0.29765,0.59382,0.84658,0.88971,0.93349,0.92121,0.92121,0.92121,14,4
162411.SZ,华宝油气LOF,其他,21.70093,,,,0.75245,-0.06165,1.50785,0.37322,0.55491,0.60627,-0.00857,-0.13189,0.54461,0.70572,0.68765,-0.21111,0.81212,0.81212,0.81212,32,5
159863.SZ,光伏ETF基金,新能源,38.57360,,,,0.80187,-0.29597,,0.37481,,0.64341,-0.03029,-0.27621,0.53969,0.70457,0.96645,-0.30994,0.80606,0.80606,0.80606,33,6
159994.SZ,5GETF,科技,25.29488,,,,0.48901,0.31477,0.15428,0.48080,0.48833,0.61110,0.08594,0.30040,0.61237,0.86798,0.93264,0.68462,0.98182,0.98182,0.98182,4,7
159888.SZ,智能车ETF,其他,35.89693,,,,0.45339,0.54802,,0.47081,,0.59139,0.02123,0.49755,0.66431,0.85780,0.68078,1.19460,1.00000,1.00000,1.00000,1,8
159966.SZ,创业板价值ETF,其他,21.77205,,,,0.47240,0.05796,0.09236,0.42432,0.43321,0.56610,0.03483,0.04795,0.44159,0.46723,1.07776,0.16409,0.62424,0.62424,0.62424,63,9
159907.SZ,2000ETF,其他,18.67878,,,,0.39206,0.13294,0.32524,0.43446,0.46695,0.38294,0.02099,0.13176,0.50328,0.60843,0.55989,0.41934,0.74545,0.74545,0.74545,43,10
159943.SZ,深证成指ETF,其他,30.16240,,,,0.98776,-0.90905,-0.89157,0.21710,0.31572,0.47817,0.00407,-0.90960,0.29795,0.36102,1.19290,-0.48300,0.32121,0.32121,0.32121,113,11
159847.SZ,医疗ETF易方达,医药,30.22252,,,,0.61988,-0.23104,,0.51623,,0.61825,-0.05633,-0.22742,0.59507,0.67390,0.97791,-0.50769,0.92727,0.92727,0.92727,13,12
160125.SZ,南方香港LOF,其他,25.51037,,,,0.43229,-0.25649,-0.18779,0.44624,0.45280,0.39016,-0.16493,-0.22964,0.55516,0.76644,1.63132,-0.57455,0.82424,0.82424,0.82424,30,13
159960.SZ,恒生中国企业ETF,其他,21.26072,,,,0.37321,-0.20483,-0.35082,0.50876,0.45656,0.50920,-0.04367,-0.20839,0.61444,0.87799,1.27934,-0.59559,0.98788,0.98788,0.98788,3,14
159887.SZ,银行ETF,金融,27.07506,,,,0.33298,-0.00860,,0.56779,,0.63608,-0.01709,-0.03375,0.50009,0.43239,1.20406,-0.13382,0.73333,0.73333,0.73333,45,15
159855.SZ,影视ETF,其他,32.90810,,,,0.47987,0.58291,,0.48571,0.49641,0.57867,0.44360,0.56529,0.60787,0.84148,1.25062,0.99061,0.96970,0.96970,0.96970,6,16
159865.SZ,养殖ETF,其他,42.32159,,,,0.45269,0.33182,,0.51111,0.48214,0.66244,0.15640,0.20490,0.42255,0.27441,0.90205,0.42473,0.57576,0.57576,0.57576,71,17
159928.SZ,消费ETF,消费,32.27413,,,,0.93904,0.17199,-0.76276,0.33308,0.29491,0.68391,0.01003,0.08838,0.40497,0.58692,1.03892,0.20497,0.53939,0.53939,0.53939,77,18
159843.SZ,食品饮料ETF,消费,26.78757,,,,0.63561,0.16953,,0.33564,0.42712,0.63384,0.00842,0.09641,0.46729,0.63910,0.99390,0.20265,0.67879,0.67879,0.67879,54,19
