ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,trend_quality_normalized,trend_quality_component,final_score,stage2_rank,final_rank
513650.SH,标普500ETF南方,其他,36.33760,,,,0.21990,0.19610,,0.51526,,0.53155,0.11612,0.35798,0.66997,0.82469,0.99611,1.65142,1.00000,1.00000,1.00000,1,1
159707.SZ,地产ETF,地产,21.88719,,,,0.48446,-0.37807,-0.58803,0.62463,0.49256,0.63048,-0.12500,-0.23913,0.65759,0.85558,0.98992,-0.51749,0.99845,0.99845,0.99845,2,2
159660.SZ,纳指100ETF,其他,34.29998,,,,0.32142,0.27653,,0.52002,,0.55363,0.14313,0.43462,0.65470,0.78939,0.75633,1.43627,0.99691,0.99691,0.99691,3,3
513390.SH,纳指100ETF,其他,36.27913,,,,0.33385,0.25656,,0.51700,,0.57826,0.14300,0.41136,0.64449,0.77198,1.89071,1.35161,0.99536,0.99536,0.99536,4,4
159931.SZ,金融ETF,金融,19.81375,,,,0.33372,-0.18905,-0.14191,0.54163,0.48251,0.45946,-0.03033,-0.03903,0.63768,0.88891,0.73796,-0.17196,0.99227,0.99227,0.99227,6,5
501312.SH,海外科技LOF,科技,44.66154,,,,0.61169,0.65962,,0.43210,,0.50828,0.30888,0.82388,0.63569,0.83927,1.42555,1.24871,0.99073,0.99073,0.99073,7,6
159659.SZ,纳斯达克100ETF,其他,37.18176,,,,0.33397,0.26107,,0.47558,,0.51333,0.12533,0.42762,0.62771,0.77985,1.46772,1.34665,0.98918,0.98918,0.98918,8,7
159501.SZ,纳指ETF嘉实,其他,36.26064,,,,0.32384,0.26922,,0.47081,,0.56897,0.13872,0.43292,0.62771,0.78461,0.94079,1.41346,0.98764,0.98764,0.98764,9,8
512800.SH,银行ETF,金融,21.44403,,,,0.29241,-0.15716,-0.06567,0.44992,0.53275,0.68281,0.00479,-0.00474,0.62734,0.89936,0.88409,-0.02287,0.98609,0.98609,0.98609,10,9
560070.SH,央企红利ETF基金,其他,31.89653,,,,0.25023,-0.15766,,0.50338,,0.58997,-0.03004,-0.01149,0.62665,0.74991,0.66423,-0.05043,0.98454,0.98454,0.98454,11,10
167301.SZ,保险主题LOF,金融,23.21217,,,,0.43336,-0.28928,-0.09188,0.41976,0.51821,0.48097,-0.02148,-0.12738,0.62585,0.93958,0.58632,-0.39843,0.98300,0.98300,0.98300,12,11
160216.SZ,国泰商品LOF,其他,16.91917,,,,0.33606,-0.21104,0.03627,0.46687,0.50202,0.51361,-0.04754,-0.11963,0.62261,0.89896,0.80011,-0.31131,0.98145,0.98145,0.98145,13,12
159513.SZ,纳斯达克100指数ETF,其他,36.13264,,,,0.32976,0.20412,,0.48986,,0.55674,0.14162,0.38498,0.60967,0.72948,1.48512,1.27247,0.97991,0.97991,0.97991,14,13
159940.SZ,金融地产ETF,金融,18.81640,,,,0.32650,-0.18491,-0.13690,0.52591,0.40424,0.48996,-0.03856,-0.03701,0.60283,0.87833,0.51320,-0.15917,0.97372,0.97372,0.97372,18,14
510230.SH,金融ETF,金融,22.03952,,,,0.34366,-0.17451,-0.03507,0.41342,0.48048,0.66263,-0.00964,-0.02253,0.60134,0.91013,0.84300,-0.09806,0.97218,0.97218,0.97218,19,15
512640.SH,金融地产ETF嘉实,金融,20.63540,,,,0.33014,-0.18867,-0.12711,0.52704,0.38708,0.53710,-0.02655,-0.03893,0.60035,0.88693,0.93076,-0.17757,0.97063,0.97063,0.97063,20,16
512070.SH,证券保险ETF,金融,20.29268,,,,0.45395,-0.19218,-0.07604,0.49990,0.47746,0.67861,-0.04562,-0.04398,0.59826,0.81742,0.83630,-0.14134,0.96909,0.96909,0.96909,21,17
159787.SZ,建材ETF易方达,其他,24.39579,,,,0.40455,-0.28663,-0.45021,0.50133,0.42348,0.50310,-0.06117,-0.14175,0.59661,0.86501,1.11787,-0.34422,0.96600,0.96600,0.96600,23,18
159697.SZ,油气ETF,其他,30.11448,,,,0.31458,-0.12740,,0.39882,,0.61532,0.01683,-0.00531,0.59528,0.79174,0.82652,-0.01969,0.96445,0.96445,0.96445,24,19
159686.SZ,A100ETF易方达,其他,29.70303,,,,0.31924,-0.15909,,0.41311,,0.38657,0.01178,-0.00910,0.59491,0.77672,0.35542,-0.02708,0.96136,0.96136,0.96136,26,20
