ts_code,strategy,return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,num_trades,avg_trade_duration,exposure_time_pct,optimized_fast_period,optimized_slow_period,optimized_signal_period,max_consecutive_losses,pause_bars,trailing_stop_pct
561160.SH,baseline,118.03429090000009,1.041429503304007,-25.476040481235074,47.82608695652174,23,32 days 00:00:00,98.14814814814815,10,38,12,,,
516160.SH,baseline,564.2725479,0.2346444877352949,-15.387476091646601,52.17391304347826,23,32 days 00:00:00,97.53086419753086,16,30,12,,,
159566.SZ,baseline,103.39929295999994,1.1290606373835264,-15.05481382347046,55.55555555555556,18,35 days 00:00:00,98.80952380952381,14,40,14,,,
159783.SZ,baseline,109.77184043999996,0.9365714100039505,-23.8049835053426,56.25,16,44 days 00:00:00,95.26748971193416,16,30,14,,,
159715.SZ,baseline,38.217602759999906,0.5049917440153994,-33.11139792714373,33.33333333333333,27,27 days 00:00:00,95.88477366255144,20,36,14,,,
588170.SH,baseline,-7.385362300000034,-0.4510969634749934,-21.772824232351862,62.5,8,20 days 00:00:00,75.0,20,40,8,,,
515070.SH,baseline,111.50286900000006,0.9991282983363281,-33.38376694483427,38.88888888888889,18,38 days 00:00:00,93.00411522633745,20,40,14,,,
159399.SZ,baseline,4.123865659999974,0.4044676872203915,-6.224972624922909,62.5,8,30 days 00:00:00,91.81286549707602,16,32,12,,,
159201.SZ,baseline,8.590488799999967,0.7689384364414302,-8.863784671332409,41.66666666666667,12,19 days 00:00:00,88.30409356725146,8,32,8,,,
588870.SH,baseline,37.14047492000005,1.309888075823833,-13.235922290023282,33.33333333333333,6,36 days 00:00:00,76.06382978723404,20,30,14,,,
159366.SZ,baseline,17.45087864000005,0.9924547708619457,-16.74065789320698,40.0,5,29 days 00:00:00,70.71428571428572,18,34,14,,,
589010.SH,baseline,24.309669600000017,1.0049732338971527,-23.987519263776523,50.0,4,29 days 00:00:00,56.64335664335665,16,22,14,,,
159922.SZ,baseline,104.90826997999996,0.6504766994911084,-19.64094864349334,40.0,15,47 days 00:00:00,95.06172839506173,20,40,14,,,
563800.SH,baseline,8.829839979999942,0.5683267057987623,-7.401034797772754,42.857142857142854,14,23 days 00:00:00,89.87341772151899,20,38,10,,,
159608.SZ,baseline,56.27779747999999,0.674555352341757,-40.18650934414024,52.63157894736842,19,38 days 00:00:00,98.14814814814815,20,40,14,,,
159732.SZ,baseline,64.46600512000005,0.7705992596193544,-24.839193244551193,42.10526315789473,19,35 days 00:00:00,88.47736625514403,20,40,10,,,
159206.SZ,baseline,11.043094159999981,0.6068499375215626,-14.779232465843005,50.0,6,29 days 00:00:00,73.75,20,40,14,,,
520600.SH,baseline,20.837482900000033,0.666537089886311,-19.511768858921908,54.54545454545454,11,25 days 00:00:00,84.54106280193237,18,36,6,,,
512980.SH,baseline,80.64996406000006,0.8930212374224086,-26.37589437856106,57.14285714285714,14,48 days 00:00:00,92.18106995884774,18,40,14,,,
510210.SH,baseline,40.45285025999996,0.912115592733635,-12.664969327629505,64.28571428571429,14,51 days 00:00:00,97.11934156378601,20,40,14,,,
