ts_code,strategy,return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,num_trades,avg_trade_duration,exposure_time_pct,optimized_fast_period,optimized_slow_period,optimized_signal_period,max_consecutive_losses,pause_bars,trailing_stop_pct
561160.SH,combined,91.05260587999997,1.3562168720022396,-17.478744926699207,54.54545454545454,22,19 days 00:00:00,63.580246913580254,10,24,12,2,5,0.03
516160.SH,combined,75.88608555999996,1.2894076500136589,-14.86280210461517,50.0,20,21 days 00:00:00,59.876543209876544,12,34,14,2,5,0.03
159566.SZ,combined,49.97830608000002,1.2668458814523933,-12.369707163510945,53.333333333333336,15,16 days 00:00:00,42.38095238095238,14,40,14,2,5,0.03
159783.SZ,combined,102.71562568000002,1.1122007479235423,-15.880958660580891,57.89473684210527,19,23 days 00:00:00,59.053497942386834,18,28,12,2,5,0.03
159715.SZ,combined,17.83135697999989,0.3606223475230737,-15.610725505673583,39.39393939393939,33,12 days 00:00:00,55.349794238683124,8,24,6,2,5,0.03
588170.SH,combined,7.463301079999947,0.4766058396806957,-15.338455564874886,57.14285714285714,7,17 days 00:00:00,56.25,20,40,14,2,5,0.03
515070.SH,combined,24.237411799999972,0.5563843915074036,-21.65959684038713,37.5,16,13 days 00:00:00,30.246913580246915,20,40,14,2,5,0.03
159399.SZ,combined,10.689593259999965,1.0612449837817692,-4.072812314282381,83.33333333333334,6,26 days 00:00:00,62.57309941520468,20,30,8,2,5,0.03
159201.SZ,combined,14.535051759999988,1.25625616715761,-6.698984786350371,57.14285714285714,7,23 days 00:00:00,66.08187134502924,12,26,14,2,5,0.03
588870.SH,combined,14.984157040000026,0.6462768048175999,-12.637753066038005,42.857142857142854,14,16 days 00:00:00,81.38297872340425,10,38,6,2,5,0.03
159366.SZ,combined,8.416435820000043,0.7785958053121402,-11.361676811223731,33.33333333333333,6,20 days 00:00:00,55.714285714285715,18,30,14,2,5,0.03
589010.SH,combined,12.91173080000006,0.7774551819873295,-12.055369454922571,36.36363636363637,11,12 days 00:00:00,62.23776223776224,8,20,8,2,5,0.03
159922.SZ,combined,71.06817306000008,0.577643741675069,-15.416880573813806,34.78260869565217,23,18 days 00:00:00,57.20164609053497,20,34,6,2,5,0.03
563800.SH,combined,6.8901525799999215,0.4978977437567195,-7.727532488663435,46.15384615384615,13,21 days 00:00:00,78.05907172995781,18,38,12,2,5,0.03
159608.SZ,combined,-6.31214173999997,-0.1447340229274701,-25.327299842041405,28.57142857142857,35,12 days 00:00:00,60.288065843621396,8,20,14,2,5,0.03
159732.SZ,combined,23.94246923999999,0.5589021505733774,-19.004901742297786,45.0,20,11 days 00:00:00,32.510288065843625,18,30,14,2,5,0.03
159206.SZ,combined,16.749817060000023,1.1941501392946234,-10.796443977758209,60.0,5,17 days 00:00:00,38.75,20,30,14,2,5,0.03
520600.SH,combined,11.477101899999944,0.6129432425237993,-9.736713572356237,38.46153846153847,13,12 days 00:00:00,57.00483091787439,10,40,6,2,5,0.03
512980.SH,combined,17.964926199999994,0.3393454383119306,-24.33064130644348,36.58536585365854,41,10 days 00:00:00,59.053497942386834,12,24,6,2,5,0.03
510210.SH,combined,35.53867902000005,0.950656231182799,-11.052906997073952,50.0,12,34 days 00:00:00,58.43621399176955,20,40,14,2,5,0.03
