ts_code,strategy,return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,num_trades,avg_trade_duration,exposure_time_pct,optimized_fast_period,optimized_slow_period,optimized_signal_period,max_consecutive_losses,pause_bars,trailing_stop_pct
561160.SH,loss_protection,124.32544364000012,1.0659138141018114,-17.299836362889465,44.44444444444444,27,27 days 00:00:00,98.14814814814815,10,24,12,2,5,
516160.SH,loss_protection,585.4473602399997,0.23700485733038512,-15.38740716564696,57.14285714285714,21,35 days 00:00:00,97.53086419753086,16,30,12,2,5,
159566.SZ,loss_protection,103.39929295999994,1.1290606373835264,-15.05481382347046,55.55555555555556,18,35 days 00:00:00,98.80952380952381,14,40,14,2,5,
159783.SZ,loss_protection,109.77184043999996,0.9365714100039505,-23.8049835053426,56.25,16,44 days 00:00:00,95.26748971193416,16,30,14,2,5,
159715.SZ,loss_protection,33.93088215999989,0.4595154629581053,-33.111599855145926,33.33333333333333,24,30 days 00:00:00,95.88477366255144,18,40,14,2,5,
588170.SH,loss_protection,-7.385362300000034,-0.4510969634749934,-21.772824232351862,62.5,8,20 days 00:00:00,75.0,20,40,8,2,5,
515070.SH,loss_protection,129.83778226000013,1.0886794278096057,-27.60699567669185,47.05882352941176,17,41 days 00:00:00,93.00411522633745,20,40,14,2,5,
159399.SZ,loss_protection,4.123865659999974,0.4044676872203915,-6.224972624922909,62.5,8,30 days 00:00:00,91.81286549707602,16,32,12,2,5,
159201.SZ,loss_protection,8.985613560000075,0.7284790037259137,-10.539607335936763,50.0,8,27 days 00:00:00,82.45614035087719,12,26,14,2,5,
588870.SH,loss_protection,37.14047492000005,1.309888075823833,-13.235922290023282,33.33333333333333,6,36 days 00:00:00,76.06382978723404,20,30,14,2,5,
159366.SZ,loss_protection,17.45087864000005,0.9924547708619457,-16.74065789320698,40.0,5,29 days 00:00:00,70.71428571428572,18,34,14,2,5,
589010.SH,loss_protection,25.52361034000003,1.0379746166037573,-24.110847059084072,50.0,4,28 days 00:00:00,55.94405594405595,14,22,14,2,5,
159922.SZ,loss_protection,104.90826997999996,0.6504766994911084,-19.64094864349334,40.0,15,47 days 00:00:00,95.06172839506173,20,40,14,2,5,
563800.SH,loss_protection,13.075618279999945,0.804772246169775,-6.732152145763148,46.15384615384615,13,25 days 00:00:00,89.87341772151899,18,38,14,2,5,
159608.SZ,loss_protection,56.27779747999999,0.674555352341757,-40.18650934414024,52.63157894736842,19,38 days 00:00:00,98.14814814814815,20,40,14,2,5,
159732.SZ,loss_protection,64.46600512000005,0.7705992596193544,-24.839193244551193,42.10526315789473,19,35 days 00:00:00,88.47736625514403,20,40,10,2,5,
159206.SZ,loss_protection,11.940719020000016,0.6524222304072375,-15.804474883732734,37.5,16,15 days 00:00:00,96.875,8,20,8,2,5,
520600.SH,loss_protection,21.516789480000025,0.6890132453386094,-21.574194212288546,60.0,10,27 days 00:00:00,85.02415458937197,10,30,14,2,5,
512980.SH,loss_protection,80.64996406000006,0.8930212374224086,-26.37589437856106,57.14285714285714,14,48 days 00:00:00,92.18106995884774,18,40,14,2,5,
510210.SH,loss_protection,40.45285025999996,0.912115592733635,-12.664969327629505,64.28571428571429,14,51 days 00:00:00,97.11934156378601,20,40,14,2,5,
561160.SH,loss_protection,118.03429090000009,1.041429503304007,-25.476040481235074,47.82608695652174,23,32 days 00:00:00,98.14814814814815,10,38,12,2,10,
516160.SH,loss_protection,548.4042986999999,0.2317139502037609,-17.88371763626565,54.166666666666664,24,30 days 00:00:00,97.32510288065843,20,38,6,2,10,
159566.SZ,loss_protection,103.39929295999994,1.1290606373835264,-15.05481382347046,55.55555555555556,18,35 days 00:00:00,98.80952380952381,14,40,14,2,10,
159783.SZ,loss_protection,109.77184043999996,0.9365714100039505,-23.8049835053426,56.25,16,44 days 00:00:00,95.26748971193416,16,30,14,2,10,
159715.SZ,loss_protection,33.93088215999989,0.4595154629581053,-33.111599855145926,33.33333333333333,24,30 days 00:00:00,95.88477366255144,18,40,14,2,10,
588170.SH,loss_protection,-7.385362300000034,-0.4510969634749934,-21.772824232351862,62.5,8,20 days 00:00:00,75.0,20,40,8,2,10,
515070.SH,loss_protection,131.04771294000005,1.0947972611345025,-27.227635532118597,43.75,16,43 days 00:00:00,93.00411522633745,20,40,14,2,10,
