ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,adx_mean_normalized,adx_score_component,final_score,stage2_rank,final_rank
562030.SH,信创ETF基金,其他,45.92657,,,,0.72462,-0.19020,,0.28474,,0.64949,-0.14238,-0.25937,0.15285,0.02095,0.99654,-0.30102,0.99855,0.99855,0.99855,2,1
159520.SZ,消费龙头ETF,消费,45.00343,,,,0.37551,0.13362,,0.39703,,0.60166,0.01613,0.02893,0.47863,0.56023,0.75954,0.06570,0.99566,0.99566,0.99566,4,2
560280.SH,工程机械ETF,制造,43.84049,,,,0.37578,0.25663,,0.48018,,0.45334,0.02861,0.14334,0.58870,0.69721,1.62005,0.32328,0.99277,0.99277,0.99277,6,3
562590.SH,半导体材料ETF,科技,42.61478,,,,0.63804,-0.11960,,0.24634,,0.47109,-0.04792,-0.22233,0.12926,0.01219,1.58792,-0.29032,0.99133,0.99133,0.99133,7,4
159698.SZ,粮食ETF,其他,41.17070,,,,0.37004,-0.02356,,0.29949,,0.52600,-0.05290,-0.13934,0.15489,0.01029,0.72572,-0.28490,0.98699,0.98699,0.98699,10,5
513810.SH,港股国企ETF,其他,40.31458,,,,0.35155,0.20291,,0.37148,,0.53097,0.03932,0.09029,0.53079,0.69011,0.92299,0.22848,0.98410,0.98410,0.98410,12,6
159523.SZ,沪深300成长ETF,其他,39.04036,,,,0.30662,0.09647,,0.36769,,0.55977,0.00889,0.00118,0.44344,0.51919,0.96207,0.00335,0.98266,0.98266,0.98266,13,7
562380.SH,央企科技引领ETF,科技,38.91037,,,,0.48319,-0.15369,,0.27061,,0.51588,-0.10730,-0.25701,0.13763,0.00466,1.30375,-0.37892,0.98121,0.98121,0.98121,14,8
588020.SH,科创成长50ETF,其他,38.73974,,,,0.59201,-0.16414,,0.25648,,0.60744,-0.09141,-0.23936,0.13503,0.01359,0.68567,-0.30564,0.97977,0.97977,0.97977,15,9
159699.SZ,恒生消费ETF,消费,38.63982,,,,0.43426,0.13189,,0.45668,,0.58398,0.11303,0.03393,0.45203,0.44738,1.09245,0.06616,0.97832,0.97832,0.97832,16,10
517520.SH,黄金股ETF,其他,38.54156,,,,0.51133,0.54433,,0.53016,,0.56794,0.44565,0.37164,0.53126,0.53236,1.59510,0.63173,0.97543,0.97543,0.97543,18,11
501312.SH,海外科技LOF,科技,38.24599,,,,0.59774,0.01614,,0.40179,0.37328,0.60736,0.00956,-0.09963,0.38429,0.37779,0.60951,-0.18218,0.97110,0.97110,0.97110,21,12
561360.SH,石油ETF,周期,38.09158,,,,0.39962,0.31163,,0.50635,,0.64890,0.13117,0.16801,0.54973,0.59312,0.96995,0.34651,0.96965,0.96965,0.96965,22,13
513190.SH,港股通金融ETF,金融,37.95713,,,,0.42447,0.08954,,0.23236,,0.55188,-0.03248,-0.04068,0.34043,0.44849,0.96468,-0.08919,0.96821,0.96821,0.96821,23,14
560260.SH,医疗ETF龙头,医药,37.55475,,,,0.53027,-0.23114,,0.49590,,0.58012,-0.11379,-0.31828,0.35786,0.21981,0.87225,-0.52426,0.96676,0.96676,0.96676,24,15
588120.SH,科创板100ETF,其他,37.18758,,,,0.67259,-0.27408,,0.29693,,0.68393,-0.08791,-0.35694,0.18765,0.07837,0.86435,-0.40600,0.96387,0.96387,0.96387,26,16
562930.SH,软件ETF易方达,科技,36.86632,,,,0.64607,-0.21490,,0.24665,,0.56581,-0.14308,-0.28431,0.13325,0.01985,1.11277,-0.34114,0.96098,0.96098,0.96098,28,17
588110.SH,科创成长ETF,其他,36.50895,,,,0.60929,-0.16318,,0.27394,,0.66257,-0.08374,-0.23638,0.14359,0.01325,0.70821,-0.29482,0.95809,0.95809,0.95809,30,18
560220.SH,中证2000ETF广发,其他,36.39312,,,,0.70053,-0.10048,,0.21649,,0.58372,0.10806,-0.17353,0.12474,0.03298,0.89009,-0.18123,0.95520,0.95520,0.95520,32,19
513650.SH,标普500ETF南方,其他,36.36337,,,,0.22346,0.28135,,0.46825,0.44087,0.59211,0.08858,0.16326,0.62073,0.95305,1.29955,0.70787,0.95376,0.95376,0.95376,33,20
