ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,adx_mean_normalized,adx_score_component,final_score,stage2_rank,final_rank
501312.SH,海外科技LOF,科技,44.66154,,,,0.61169,0.65962,,0.43210,,0.50828,0.30888,0.82388,0.63569,0.83927,1.42555,1.24871,1.00000,1.00000,1.00000,1,1
563050.SH,央企科技50ETF,科技,43.62226,,,,0.33670,-0.08248,,0.36754,,0.46562,-0.01946,0.04129,0.34689,0.32625,1.14464,0.12350,0.99845,0.99845,0.99845,2,2
562380.SH,央企科技引领ETF,科技,43.19860,,,,0.34789,-0.10074,,0.38674,,0.59214,-0.03239,0.02336,0.37710,0.36746,0.80573,0.06942,0.99691,0.99691,0.99691,3,3
159507.SZ,通信ETF广发,科技,39.66887,,,,0.47811,-0.09237,,0.28776,,0.61758,0.00250,0.02771,0.30462,0.32147,0.81016,0.06775,0.99382,0.99382,0.99382,5,4
563010.SH,电信ETF,其他,39.64494,,,,0.44898,-0.11063,,0.26887,,0.53271,0.01009,0.03263,0.32604,0.38322,0.97394,0.09546,0.99227,0.99227,0.99227,6,5
562930.SH,软件ETF易方达,科技,38.77448,,,,0.55024,-0.12584,,0.39800,,0.51055,-0.03747,-0.00481,0.27149,0.14498,1.43452,-0.00986,0.99073,0.99073,0.99073,7,6
159506.SZ,港股通医疗ETF富国,医药,38.58588,,,,0.60013,-0.03859,,0.27757,,0.64681,-0.10774,0.09923,0.22979,0.18201,1.19294,0.15615,0.98918,0.98918,0.98918,8,7
562860.SH,生物疫苗ETF,医药,38.09351,,,,0.39764,0.13363,,0.20159,0.42364,0.60778,-0.05106,0.25806,0.23213,0.07118,0.78526,0.59322,0.98764,0.98764,0.98764,9,8
159659.SZ,纳斯达克100ETF,其他,37.18176,,,,0.33397,0.26107,,0.47558,,0.51333,0.12533,0.42762,0.62771,0.77985,1.46772,1.34665,0.98609,0.98609,0.98609,10,9
513110.SH,纳斯达克100ETF,其他,36.83789,,,,0.31240,0.23792,,0.46923,,0.59944,0.14109,0.39785,0.60701,0.74480,0.94719,1.37816,0.98454,0.98454,0.98454,11,10
513650.SH,标普500ETF南方,其他,36.33760,,,,0.21990,0.19610,,0.51526,,0.53155,0.11612,0.35798,0.66997,0.82469,0.99611,1.65142,0.98300,0.98300,0.98300,12,11
159516.SZ,半导体设备ETF,科技,36.31986,,,,0.49578,-0.02377,,0.42514,,0.67831,-0.06659,0.07098,0.33542,0.24570,0.91216,0.15268,0.98145,0.98145,0.98145,13,12
159501.SZ,纳指ETF嘉实,其他,36.26064,,,,0.32384,0.26922,,0.47081,,0.56897,0.13872,0.43292,0.62771,0.78461,0.94079,1.41346,0.97836,0.97836,0.97836,15,13
159513.SZ,纳斯达克100指数ETF,其他,36.13264,,,,0.32976,0.20412,,0.48986,,0.55674,0.14162,0.38498,0.60967,0.72948,1.48512,1.27247,0.97682,0.97682,0.97682,16,14
159673.SZ,沪深300ETF鹏华,其他,35.67943,,,,0.28028,-0.13748,,0.31470,,0.41009,0.01421,0.01098,0.52053,0.72637,1.32923,0.04191,0.97527,0.97527,0.97527,17,15
159512.SZ,汽车ETF,制造,35.64571,,,,0.53396,0.11051,,0.38720,,0.54204,-0.10124,0.21330,0.21196,0.03673,0.69086,0.38700,0.97372,0.97372,0.97372,18,16
159692.SZ,证券ETF东财,金融,35.60103,,,,0.45295,-0.10074,,0.54194,,0.64467,-0.05731,0.04217,0.39721,0.25248,0.95417,0.12576,0.97218,0.97218,0.97218,19,17
588460.SH,科创50增强ETF,其他,35.41109,,,,0.38546,-0.02205,,0.31342,0.44349,0.66433,-0.00324,0.07183,0.29642,0.13235,0.98885,0.21222,0.97063,0.97063,0.97063,20,18
501225.SH,全球芯片LOF,科技,34.57941,,,,0.44062,0.32364,,0.43241,,0.52578,0.17018,0.45687,0.57404,0.71567,1.13211,0.95880,0.96909,0.96909,0.96909,21,19
561950.SH,500指数增强ETF,其他,34.05411,,,,0.24681,-0.05572,,0.32391,,0.54863,0.00543,0.06793,0.25014,0.17636,1.12439,0.27652,0.96600,0.96600,0.96600,23,20
