ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,liquidity_score_normalized,liquidity_score_component,final_score,stage2_rank,final_rank
588000.SH,科创50ETF,其他,21.80597,,,,0.40464,-0.04731,-0.22664,0.29421,0.49763,0.76753,-0.00094,0.06215,0.36298,0.29709,0.97860,0.18373,1.00000,1.00000,1.00000,1,1
513180.SH,恒生科技指数ETF,科技,18.15439,,,,0.59049,-0.13652,-0.18870,0.43400,0.47623,0.75230,-0.05524,0.04618,0.39832,0.28474,1.07631,0.08455,0.99845,0.99845,0.99845,2,2
159845.SZ,中证1000ETF,其他,25.30873,,,,0.45880,-0.04634,0.10249,0.34531,0.33968,0.75019,-0.04804,0.07248,0.23823,0.02969,0.79079,0.22098,0.99691,0.99691,0.99691,3,3
512480.SH,半导体ETF,科技,21.24844,,,,0.54003,-0.00742,-0.15183,0.40927,0.49438,0.74984,-0.07153,0.12109,0.33196,0.09223,0.82575,0.26476,0.99536,0.99536,0.99536,4,4
588200.SH,科创芯片ETF,科技,22.27399,,,,0.60249,0.01660,-0.01263,0.33897,0.38546,0.74781,-0.09487,0.13768,0.24382,0.00704,0.89785,0.29081,0.99382,0.99382,0.99382,5,5
512880.SH,证券ETF,金融,19.07505,,,,0.46177,-0.09850,0.02026,0.52750,0.53898,0.73756,-0.06151,0.04308,0.43180,0.22893,0.95717,0.12041,0.99073,0.99073,0.99073,7,6
510500.SH,中证500ETF,其他,23.18981,,,,0.25527,-0.08764,-0.18115,0.38689,0.48004,0.73528,-0.02312,0.04380,0.36136,0.21716,1.05020,0.16278,0.98764,0.98764,0.98764,9,7
510050.SH,上证50ETF,其他,20.24806,,,,0.28330,-0.17215,-0.22298,0.34168,0.48642,0.73304,0.00243,-0.01954,0.54160,0.79669,1.17223,-0.07723,0.98454,0.98454,0.98454,11,8
512100.SH,中证1000ETF,其他,24.00001,,,,0.29418,-0.04241,-0.17266,0.33564,0.42831,0.72959,-0.04804,0.07554,0.26352,0.02660,0.95367,0.23375,0.98300,0.98300,0.98300,12,9
159915.SZ,创业板ETF,其他,23.46101,,,,0.35737,-0.11044,-0.35749,0.28438,0.50767,0.72912,-0.01361,0.02541,0.40457,0.42164,1.08068,0.06292,0.98145,0.98145,0.98145,13,10
510300.SH,沪深300ETF,其他,21.04415,,,,0.26588,-0.14722,-0.22937,0.31470,0.46561,0.72307,0.00000,0.00000,0.50320,0.72930,1.06090,0.00000,0.97836,0.97836,0.97836,15,11
512010.SH,医药ETF,医药,22.63881,,,,0.37712,-0.06480,-0.23530,0.39642,0.52808,0.72203,-0.07575,0.05799,0.39485,0.26007,0.99142,0.15518,0.97682,0.97682,0.97682,16,12
513120.SH,港股创新药ETF,其他,20.61956,,,,0.66913,-0.01983,-0.30555,0.36580,0.37771,0.72184,-0.13947,0.08737,0.30733,0.17849,1.00754,0.12509,0.97527,0.97527,0.97527,17,13
513330.SH,恒生互联网ETF,科技,19.01963,,,,0.60235,-0.25801,-0.42014,0.48034,0.51545,0.71724,-0.11139,-0.09188,0.53773,0.61742,1.14323,-0.15884,0.97372,0.97372,0.97372,18,14
512170.SH,医疗ETF,医药,24.95306,,,,0.39356,-0.09496,-0.38603,0.41101,0.52538,0.71708,-0.08489,0.01504,0.43600,0.37162,0.95556,0.03556,0.97063,0.97063,0.97063,20,15
513060.SH,恒生医疗ETF,医药,21.07972,,,,0.54839,-0.05869,-0.41658,0.35786,0.48569,0.71681,-0.12050,0.06134,0.34627,0.19528,0.91110,0.10970,0.96909,0.96909,0.96909,21,16
159605.SZ,中概互联ETF,其他,16.73981,,,,0.62663,-0.03162,-0.16104,0.27153,0.45188,0.71514,-0.02444,0.14674,0.25029,0.02745,0.95660,0.26159,0.96754,0.96754,0.96754,22,17
515080.SH,中证红利ETF,其他,20.65189,,,,0.22423,-0.12802,-0.00570,0.52432,0.37005,0.71317,-0.01566,0.02068,0.53599,0.71359,0.95731,0.11581,0.96291,0.96291,0.96291,25,18
512700.SH,银行ETF南方,金融,22.70889,,,,0.28667,-0.15947,-0.06882,0.44199,0.43035,0.70913,0.00075,-0.00945,0.59079,0.90004,0.94743,-0.04653,0.96136,0.96136,0.96136,26,19
513090.SH,香港证券ETF,金融,20.27973,,,,0.46241,-0.16677,-0.09246,0.43072,0.45047,0.69576,-0.05484,0.00268,0.47028,0.52966,0.94434,0.00674,0.95363,0.95363,0.95363,31,20
