ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,trend_consistency_normalized,trend_consistency_component,final_score,stage2_rank,final_rank
163113.SZ,申万证券LOF,金融,19.69881,,,,0.40159,-0.10262,-0.01535,0.63272,0.52480,0.41416,-0.05050,0.04210,0.46945,0.25085,0.93498,0.13324,1.00000,1.00000,1.00000,1,1
159707.SZ,地产ETF,地产,21.88719,,,,0.48446,-0.37807,-0.58803,0.62463,0.49256,0.63048,-0.12500,-0.23913,0.65759,0.85558,0.98992,-0.51749,0.99845,0.99845,0.99845,2,2
161725.SZ,白酒基金LOF,消费,27.78590,,,,0.43148,-0.24002,-0.33634,0.55704,0.56997,0.60425,-0.07776,-0.07235,0.56844,0.57830,1.15551,-0.18743,0.98918,0.98918,0.98918,8,3
161116.SZ,黄金主题LOF,其他,21.83067,,,,0.24034,-0.00917,0.25474,0.55668,0.56163,0.40019,0.08769,0.16894,0.43111,0.17501,1.68040,0.68449,0.98764,0.98764,0.98764,9,4
159692.SZ,证券ETF东财,金融,35.60103,,,,0.45295,-0.10074,,0.54194,,0.64467,-0.05731,0.04217,0.39721,0.25248,0.95417,0.12576,0.98454,0.98454,0.98454,11,5
515630.SH,保险证券ETF,金融,18.90242,,,,0.44374,-0.16279,-0.02161,0.54178,0.44115,0.58935,-0.04616,-0.00668,0.56270,0.70516,0.99330,-0.02201,0.98300,0.98300,0.98300,12,6
159931.SZ,金融ETF,金融,19.81375,,,,0.33372,-0.18905,-0.14191,0.54163,0.48251,0.45946,-0.03033,-0.03903,0.63768,0.88891,0.73796,-0.17196,0.97991,0.97991,0.97991,14,7
159666.SZ,交通运输ETF,其他,24.77016,,,,0.24641,-0.12380,,0.53733,0.37909,0.60451,-0.04390,0.02573,0.35594,0.15140,0.99005,0.12423,0.97836,0.97836,0.97836,15,8
515890.SH,红利ETF博时,其他,19.97129,,,,0.22804,-0.11596,-0.02645,0.52939,0.35534,0.51067,-0.02559,0.03332,0.45266,0.47324,0.85869,0.19409,0.97527,0.97527,0.97527,17,9
512640.SH,金融地产ETF嘉实,金融,20.63540,,,,0.33014,-0.18867,-0.12711,0.52704,0.38708,0.53710,-0.02655,-0.03893,0.60035,0.88693,0.93076,-0.17757,0.97218,0.97218,0.97218,19,10
516980.SH,证券ETF先锋,金融,20.17789,,,,0.46336,-0.11114,0.02285,0.52606,0.46841,0.42855,-0.06067,0.05762,0.39803,0.19961,0.81737,0.16793,0.97063,0.97063,0.97063,20,11
515080.SH,中证红利ETF,其他,20.65189,,,,0.22423,-0.12802,-0.00570,0.52432,0.37005,0.71317,-0.01566,0.02068,0.53599,0.71359,0.95731,0.11581,0.96754,0.96754,0.96754,22,12
516530.SH,物流快递ETF,其他,21.97021,,,,0.27559,-0.12383,-0.33897,0.52320,0.42662,0.46042,-0.04464,0.02510,0.43710,0.36148,1.17293,0.10884,0.96600,0.96600,0.96600,23,13
159660.SZ,纳指100ETF,其他,34.29998,,,,0.32142,0.27653,,0.52002,,0.55363,0.14313,0.43462,0.65470,0.78939,0.75633,1.43627,0.96445,0.96445,0.96445,24,14
513390.SH,纳指100ETF,其他,36.27913,,,,0.33385,0.25656,,0.51700,,0.57826,0.14300,0.41136,0.64449,0.77198,1.89071,1.35161,0.96291,0.96291,0.96291,25,15
513650.SH,标普500ETF南方,其他,36.33760,,,,0.21990,0.19610,,0.51526,,0.53155,0.11612,0.35798,0.66997,0.82469,0.99611,1.65142,0.96136,0.96136,0.96136,26,16
561320.SH,交运ETF,其他,25.25138,,,,0.25886,-0.12467,-0.32660,0.51336,0.45981,0.63562,-0.03692,0.02317,0.38679,0.18719,1.05900,0.10372,0.95672,0.95672,0.95672,29,17
161127.SZ,标普生物科技LOF,科技,23.44460,,,,0.37882,0.52395,0.36874,0.51224,0.50497,0.48433,0.43267,0.64675,0.59077,0.75509,2.13699,1.35433,0.95518,0.95518,0.95518,30,18
560070.SH,央企红利ETF基金,其他,31.89653,,,,0.25023,-0.15766,,0.50338,,0.58997,-0.03004,-0.01149,0.62665,0.74991,0.66423,-0.05043,0.95209,0.95209,0.95209,32,19
159787.SZ,建材ETF易方达,其他,24.39579,,,,0.40455,-0.28663,-0.45021,0.50133,0.42348,0.50310,-0.06117,-0.14175,0.59661,0.86501,1.11787,-0.34422,0.95054,0.95054,0.95054,33,20
