ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,volume_trend_normalized,volume_trend_component,final_score,stage2_rank,final_rank
161126.SZ,标普医疗保健LOF,医药,22.31909,,,,0.46245,-0.13689,0.08100,0.46370,0.45337,0.44648,-0.06448,-0.10680,0.42598,0.36085,2.80017,-0.17131,1.00000,1.00000,1.00000,1,1
510680.SH,上证50ETF基金,其他,20.77977,,,,0.27589,-0.15660,-0.20232,0.35453,0.42483,0.46549,-0.02926,-0.14185,0.52092,0.78339,2.56032,-0.58112,0.99845,0.99845,0.99845,2,2
159925.SZ,沪深300ETF南方,其他,22.07138,,,,0.25958,-0.14702,-0.20333,0.31946,0.41045,0.47883,-0.02943,-0.13411,0.48709,0.73136,2.20169,-0.55227,0.99691,0.99691,0.99691,3,3
560170.SH,央企科技ETF,科技,41.84658,,,,0.34147,-0.10037,,0.44388,,0.57941,-0.06083,-0.11036,0.40599,0.36810,2.15120,-0.32064,0.99536,0.99536,0.99536,4,4
161127.SZ,标普生物科技LOF,科技,23.44460,,,,0.37882,0.52395,0.36874,0.51224,0.50497,0.48433,0.40525,0.51089,0.59077,0.75509,2.13699,1.06985,0.99382,0.99382,0.99382,5,5
513290.SH,纳指生物科技ETF,科技,16.25971,,,,0.30754,0.20366,0.08381,0.48715,0.46937,0.55867,0.27371,0.19446,0.43456,0.34715,2.11902,0.47111,0.99227,0.99227,0.99227,6,6
164824.SZ,印度基金LOF,其他,25.46628,,,,0.27126,0.19113,0.38015,0.41336,0.47969,0.57063,0.15423,0.20018,0.53122,0.70060,2.04696,0.66687,0.99073,0.99073,0.99073,7,7
513880.SH,日经225ETF,其他,25.37509,,,,0.32544,0.10394,0.44613,0.40128,0.45775,0.50782,0.08892,0.15293,0.53960,0.75976,2.01551,0.42194,0.98918,0.98918,0.98918,8,8
160140.SZ,美国REIT精选LOF,其他,24.12884,,,,0.31704,0.24950,0.20291,0.49652,0.47912,0.45997,0.19434,0.31593,0.56985,0.73390,1.99102,0.81449,0.98764,0.98764,0.98764,9,9
513390.SH,纳指100ETF,其他,36.27913,,,,0.33385,0.25656,,0.51700,,0.57826,0.11557,0.27551,0.64449,0.77198,1.89071,0.90524,0.98609,0.98609,0.98609,10,10
515190.SH,中银证券500ETF,金融,19.45969,,,,0.30909,-0.07111,-0.19491,0.29217,0.48098,0.29099,-0.00357,-0.08379,0.33286,0.22544,1.87868,-0.19311,0.98454,0.98454,0.98454,11,11
513000.SH,日经225ETF易方达,其他,20.79955,,,,0.48166,0.10533,0.47547,0.39621,0.49811,0.54220,0.08053,0.15949,0.55515,0.77114,1.76360,0.43321,0.98300,0.98300,0.98300,12,12
510100.SH,上证50ETF易方达,其他,22.04087,,,,0.34652,-0.19369,-0.07306,0.37675,0.35480,0.60619,-0.02229,-0.17868,0.53086,0.86103,1.69834,-0.68642,0.98145,0.98145,0.98145,13,13
161116.SZ,黄金主题LOF,其他,21.83067,,,,0.24034,-0.00917,0.25474,0.55668,0.56163,0.40019,0.06026,0.03309,0.43111,0.17501,1.68040,0.13408,0.97991,0.97991,0.97991,14,14
516190.SH,文娱传媒ETF,其他,25.30863,,,,0.68155,-0.12610,0.20005,0.36641,0.37489,0.56137,-0.13842,-0.14535,0.25546,0.02508,1.67030,-0.24094,0.97836,0.97836,0.97836,15,15
159672.SZ,主要消费ETF,消费,26.91764,,,,0.33974,-0.15193,,0.43405,,0.55969,-0.05414,-0.12244,0.41092,0.38779,1.66231,-0.35814,0.97682,0.97682,0.97682,16,16
159876.SZ,有色龙头ETF,周期,20.69678,,,,0.38562,-0.11041,-0.24465,0.23062,0.42012,0.49949,0.03081,-0.08984,0.44699,0.69022,1.65610,-0.25911,0.97527,0.97527,0.97527,17,17
513520.SH,日经ETF,其他,21.67082,,,,0.46207,0.16902,0.57263,0.41669,0.49299,0.56489,0.12976,0.22876,0.56979,0.79969,1.63874,0.53377,0.97372,0.97372,0.97372,18,18
159902.SZ,中小100ETF,其他,24.90523,,,,0.30265,-0.12181,-0.33968,0.34992,0.37554,0.50884,-0.03055,-0.12395,0.44311,0.60387,1.60895,-0.39290,0.97218,0.97218,0.97218,19,19
159788.SZ,港股通100ETF,其他,19.57716,,,,0.39144,-0.18056,-0.18766,0.33548,0.37551,0.52330,-0.04869,-0.16792,0.48125,0.73276,1.57322,-0.39683,0.97063,0.97063,0.97063,20,20
