ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,excess_return_20d_normalized,excess_return_20d_component,final_score,stage2_rank,final_rank
161127.SZ,标普生物科技LOF,科技,23.44460,,,,0.37882,0.52395,0.36874,0.51224,0.50497,0.48433,0.40525,0.51089,0.59077,0.75509,2.13699,1.06985,1.00000,1.00000,1.00000,1,1
501312.SH,海外科技LOF,科技,44.66154,,,,0.61169,0.65962,,0.43210,,0.50828,0.28145,0.68803,0.63569,0.83927,1.42555,1.04281,0.99845,0.99845,0.99845,2,2
513290.SH,纳指生物科技ETF,科技,16.25971,,,,0.30754,0.20366,0.08381,0.48715,0.46937,0.55867,0.27371,0.19446,0.43456,0.34715,2.11902,0.47111,0.99691,0.99691,0.99691,3,3
160140.SZ,美国REIT精选LOF,其他,24.12884,,,,0.31704,0.24950,0.20291,0.49652,0.47912,0.45997,0.19434,0.31593,0.56985,0.73390,1.99102,0.81449,0.99536,0.99536,0.99536,4,4
164824.SZ,印度基金LOF,其他,25.46628,,,,0.27126,0.19113,0.38015,0.41336,0.47969,0.57063,0.15423,0.20018,0.53122,0.70060,2.04696,0.66687,0.99382,0.99382,0.99382,5,5
501225.SH,全球芯片LOF,科技,34.57941,,,,0.44062,0.32364,,0.43241,,0.52578,0.14275,0.32102,0.57404,0.71567,1.13211,0.67370,0.99227,0.99227,0.99227,6,6
513520.SH,日经ETF,其他,21.67082,,,,0.46207,0.16902,0.57263,0.41669,0.49299,0.56489,0.12976,0.22876,0.56979,0.79969,1.63874,0.53377,0.99073,0.99073,0.99073,7,7
159632.SZ,纳斯达克ETF,其他,24.53251,,,,0.36799,0.23893,1.26138,0.49621,0.48733,0.63217,0.12092,0.26108,0.57428,0.73930,0.85457,0.85990,0.98918,0.98918,0.98918,8,8
162415.SZ,美国消费LOF,消费,22.91449,,,,0.39186,0.17279,0.71006,0.45402,0.48271,0.47574,0.11983,0.22614,0.55237,0.72036,1.40448,0.63870,0.98764,0.98764,0.98764,9,9
513100.SH,纳指ETF,其他,23.39718,,,,0.34775,0.22938,1.20975,0.46605,0.54909,0.69306,0.11645,0.26146,0.58269,0.73292,1.04762,0.84216,0.98609,0.98609,0.98609,10,10
513390.SH,纳指100ETF,其他,36.27913,,,,0.33385,0.25656,,0.51700,,0.57826,0.11557,0.27551,0.64449,0.77198,1.89071,0.90524,0.98300,0.98300,0.98300,12,11
513300.SH,纳斯达克ETF,其他,24.12386,,,,0.35475,0.23511,1.18285,0.46907,0.51136,0.64236,0.11370,0.26478,0.57368,0.74061,0.99197,0.81997,0.97682,0.97682,0.97682,16,12
159866.SZ,日经ETF,其他,22.92589,,,,0.34261,0.12314,0.43822,0.40082,0.51062,0.55456,0.11344,0.17101,0.55652,0.75813,1.34335,0.43299,0.97372,0.97372,0.97372,18,13
159659.SZ,纳斯达克100ETF,其他,37.18176,,,,0.33397,0.26107,,0.47558,,0.51333,0.09791,0.29177,0.62771,0.77985,1.46772,0.91883,0.97063,0.97063,0.97063,20,14
161125.SZ,标普500LOF,其他,23.77224,,,,0.23477,0.11583,0.52485,0.48684,0.53196,0.49464,0.09716,0.14302,0.56326,0.67099,1.15983,0.72059,0.96909,0.96909,0.96909,21,15
513880.SH,日经225ETF,其他,25.37509,,,,0.32544,0.10394,0.44613,0.40128,0.45775,0.50782,0.08892,0.15293,0.53960,0.75976,2.01551,0.42194,0.96754,0.96754,0.96754,22,16
513650.SH,标普500ETF南方,其他,36.33760,,,,0.21990,0.19610,,0.51526,,0.53155,0.08869,0.22213,0.66997,0.82469,0.99611,1.02471,0.96600,0.96600,0.96600,23,17
159687.SZ,亚太精选ETF,其他,27.19258,,,,0.25068,0.07423,,0.44731,0.42183,0.52954,0.08230,0.10919,0.49593,0.61865,1.25271,0.38897,0.95981,0.95981,0.95981,27,18
513000.SH,日经225ETF易方达,其他,20.79955,,,,0.48166,0.10533,0.47547,0.39621,0.49811,0.54220,0.08053,0.15949,0.55515,0.77114,1.76360,0.43321,0.95827,0.95827,0.95827,28,19
513800.SH,日本东证指数ETF,其他,24.71760,,,,0.28453,0.04004,0.49151,0.42524,0.43938,0.52407,0.07905,0.07038,0.52678,0.71572,1.27418,0.22052,0.95672,0.95672,0.95672,29,20
