ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,momentum_3m_normalized,momentum_3m_component,final_score,stage2_rank,final_rank
501312.SH,海外科技LOF,科技,44.66154,,,,0.61169,0.65962,,0.43210,,0.50828,0.30888,0.82388,0.63569,0.83927,1.42555,1.24871,1.00000,1.00000,1.00000,1,1
161127.SZ,标普生物科技LOF,科技,23.44460,,,,0.37882,0.52395,0.36874,0.51224,0.50497,0.48433,0.43267,0.64675,0.59077,0.75509,2.13699,1.35433,0.99845,0.99845,0.99845,2,2
501225.SH,全球芯片LOF,科技,34.57941,,,,0.44062,0.32364,,0.43241,,0.52578,0.17018,0.45687,0.57404,0.71567,1.13211,0.95880,0.99691,0.99691,0.99691,3,3
161128.SZ,标普信息科技LOF,科技,24.61880,,,,0.50280,0.30516,1.40582,0.39196,0.53137,0.58961,0.09985,0.50040,0.57986,0.81623,1.37491,1.18008,0.99536,0.99536,0.99536,4,4
159660.SZ,纳指100ETF,其他,34.29998,,,,0.32142,0.27653,,0.52002,,0.55363,0.14313,0.43462,0.65470,0.78939,0.75633,1.43627,0.99382,0.99382,0.99382,5,5
159659.SZ,纳斯达克100ETF,其他,37.18176,,,,0.33397,0.26107,,0.47558,,0.51333,0.12533,0.42762,0.62771,0.77985,1.46772,1.34665,0.99073,0.99073,0.99073,7,6
160140.SZ,美国REIT精选LOF,其他,24.12884,,,,0.31704,0.24950,0.20291,0.49652,0.47912,0.45997,0.22177,0.45179,0.56985,0.73390,1.99102,1.16472,0.98609,0.98609,0.98609,10,7
159941.SZ,纳指ETF,其他,22.56470,,,,0.35153,0.23037,1.20873,0.48034,0.53137,0.67659,0.14136,0.39664,0.57890,0.72500,0.95801,1.25491,0.97991,0.97991,0.97991,14,8
513290.SH,纳指生物科技ETF,科技,16.25971,,,,0.30754,0.20366,0.08381,0.48715,0.46937,0.55867,0.30113,0.33031,0.43456,0.34715,2.11902,0.80024,0.97527,0.97527,0.97527,17,9
513650.SH,标普500ETF南方,其他,36.33760,,,,0.21990,0.19610,,0.51526,,0.53155,0.11612,0.35798,0.66997,0.82469,0.99611,1.65142,0.97372,0.97372,0.97372,18,10
164824.SZ,印度基金LOF,其他,25.46628,,,,0.27126,0.19113,0.38015,0.41336,0.47969,0.57063,0.18166,0.33603,0.53122,0.70060,2.04696,1.11945,0.97218,0.97218,0.97218,19,11
513360.SH,教育ETF,其他,18.86271,,,,0.62533,0.18863,0.35273,0.16856,0.44884,0.64573,-0.16312,0.20701,0.31626,0.33136,1.23591,0.37454,0.97063,0.97063,0.97063,20,12
513310.SH,中韩半导体ETF,科技,27.91410,,,,0.42703,0.18414,,0.36006,0.41676,0.62116,0.03722,0.35413,0.40100,0.42617,0.68166,0.80927,0.96909,0.96909,0.96909,21,13
513030.SH,德国ETF,其他,23.26053,,,,0.32099,0.17636,0.52539,0.43876,0.42359,0.60506,0.09632,0.38076,0.57245,0.85500,1.40972,1.31577,0.96754,0.96754,0.96754,22,14
162415.SZ,美国消费LOF,消费,22.91449,,,,0.39186,0.17279,0.71006,0.45402,0.48271,0.47574,0.14725,0.36199,0.55237,0.72036,1.40448,1.02239,0.96600,0.96600,0.96600,23,15
513520.SH,日经ETF,其他,21.67082,,,,0.46207,0.16902,0.57263,0.41669,0.49299,0.56489,0.15719,0.36461,0.56979,0.79969,1.63874,0.85075,0.96445,0.96445,0.96445,24,16
513500.SH,标普500ETF,其他,23.34374,,,,0.26098,0.15743,0.55862,0.47240,0.49711,0.63477,0.11233,0.32337,0.57524,0.75622,1.04635,1.44074,0.96291,0.96291,0.96291,25,17
159655.SZ,标普ETF,其他,24.06482,,,,0.26539,0.15558,0.56377,0.44526,0.39460,0.48732,0.11559,0.31599,0.53306,0.75930,1.54968,1.36444,0.95981,0.95981,0.95981,27,18
159786.SZ,VRETF,其他,21.62413,,,,0.49562,0.14269,0.25928,0.30676,0.39337,0.52231,0.00367,0.24640,0.23489,0.00453,0.95752,0.48922,0.95827,0.95827,0.95827,28,19
562860.SH,生物疫苗ETF,医药,38.09351,,,,0.39764,0.13363,,0.20159,0.42364,0.60778,-0.05106,0.25806,0.23213,0.07118,0.78526,0.59322,0.95672,0.95672,0.95672,29,20
