ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,price_efficiency_normalized,price_efficiency_component,final_score,stage2_rank,final_rank
161725.SZ,白酒基金LOF,消费,27.78590,,,,0.43148,-0.24002,-0.33634,0.55704,0.56997,0.60425,-0.07776,-0.07235,0.56844,0.57830,1.15551,-0.18743,1.00000,1.00000,1.00000,1,1
561800.SH,稀有金属ETF基金,其他,25.20296,,,,0.44084,-0.06533,-0.48421,0.25602,0.56896,0.45764,0.08005,0.08040,0.43368,0.47606,1.31190,0.16625,0.99833,0.99833,0.99833,2,2
159857.SZ,光伏ETF,新能源,22.31737,,,,0.55062,-0.17616,-0.56145,0.28838,0.56465,0.62767,0.08904,-0.09363,0.52876,0.73325,1.17062,-0.15205,0.99666,0.99666,0.99666,3,3
161116.SZ,黄金主题LOF,其他,21.83067,,,,0.24034,-0.00917,0.25474,0.55668,0.56163,0.40019,0.08769,0.16894,0.43111,0.17501,1.68040,0.68449,0.99499,0.99499,0.99499,4,4
164701.SZ,黄金LOF,其他,21.87947,,,,0.23224,0.11323,0.31445,0.47430,0.55785,0.45511,0.06161,0.28381,0.57141,0.68210,1.00459,1.19622,0.99165,0.99165,0.99165,6,5
159828.SZ,医疗ETF,医药,22.82153,,,,0.39419,-0.11007,-0.39311,0.43799,0.55604,0.67517,-0.09977,0.00528,0.46516,0.40146,0.93332,0.01215,0.98998,0.98998,0.98998,7,6
513100.SH,纳指ETF,其他,23.39718,,,,0.34775,0.22938,1.20975,0.46605,0.54909,0.69306,0.14388,0.39731,0.58269,0.73292,1.04762,1.27973,0.98497,0.98497,0.98497,10,7
516270.SH,新能源50ETF,新能源,26.77866,,,,0.46604,-0.20731,-0.60589,0.39995,0.54808,0.59813,0.07499,-0.08884,0.57532,0.77792,1.20516,-0.16612,0.98331,0.98331,0.98331,11,8
160723.SZ,嘉实原油LOF,其他,22.93991,,,,0.55065,-0.07151,0.19830,0.43559,0.54494,0.55185,-0.03717,-0.00896,0.36704,0.12059,0.46770,-0.00978,0.98164,0.98164,0.98164,12,9
516160.SH,新能源ETF,新能源,26.09554,,,,0.47852,-0.17935,-0.58892,0.33313,0.54260,0.63739,0.07895,-0.05940,0.53864,0.74020,1.01474,-0.10531,0.97997,0.97997,0.97997,13,10
515560.SH,证券ETF建信,金融,19.55554,,,,0.42978,-0.10318,0.02226,0.57194,0.54219,0.54870,-0.05899,0.04309,0.45044,0.23719,0.89777,0.13385,0.97663,0.97663,0.97663,15,11
159891.SZ,医疗ETF基金,医药,23.61329,,,,0.30484,-0.05686,-0.33869,0.37025,0.54148,0.48054,-0.04731,0.08629,0.30725,0.01001,0.77441,0.26420,0.97496,0.97496,0.97496,16,12
159752.SZ,新能源龙头ETF,新能源,24.52090,,,,0.47519,-0.21844,-0.60757,0.33328,0.53922,0.57262,0.06971,-0.08541,0.54979,0.77686,1.09566,-0.16058,0.97329,0.97329,0.97329,17,13
161028.SZ,新能源车LOF,新能源,26.44457,,,,0.37765,-0.16664,-0.53011,0.38597,0.53588,0.47795,0.03005,-0.01259,0.53795,0.69200,0.94357,-0.03036,0.96995,0.96995,0.96995,19,14
510880.SH,红利ETF,其他,19.36201,,,,0.22688,-0.10893,0.03426,0.49017,0.53521,0.68258,-0.01931,0.04321,0.48717,0.43614,1.10368,0.24932,0.96828,0.96828,0.96828,20,15
512670.SH,国防ETF,军工,22.89793,,,,0.39775,-0.11058,-0.38430,0.29677,0.53341,0.63075,-0.01432,0.01808,0.34728,0.21166,1.16763,0.04445,0.96661,0.96661,0.96661,21,16
510370.SH,300指数ETF,其他,23.51582,,,,0.29736,-0.14249,-0.19685,0.34485,0.53306,0.45200,0.00132,-0.00239,0.53420,0.72468,0.94634,-0.00989,0.96494,0.96494,0.96494,22,17
512800.SH,银行ETF,金融,21.44403,,,,0.29241,-0.15716,-0.06567,0.44992,0.53275,0.68281,0.00479,-0.00474,0.62734,0.89936,0.88409,-0.02287,0.96327,0.96327,0.96327,23,18
161125.SZ,标普500LOF,其他,23.77224,,,,0.23477,0.11583,0.52485,0.48684,0.53196,0.49464,0.12459,0.27887,0.56326,0.67099,1.15983,1.40505,0.95993,0.95993,0.95993,25,19
161128.SZ,标普信息科技LOF,科技,24.61880,,,,0.50280,0.30516,1.40582,0.39196,0.53137,0.58961,0.09985,0.50040,0.57986,0.81623,1.37491,1.18008,0.95826,0.95826,0.95826,26,20
