ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,adx_mean_normalized,trend_consistency_normalized,price_efficiency_normalized,liquidity_score_normalized,momentum_3m_normalized,momentum_12m_normalized,primary_score,secondary_score,final_score,stage2_rank,final_rank
159865.SZ,养殖ETF,其他,42.32159,,,,0.45269,0.33182,,0.51111,0.48214,0.66244,0.15640,0.20490,0.42255,0.27441,0.90205,0.42473,1.00000,0.97222,0.66667,0.69444,0.98611,,1.00000,0.49306,1.00000,1,1
562880.SH,电池ETF嘉实,新能源,40.78941,,,,0.74269,0.03687,,0.39529,,0.60155,-0.21990,0.02501,0.21693,0.03858,1.25100,0.04097,0.98611,0.54167,,0.29167,0.48611,,0.98611,0.24306,0.98611,2,2
588180.SH,科创50ETF基金,其他,40.47942,,,,0.43059,0.03915,,0.24680,,0.58287,-0.08382,0.02045,0.13959,0.03238,0.94095,0.05628,0.97222,0.16667,,0.18056,0.50000,,0.97222,0.25000,0.97222,3,3
159745.SZ,建材ETF,其他,40.13312,,,,0.55658,0.09228,,0.46810,,0.65650,0.15691,0.08091,0.32679,0.18549,1.15277,0.15654,0.95833,0.86111,,0.63889,0.79167,,0.95833,0.39583,0.95833,4,4
588300.SH,双创ETF,其他,40.13212,,,,0.45441,-0.04095,,0.40241,,0.69437,-0.09378,-0.05188,0.20123,0.00005,0.92107,-0.16539,0.94444,0.56944,,0.86111,0.34722,,0.94444,0.17361,0.94444,5,5
159845.SZ,中证1000ETF,其他,40.12782,,,,0.35601,0.16851,,0.51700,,0.65987,-0.00000,0.17757,0.63299,0.74899,1.04931,0.54268,0.93056,0.98611,,0.68056,0.91667,,0.93056,0.45833,0.93056,6,6
159766.SZ,旅游ETF,其他,38.90912,,,,0.52214,0.14340,,0.42099,,0.58514,0.16315,0.06044,0.28284,0.14468,1.39687,0.12629,0.90278,0.63889,,0.19444,0.86111,,0.90278,0.43056,0.90278,8,7
588060.SH,科创50ETF龙头,其他,38.08969,,,,0.39344,0.04114,,0.21188,,0.54104,-0.07726,0.02946,0.12228,0.03267,0.76023,0.08001,0.86111,0.12500,,0.11111,0.51389,,0.86111,0.25694,0.86111,11,8
159740.SZ,恒生科技ETF,科技,37.92245,,,,0.60142,-0.19897,,0.40655,,0.62046,-0.09310,-0.18441,0.57359,0.74062,1.23443,-0.36074,0.84722,0.59722,,0.38889,0.09722,,0.84722,0.04861,0.84722,12,9
159747.SZ,香港科技ETF,科技,37.80691,,,,0.62817,-0.28141,,0.43354,,0.59773,-0.15482,-0.25883,0.60864,0.78374,1.09103,-0.53206,0.83333,0.75000,,0.23611,0.02778,,0.83333,0.01389,0.83333,13,10
159880.SZ,有色ETF基金,周期,37.49956,,,,0.72313,-0.07944,,0.33625,,0.59897,-0.11825,-0.03653,0.19473,0.05321,0.98297,-0.07142,0.81944,0.44444,,0.25000,0.22222,,0.81944,0.11111,0.81944,14,11
159755.SZ,电池ETF,新能源,35.85667,,,,0.83206,0.03577,,0.34275,,0.67394,-0.23815,0.04080,0.17797,0.01319,1.07691,0.06113,0.80556,0.45833,,0.72222,0.47222,,0.80556,0.23611,0.80556,15,12
159735.SZ,港股消费ETF,消费,35.58546,,,,0.45924,-0.12831,,0.45781,,0.56282,-0.08843,-0.09705,0.52060,0.58339,0.89117,-0.25691,0.79167,0.83333,,0.16667,0.16667,,0.79167,0.08333,0.79167,16,13
159870.SZ,化工ETF,周期,34.76997,,,,0.53294,-0.12923,,0.32785,0.51674,0.64051,-0.03299,-0.08213,0.40333,0.36539,1.03965,-0.21896,0.76389,0.40278,0.91111,0.52778,0.15278,,0.76389,0.07639,0.76389,18,14
159842.SZ,券商ETF,金融,34.37030,,,,0.46694,0.00540,,0.42432,,0.60545,0.07566,0.01999,0.40975,0.39519,0.98901,0.06011,0.75000,0.68056,,0.31944,0.40278,,0.75000,0.20139,0.75000,19,15
159851.SZ,金融科技ETF,科技,34.19955,,,,0.48696,0.15426,,0.41813,,0.55741,0.08485,0.15628,0.57363,0.72914,1.60279,0.37078,0.73611,0.62500,,0.15278,0.88889,,0.73611,0.44444,0.73611,20,16
159876.SZ,有色龙头ETF,周期,33.32624,,,,0.71759,-0.05645,,0.24409,,0.60251,-0.12295,-0.00733,0.12438,0.00467,0.75924,-0.01383,0.72222,0.15278,,0.30556,0.26389,,0.72222,0.13194,0.72222,21,17
159859.SZ,生物医药ETF,医药,32.73971,,,,0.60657,-0.22568,,0.42463,,0.64754,-0.11760,-0.19667,0.35875,0.29288,1.04754,-0.41530,0.69444,0.70833,,0.56944,0.05556,,0.69444,0.02778,0.69444,23,18
159928.SZ,消费ETF,消费,32.27413,,,,0.93904,0.17199,-0.76276,0.33308,0.29491,0.68391,0.01003,0.08838,0.40497,0.58692,1.03892,0.20497,0.66667,0.43056,0.04444,0.79167,0.93056,0.02703,0.66667,0.47879,0.66667,25,19
159869.SZ,游戏ETF,其他,30.98797,,,,0.56635,0.55476,,0.49206,0.43247,0.64162,0.24304,0.49023,0.53609,0.68372,1.30432,0.81202,0.62500,0.94444,0.31111,0.54167,1.00000,,0.62500,0.50000,0.62500,28,20
