ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,adx_mean_normalized,trend_consistency_normalized,price_efficiency_normalized,liquidity_score_normalized,momentum_3m_normalized,momentum_12m_normalized,primary_score,secondary_score,final_score,stage2_rank,final_rank
159949.SZ,创业板50ETF,其他,25.30801,,,,0.61558,0.06003,0.59396,0.31659,0.50277,0.73630,-0.11147,0.03654,0.32485,0.15520,0.84559,0.09488,0.41667,0.34722,0.86667,1.00000,0.58333,0.83784,0.73630,0.71059,0.73630,1,1
159920.SZ,恒生ETF,其他,20.92163,,,,0.35795,-0.12000,-0.23972,0.40579,0.42106,0.72057,-0.02747,-0.12543,0.55375,0.83441,1.17584,-0.38307,0.09722,0.58333,0.24444,0.94444,0.18056,0.13514,0.72057,0.15785,0.72057,5,2
588000.SH,科创50ETF,其他,26.01876,,,,0.48078,0.06499,0.07107,0.18618,0.52391,0.70223,-0.06172,0.05001,0.26383,0.08141,0.84372,0.13999,0.47222,0.09722,0.95556,0.91667,0.62500,0.45946,0.70223,0.54223,0.70223,7,3
159995.SZ,芯片ETF,科技,23.32862,,,,0.68803,0.09188,0.87161,0.18618,0.50319,0.69796,-0.09255,0.14114,0.33151,0.30516,0.72057,0.28852,0.23611,0.09722,0.88889,0.90278,0.77778,0.97297,0.69796,0.87538,0.69796,8,4
159807.SZ,科技ETF,科技,28.20495,,,,0.70629,0.14153,-0.41816,0.28408,0.32032,0.69618,-0.01702,0.09777,0.39596,0.58348,0.96809,0.31172,0.56944,0.30556,0.06667,0.87500,0.84722,0.08108,0.69618,0.46415,0.69618,10,5
159967.SZ,创业板成长ETF,其他,23.43364,,,,0.68949,0.08018,0.75266,0.32340,0.46338,0.69142,-0.14776,0.05788,0.28406,0.06539,0.78768,0.11842,0.25000,0.37500,0.48889,0.84722,0.76389,0.89189,0.69142,0.82789,0.69142,12,6
159992.SZ,创新药ETF,其他,19.26249,,,,0.57939,-0.17761,-0.16194,0.39037,0.47499,0.69115,-0.07934,-0.15827,0.38000,0.27462,1.05478,-0.37420,0.05556,0.52778,0.60000,0.83333,0.12500,0.24324,0.69115,0.18412,0.69115,13,7
159857.SZ,光伏ETF,新能源,30.86137,,,,0.75045,0.05103,,0.31976,0.48461,0.68772,-0.01665,0.08831,0.31466,0.13959,0.84900,0.14418,0.61111,0.36111,0.68889,0.81944,0.55556,,0.68772,0.27778,0.68772,14,8
159928.SZ,消费ETF,消费,32.27413,,,,0.93904,0.17199,-0.76276,0.33308,0.29491,0.68391,0.01003,0.08838,0.40497,0.58692,1.03892,0.20497,0.66667,0.43056,0.04444,0.79167,0.93056,0.02703,0.68391,0.47879,0.68391,16,9
159919.SZ,沪深300ETF,其他,19.10864,,,,0.35919,0.02518,-0.00587,0.34880,0.43888,0.68326,0.01599,0.00243,0.29656,0.10199,1.32975,0.01016,0.04167,0.47222,0.35556,0.77778,0.44444,0.29730,0.68326,0.37087,0.68326,17,10
159755.SZ,电池ETF,新能源,35.85667,,,,0.83206,0.03577,,0.34275,,0.67394,-0.23815,0.04080,0.17797,0.01319,1.07691,0.06113,0.80556,0.45833,,0.72222,0.47222,,0.67394,0.23611,0.67394,21,11
159825.SZ,农业ETF,其他,26.71872,,,,0.44998,0.16274,,0.45668,0.46441,0.66831,0.06374,0.08338,0.34667,0.11892,0.98363,0.23198,0.50000,0.81944,0.51111,0.70833,0.90278,,0.66831,0.45139,0.66831,22,12
