ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,price_efficiency_normalized,price_efficiency_component,final_score,stage2_rank,final_rank
159993.SZ,证券ETF龙头,金融,21.16303,,,,0.50707,0.00480,0.11223,0.41813,0.55634,0.62458,0.08112,0.01940,0.45137,0.37963,1.12631,0.05541,1.00000,1.00000,1.00000,1,1
162411.SZ,华宝油气LOF,其他,21.70093,,,,0.75245,-0.06165,1.50785,0.37322,0.55491,0.60627,-0.00857,-0.13189,0.54461,0.70572,0.68765,-0.21111,0.99123,0.99123,0.99123,2,2
160140.SZ,美国REIT精选LOF,其他,21.90681,,,,0.28529,0.27365,0.84870,0.52698,0.54238,0.45460,0.14571,0.23709,0.56929,0.63850,1.03588,0.94389,0.98246,0.98246,0.98246,3,3
588000.SH,科创50ETF,其他,26.01876,,,,0.48078,0.06499,0.07107,0.18618,0.52391,0.70223,-0.06172,0.05001,0.26383,0.08141,0.84372,0.13999,0.97368,0.97368,0.97368,4,4
159870.SZ,化工ETF,周期,34.76997,,,,0.53294,-0.12923,,0.32785,0.51674,0.64051,-0.03299,-0.08213,0.40333,0.36539,1.03965,-0.21896,0.95614,0.95614,0.95614,6,5
161815.SZ,抗通胀LOF,其他,22.38106,,,,0.37061,0.02822,0.78806,0.21490,0.51020,0.43538,0.13282,-0.04343,0.44650,0.61440,0.77289,-0.11261,0.94737,0.94737,0.94737,7,6
162719.SZ,石油LOF,周期,20.67802,,,,0.70283,0.06761,1.71630,0.27629,0.50836,0.50298,0.01749,-0.03664,0.48247,0.66276,0.54130,-0.06415,0.93860,0.93860,0.93860,8,7
159903.SZ,深成ETF,其他,19.20818,,,,0.36253,0.07248,0.19768,0.30896,0.50678,0.48704,-0.00349,0.05965,0.47523,0.60994,0.96295,0.25823,0.92982,0.92982,0.92982,9,8
159801.SZ,芯片ETF龙头,科技,23.23077,,,,0.67399,0.09101,0.88887,0.15904,0.50601,0.63153,-0.09515,0.14200,0.32555,0.31160,0.76131,0.28825,0.92105,0.92105,0.92105,10,9
159968.SZ,中证500ETF博时,其他,21.59150,,,,0.29173,0.05992,0.54856,0.49985,0.50397,0.59329,0.01733,0.09137,0.60542,0.81244,0.91611,0.41317,0.91228,0.91228,0.91228,11,10
161125.SZ,标普500LOF,其他,21.81959,,,,0.23705,0.13168,0.57753,0.52826,0.50281,0.47195,0.08704,0.13810,0.48141,0.41316,0.86365,0.62183,0.89474,0.89474,0.89474,13,11
159949.SZ,创业板50ETF,其他,25.30801,,,,0.61558,0.06003,0.59396,0.31659,0.50277,0.73630,-0.11147,0.03654,0.32485,0.15520,0.84559,0.09488,0.88596,0.88596,0.88596,14,12
159839.SZ,生物药ETF,医药,29.93373,,,,0.62943,-0.23413,,0.45622,0.49712,0.62163,-0.12249,-0.20063,0.42587,0.32428,1.13039,-0.41648,0.87719,0.87719,0.87719,15,13
159945.SZ,能源ETF广发,其他,21.13697,,,,0.66919,-0.30668,0.74105,0.20348,0.49701,0.54091,-0.01437,-0.23761,0.28452,0.15307,0.59749,-0.31826,0.86842,0.86842,0.86842,16,14
159855.SZ,影视ETF,其他,32.90810,,,,0.47987,0.58291,,0.48571,0.49641,0.57867,0.44360,0.56529,0.60787,0.84148,1.25062,0.99061,0.85965,0.85965,0.85965,17,15
161028.SZ,新能源车LOF,新能源,33.46621,,,,0.76896,-0.00681,,0.45622,0.49629,0.56157,-0.20650,-0.01087,0.33575,0.05474,0.84879,-0.02291,0.85088,0.85088,0.85088,18,16
159852.SZ,软件ETF,科技,26.01137,,,,0.45233,0.09790,,0.32898,0.49493,0.63330,0.02273,0.05426,0.37620,0.30468,0.88553,0.15813,0.84211,0.84211,0.84211,19,17
163113.SZ,申万证券LOF,金融,35.36544,,,,0.42974,0.00604,,0.43226,0.49385,0.45387,0.07178,0.02034,0.42843,0.35918,1.20693,0.06055,0.83333,0.83333,0.83333,20,18
160723.SZ,嘉实原油LOF,其他,23.27088,,,,0.53236,0.01174,1.41819,0.20333,0.49344,0.48930,0.17285,-0.05218,0.45381,0.66465,0.75419,-0.09746,0.82456,0.82456,0.82456,21,19
160216.SZ,国泰商品LOF,其他,23.26898,,,,0.55713,-0.00605,1.40837,0.21664,0.49224,0.51288,0.19470,-0.07458,0.47125,0.70486,1.36577,-0.12309,0.81579,0.81579,0.81579,22,20
