ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,trend_consistency_normalized,trend_consistency_component,final_score,stage2_rank,final_rank
159887.SZ,银行ETF,金融,27.07506,,,,0.33298,-0.00860,,0.56779,,0.63608,-0.01709,-0.03375,0.50009,0.43239,1.20406,-0.13382,1.00000,1.00000,1.00000,1,1
161125.SZ,标普500LOF,其他,21.81959,,,,0.23705,0.13168,0.57753,0.52826,0.50281,0.47195,0.08704,0.13810,0.48141,0.41316,0.86365,0.62183,0.99394,0.99394,0.99394,2,2
160140.SZ,美国REIT精选LOF,其他,21.90681,,,,0.28529,0.27365,0.84870,0.52698,0.54238,0.45460,0.14571,0.23709,0.56929,0.63850,1.03588,0.94389,0.98788,0.98788,0.98788,3,3
159845.SZ,中证1000ETF,其他,40.12782,,,,0.35601,0.16851,,0.51700,,0.65987,-0.00000,0.17757,0.63299,0.74899,1.04931,0.54268,0.98182,0.98182,0.98182,4,4
159847.SZ,医疗ETF易方达,医药,30.22252,,,,0.61988,-0.23104,,0.51623,,0.61825,-0.05633,-0.22742,0.59507,0.67390,0.97791,-0.50769,0.97576,0.97576,0.97576,5,5
160717.SZ,H股LOF,其他,23.96973,,,,0.46090,-0.14078,-0.40120,0.51608,0.48037,0.47904,-0.05358,-0.15371,0.60136,0.80762,1.11864,-0.52491,0.96970,0.96970,0.96970,6,6
161124.SZ,港股小盘LOF,其他,19.85381,,,,0.59645,-0.15248,0.14511,0.51162,0.35290,0.30397,-0.03236,-0.17654,0.43630,0.44436,2.44020,-0.25899,0.96364,0.96364,0.96364,7,7
159865.SZ,养殖ETF,其他,42.32159,,,,0.45269,0.33182,,0.51111,0.48214,0.66244,0.15640,0.20490,0.42255,0.27441,0.90205,0.42473,0.95758,0.95758,0.95758,8,8
159960.SZ,恒生中国企业ETF,其他,21.26072,,,,0.37321,-0.20483,-0.35082,0.50876,0.45656,0.50920,-0.04367,-0.20839,0.61444,0.87799,1.27934,-0.59559,0.95152,0.95152,0.95152,9,9
159819.SZ,人工智能ETF,科技,23.58502,,,,0.41636,0.21998,0.17648,0.50159,0.47717,0.63809,0.03197,0.19921,0.59099,0.79420,0.96616,0.59242,0.94545,0.94545,0.94545,10,10
159982.SZ,中证500ETF鹏华,其他,23.21620,,,,0.30167,0.06336,0.61913,0.50000,0.49017,0.65279,0.02416,0.08986,0.60208,0.81607,0.89904,0.42141,0.93939,0.93939,0.93939,11,11
159968.SZ,中证500ETF博时,其他,21.59150,,,,0.29173,0.05992,0.54856,0.49985,0.50397,0.59329,0.01733,0.09137,0.60542,0.81244,0.91611,0.41317,0.93333,0.93333,0.93333,12,12
159850.SZ,恒生国企ETF,其他,25.81458,,,,0.39649,-0.14570,,0.49370,0.48934,0.61856,-0.04897,-0.13897,0.59725,0.80870,1.08894,-0.39775,0.92727,0.92727,0.92727,13,13
159805.SZ,传媒ETF,其他,20.24254,,,,0.46124,0.50277,0.13516,0.49206,0.47339,0.62122,0.33633,0.46524,0.59100,0.80755,1.29111,0.87914,0.92121,0.92121,0.92121,14,14
159869.SZ,游戏ETF,其他,30.98797,,,,0.56635,0.55476,,0.49206,0.43247,0.64162,0.24304,0.49023,0.53609,0.68372,1.30432,0.81202,0.92121,0.92121,0.92121,15,15
159867.SZ,畜牧ETF,其他,41.27977,,,,0.44165,0.31846,,0.48730,0.47173,0.61764,0.15674,0.20318,0.41990,0.30066,0.96837,0.44157,0.90909,0.90909,0.90909,16,16
159855.SZ,影视ETF,其他,32.90810,,,,0.47987,0.58291,,0.48571,0.49641,0.57867,0.44360,0.56529,0.60787,0.84148,1.25062,0.99061,0.90303,0.90303,0.90303,17,17
159994.SZ,5GETF,科技,25.29488,,,,0.48901,0.31477,0.15428,0.48080,0.48833,0.61110,0.08594,0.30040,0.61237,0.86798,0.93264,0.68462,0.89697,0.89697,0.89697,18,18
159725.SZ,线上消费ETF,消费,33.06915,,,,0.43447,0.26726,,0.47937,,0.49242,0.21855,0.21025,0.60256,0.72575,0.89032,0.50062,0.89091,0.89091,0.89091,19,19
161128.SZ,标普信息科技LOF,科技,24.03502,,,,0.31596,0.24807,0.76166,0.47906,0.45581,0.54746,0.09935,0.29765,0.59382,0.84658,0.88971,0.93349,0.88485,0.88485,0.88485,20,20
