ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,volume_trend_normalized,volume_trend_component,final_score,stage2_rank,final_rank
161124.SZ,港股小盘LOF,其他,19.85381,,,,0.59645,-0.15248,0.14511,0.51162,0.35290,0.30397,-0.03236,-0.17654,0.43630,0.44436,2.44020,-0.25899,1.00000,1.00000,1.00000,1,1
159974.SZ,央企创新ETF,其他,23.93358,,,,0.37440,-0.01663,0.91779,0.41813,0.35727,0.45039,0.01132,0.04948,0.44967,0.57362,2.23528,0.14833,0.99394,0.99394,0.99394,2,2
161127.SZ,标普生物科技LOF,科技,21.98840,,,,0.49657,-0.24942,-0.39147,0.43006,0.46372,0.51746,-0.02094,-0.20424,0.52478,0.68056,1.80045,-0.51277,0.98788,0.98788,0.98788,3,3
159959.SZ,央企ETF,其他,19.84887,,,,0.34072,0.03383,0.58695,0.45525,0.42009,0.43846,0.03383,0.06940,0.52279,0.69303,1.74308,0.27432,0.98182,0.98182,0.98182,4,4
161126.SZ,标普医疗保健LOF,医药,25.33779,,,,0.29311,0.06003,0.45217,0.45699,0.47768,0.38567,0.16909,0.11126,0.35654,0.13496,1.65216,0.33480,0.97576,0.97576,0.97576,5,5
160125.SZ,南方香港LOF,其他,25.51037,,,,0.43229,-0.25649,-0.18779,0.44624,0.45280,0.39016,-0.16493,-0.22964,0.55516,0.76644,1.63132,-0.57455,0.96970,0.96970,0.96970,6,6
561900.SH,沪深300ESGETF,其他,29.19701,,,,0.31914,0.03183,,0.30026,,0.48224,0.01892,0.00416,0.16202,0.02377,1.61728,0.01668,0.96364,0.96364,0.96364,7,7
159851.SZ,金融科技ETF,科技,34.19955,,,,0.48696,0.15426,,0.41813,,0.55741,0.08485,0.15628,0.57363,0.72914,1.60279,0.37078,0.95758,0.95758,0.95758,8,8
161116.SZ,黄金主题LOF,其他,24.13388,,,,0.27397,0.05804,-0.22387,0.21444,0.48680,0.46201,0.02703,0.06675,0.26949,0.10724,1.56589,0.27547,0.95152,0.95152,0.95152,9,9
159899.SZ,软件龙头ETF,科技,27.66754,,,,0.40209,0.13864,,0.43144,,0.52294,0.05203,0.09522,0.57826,0.72509,1.55699,0.28056,0.94545,0.94545,0.94545,10,10
159808.SZ,创100ETF融通,其他,23.77266,,,,0.54032,0.07449,0.44046,0.22488,0.44662,0.53468,-0.07987,0.05511,0.30445,0.24184,1.52012,0.16213,0.93939,0.93939,0.93939,11,11
164906.SZ,中概互联网LOF,科技,28.18301,,,,0.60917,-0.33505,-0.70613,0.45893,0.38369,0.63979,-0.16263,-0.34016,0.56183,0.84288,1.48157,-0.62877,0.93333,0.93333,0.93333,12,12
159940.SZ,金融地产ETF,金融,19.05999,,,,0.35435,0.00384,-0.12309,0.23538,0.40368,0.43967,0.02334,-0.02070,0.21358,0.00168,1.47333,-0.07878,0.92727,0.92727,0.92727,13,13
159936.SZ,可选消费ETF,消费,14.96240,,,,0.36536,0.10815,0.08065,0.41275,0.44646,0.39439,0.02032,0.08290,0.41977,0.40010,1.43215,0.29931,0.92121,0.92121,0.92121,14,14
159961.SZ,深100ETF方正富邦,其他,19.63733,,,,0.46947,0.06880,0.15033,0.24757,0.43104,0.37970,-0.01211,0.03309,0.34167,0.34641,1.42656,0.11071,0.91515,0.91515,0.91515,15,15
159905.SZ,深红利ETF,其他,21.49951,,,,0.46426,0.04847,-0.18264,0.29421,0.42820,0.58901,0.04669,-0.00500,0.27453,0.10117,1.40623,-0.01406,0.90909,0.90909,0.90909,16,16
159766.SZ,旅游ETF,其他,38.90912,,,,0.52214,0.14340,,0.42099,,0.58514,0.16315,0.06044,0.28284,0.14468,1.39687,0.12629,0.90303,0.90303,0.90303,17,17
159971.SZ,创业板ETF富国,其他,21.62769,,,,0.54195,0.06184,0.38855,0.26866,0.39599,0.42581,-0.08389,0.04538,0.29530,0.22126,1.39467,0.13010,0.89697,0.89697,0.89697,18,18
160216.SZ,国泰商品LOF,其他,23.26898,,,,0.55713,-0.00605,1.40837,0.21664,0.49224,0.51288,0.19470,-0.07458,0.47125,0.70486,1.36577,-0.12309,0.89091,0.89091,0.89091,19,19
159939.SZ,信息技术ETF,其他,22.49046,,,,0.44403,0.19065,0.24730,0.40686,0.41412,0.49212,0.01463,0.17709,0.51646,0.72840,1.36547,0.47147,0.88485,0.88485,0.88485,20,20
