ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,trend_quality_normalized,trend_quality_component,final_score,stage2_rank,final_rank
159888.SZ,智能车ETF,其他,35.89693,,,,0.45339,0.54802,,0.47081,,0.59139,0.02123,0.49755,0.66431,0.85780,0.68078,1.19460,1.00000,1.00000,1.00000,1,1
159845.SZ,中证1000ETF,其他,40.12782,,,,0.35601,0.16851,,0.51700,,0.65987,-0.00000,0.17757,0.63299,0.74899,1.04931,0.54268,0.99394,0.99394,0.99394,2,2
159960.SZ,恒生中国企业ETF,其他,21.26072,,,,0.37321,-0.20483,-0.35082,0.50876,0.45656,0.50920,-0.04367,-0.20839,0.61444,0.87799,1.27934,-0.59559,0.98788,0.98788,0.98788,3,3
159994.SZ,5GETF,科技,25.29488,,,,0.48901,0.31477,0.15428,0.48080,0.48833,0.61110,0.08594,0.30040,0.61237,0.86798,0.93264,0.68462,0.98182,0.98182,0.98182,4,4
159747.SZ,香港科技ETF,科技,37.80691,,,,0.62817,-0.28141,,0.43354,,0.59773,-0.15482,-0.25883,0.60864,0.78374,1.09103,-0.53206,0.97576,0.97576,0.97576,5,5
159855.SZ,影视ETF,其他,32.90810,,,,0.47987,0.58291,,0.48571,0.49641,0.57867,0.44360,0.56529,0.60787,0.84148,1.25062,0.99061,0.96970,0.96970,0.96970,6,6
159968.SZ,中证500ETF博时,其他,21.59150,,,,0.29173,0.05992,0.54856,0.49985,0.50397,0.59329,0.01733,0.09137,0.60542,0.81244,0.91611,0.41317,0.96364,0.96364,0.96364,7,7
159811.SZ,5G50ETF,科技,24.93509,,,,0.47228,0.33475,0.26265,0.45622,0.47679,0.57872,0.06082,0.32511,0.60504,0.88210,0.75072,0.83052,0.95758,0.95758,0.95758,8,8
159725.SZ,线上消费ETF,消费,33.06915,,,,0.43447,0.26726,,0.47937,,0.49242,0.21855,0.21025,0.60256,0.72575,0.89032,0.50062,0.95152,0.95152,0.95152,9,9
159982.SZ,中证500ETF鹏华,其他,23.21620,,,,0.30167,0.06336,0.61913,0.50000,0.49017,0.65279,0.02416,0.08986,0.60208,0.81607,0.89904,0.42141,0.94545,0.94545,0.94545,10,10
160717.SZ,H股LOF,其他,23.96973,,,,0.46090,-0.14078,-0.40120,0.51608,0.48037,0.47904,-0.05358,-0.15371,0.60136,0.80762,1.11864,-0.52491,0.93939,0.93939,0.93939,11,11
159850.SZ,恒生国企ETF,其他,25.81458,,,,0.39649,-0.14570,,0.49370,0.48934,0.61856,-0.04897,-0.13897,0.59725,0.80870,1.08894,-0.39775,0.93333,0.93333,0.93333,12,12
159847.SZ,医疗ETF易方达,医药,30.22252,,,,0.61988,-0.23104,,0.51623,,0.61825,-0.05633,-0.22742,0.59507,0.67390,0.97791,-0.50769,0.92727,0.92727,0.92727,13,13
161128.SZ,标普信息科技LOF,科技,24.03502,,,,0.31596,0.24807,0.76166,0.47906,0.45581,0.54746,0.09935,0.29765,0.59382,0.84658,0.88971,0.93349,0.92121,0.92121,0.92121,14,14
159805.SZ,传媒ETF,其他,20.24254,,,,0.46124,0.50277,0.13516,0.49206,0.47339,0.62122,0.33633,0.46524,0.59100,0.80755,1.29111,0.87914,0.91515,0.91515,0.91515,15,15
159819.SZ,人工智能ETF,科技,23.58502,,,,0.41636,0.21998,0.17648,0.50159,0.47717,0.63809,0.03197,0.19921,0.59099,0.79420,0.96616,0.59242,0.90909,0.90909,0.90909,16,16
159741.SZ,恒生科技ETF嘉实,科技,35.20598,,,,0.59955,-0.20066,,0.43195,,0.60675,-0.08896,-0.18812,0.59015,0.74835,1.08158,-0.36964,0.90303,0.90303,0.90303,17,17
159899.SZ,软件龙头ETF,科技,27.66754,,,,0.40209,0.13864,,0.43144,,0.52294,0.05203,0.09522,0.57826,0.72509,1.55699,0.28056,0.89091,0.89091,0.89091,19,18
159851.SZ,金融科技ETF,科技,34.19955,,,,0.48696,0.15426,,0.41813,,0.55741,0.08485,0.15628,0.57363,0.72914,1.60279,0.37078,0.88485,0.88485,0.88485,20,19
160140.SZ,美国REIT精选LOF,其他,21.90681,,,,0.28529,0.27365,0.84870,0.52698,0.54238,0.45460,0.14571,0.23709,0.56929,0.63850,1.03588,0.94389,0.87273,0.87273,0.87273,22,20
